split,cell_id,group,feature,quintile,bins,event_rate,mean_signed_drive,mean_absolute_drive,mean_recent_change,mean_feature,aligned_nll,LN_nll,CNN_nll,aligned_minus_LN,aligned_minus_CNN
consumed,67#7,MC_ON,A,3,2688,0.20498511904761904,0.8371558126083869,1.1085076277982466,1.239951351162034,1.6251280179810468,0.40080960235856833,0.39374666055655777,0.3784479121563305,0.007062941802010598,0.02236169020223784
consumed,67#7,MC_ON,A,4,3570,0.24313725490196078,0.9670721448886883,1.3160364562058637,1.5667029665407428,2.0020958304687504,0.4118475915654208,0.40488887502669174,0.44024201876015595,0.006958716538728993,-0.02839442719473527
consumed,67#7,MC_ON,A,5,6251,0.2266837306031035,1.5699359480065915,1.9973931777883291,2.0279979049344425,3.4011347328681887,0.5028706778006219,0.502290931118497,0.5024509590358361,0.0005797466821248178,0.0004197187647856395
consumed,67#14,PC_ON,A,1,7231,0.13884663255428017,-0.1441789141601426,0.5454658256560015,0.46816871065130344,0.5561479080619106,0.344433467925692,0.3293980414205535,0.2975106853168738,0.015035426505138444,0.04692278260881818
consumed,67#14,PC_ON,A,2,9835,0.19267920691408236,0.24696639439948304,0.8796686062059644,0.9089193192309802,1.0750150807245538,0.3547541595708221,0.34663711941376935,0.32317305888408343,0.00811704015705284,0.0315811006867387
consumed,67#14,PC_ON,A,3,3290,0.24680851063829787,0.7645273090088015,1.1611604871490737,1.405397522954584,1.7743136194776072,0.36479899743066596,0.37622296564246416,0.3999117788227904,-0.01142396821179808,-0.03511278139212437
consumed,67#14,PC_ON,A,4,2310,0.3233766233766234,1.1591054724358731,1.4656527919711098,1.770195646574509,2.1256207711989132,0.4056765585511525,0.40551653376900715,0.4311292886835063,0.00016002478214535023,-0.025452730132353815
consumed,67#14,PC_ON,A,5,6734,0.2886842886842887,1.5639874057572318,1.9936610666316448,2.128164764170279,3.3986758382469806,0.4241366805675028,0.4277919860447567,0.4615979047549925,-0.003655305477253892,-0.037461224187489754
consumed,67#21,PC_ON,A,1,7084,0.054912478825522304,-0.1575745325754965,0.530266889742857,0.4555802549155401,0.5373646442818671,0.20982061673259425,0.20770866275767821,0.19019700264500272,0.002111953974915993,0.019623614087591508
consumed,67#21,PC_ON,A,2,10710,0.08188608776844071,0.24691480441596544,0.8587186208545842,0.882409703153745,1.07890894727362,0.2518229087397264,0.25365144158965675,0.2426035500250166,-0.0018285328499303252,0.00921935871470979
consumed,67#21,PC_ON,A,3,2695,0.14025974025974025,1.010841916028169,1.3157230158247448,1.5921526642697492,1.7918546721198458,0.3336762757483625,0.336071448593715,0.3678720222532963,-0.002395172845352566,-0.03419574650493384
consumed,67#21,PC_ON,A,4,1771,0.15527950310559005,1.112604734901267,1.4678043438530741,1.6982352043715538,2.106739983900985,0.33714822694824037,0.35035154040006433,0.3590416494510761,-0.013203313451823942,-0.021893422502835772
consumed,67#21,PC_ON,A,5,7140,0.18053221288515406,1.5508877436844,1.9825970311834753,2.0817204844429416,3.3855212953124454,0.3627796499895512,0.3706072318440237,0.3946197770289902,-0.007827581854472574,-0.03184012703943907
consumed,67#26,PC_ON,A,1,7420,0.1898921832884097,-0.13245082358921934,0.5405236063762744,0.4674367381487798,0.5552133298755341,0.4756525568685745,0.47547588620333225,0.46412550148899945,0.0001766706652421508,0.011527055379574967
consumed,67#26,PC_ON,A,2,9821,0.22930455147133694,0.2529778244734897,0.8795293364364323,0.9128816951194412,1.074088731202219,0.4934249617023583,0.49006751927158326,0.48748840933196724,0.0033574424307750614,0.005936552370391038
consumed,67#26,PC_ON,A,3,2989,0.27099364335898296,0.7908555804840285,1.14275788208482,1.3559161572724627,1.7451521366709788,0.5163620557044142,0.5195331959706732,0.5258256987991222,-0.003171140266258847,-0.009463643094708086
consumed,67#26,PC_ON,A,4,2947,0.336952833389888,1.1063059182878807,1.411307566679794,1.7079213743362986,2.111974669400832,0.5350296918499693,0.5482053636858638,0.5433270586439641,-0.013175671835894593,-0.008297366793994882
consumed,67#26,PC_ON,A,5,6223,0.33456532219186885,1.5654435321787976,2.005053539542738,2.1331194551305295,3.4584203816316883,0.5128141068817463,0.5314693747667911,0.5421737937499512,-0.018655267885044815,-0.029359686868204907
consumed,67#33,MC_OFF,A,1,6776,0.21723730814639905,-0.1585130448578007,0.49755895760043445,0.4247877365803715,0.5034469929153087,0.4209470404115885,0.41645296224387823,0.36609082047505576,0.004494078167710194,0.05485621993653273
consumed,67#33,MC_OFF,A,2,10899,0.19827507110744105,0.2899334356071738,0.8764016643815877,0.859446503843704,1.0130454357256466,0.3694836357705407,0.3728827555769402,0.38140881886220923,-0.003399119806399459,-0.01192518309166851
consumed,67#33,MC_OFF,A,3,2660,0.19172932330827067,0.8133933488068655,1.1332806962935291,1.3458838760108607,1.7119444358487101,0.33402992300588474,0.33882117563421493,0.36632180533818565,-0.004791252628330189,-0.03229188233230092
consumed,67#33,MC_OFF,A,4,2639,0.2140962485790072,0.7311727097282608,1.1806184017998562,1.4576342747881947,2.040711358942539,0.3602694975288062,0.362389731131293,0.39534462249870106,-0.0021202336024868005,-0.03507512496989477
consumed,67#33,MC_OFF,A,5,6426,0.2267351384998444,1.7226890042346819,2.122689701091224,2.0563889950182186,3.4674655408074746,0.42569129484420687,0.4544139693155723,0.5177265618073326,-0.028722674471365447,-0.09203526696312568
consumed,67#34,PC_ON,A,1,4914,0.12861212861212862,-0.12044956506825238,0.5305381470718249,0.44207530860196514,0.49875928800674374,0.3564820243001129,0.34833362792781236,0.3308129275935035,0.008148396372300557,0.025669096706609378
consumed,67#34,PC_ON,A,2,11704,0.1674641148325359,0.16127118341112728,0.8167325440009977,0.8605209205539474,0.9935735570776926,0.3646519970934031,0.3503772123677576,0.31481024110455297,0.014274784725645497,0.04984175598885019
consumed,67#34,PC_ON,A,3,2975,0.2615126050420168,0.8564907738729551,1.2246298623708016,1.364620912326654,1.6961165270739338,0.4335242558432326,0.42478042226754836,0.417445304919712,0.008743833575684264,0.01607895092352069
consumed,67#34,PC_ON,A,4,3815,0.2235910878112713,0.7675073575763002,1.18675757870532,1.541439609783819,2.083335787277906,0.3933460415988986,0.3927930662416163,0.39468407147842943,0.0005529753572822023,-0.0013380298795308975
consumed,67#34,PC_ON,A,5,5992,0.2568424566088118,1.5672449286542138,1.9963484743435003,2.158828020980058,3.5324584911981813,0.4336313995824083,0.45359271938788565,0.4386665587312037,-0.019961319805477253,-0.005035159148795334
consumed,68#3,MC_OFF,A,1,5642,0.30060262318326836,-0.1322568778730714,0.4644489768958533,0.4010948749656737,0.4538643746878079,0.5140833992224246,0.5089063809193303,0.47040208441903275,0.0051770183030943094,0.04368131480339184
consumed,68#3,MC_OFF,A,2,10080,0.31140873015873016,0.10391590188727019,0.7573337798925103,0.7361492811867488,0.8800499338210993,0.49280205239669167,0.49950296320824594,0.485243146456213,-0.006700910811554347,0.007558905940478534
consumed,68#3,MC_OFF,A,3,1806,0.24031007751937986,0.6068928888622273,1.0598201872024862,1.2541828495920153,1.395524600222945,0.4206600724035318,0.44902782126081253,0.4355505075735665,-0.028367748857280772,-0.0148904351700348
consumed,68#3,MC_OFF,A,4,4011,0.32784841685365246,0.7872717896642295,1.1073756200123737,1.2719786779434512,1.7493913700092318,0.5080647323705633,0.5294144160483915,0.5481309539007418,-0.021349683677828198,-0.04006622153017866
consumed,68#3,MC_OFF,A,5,7861,0.32044269176949497,1.554550501314581,1.9573682383388527,1.8951710963590969,3.1852321469921048,0.4929679964046204,0.5184984050899931,0.5603179719348484,-0.025530408685372614,-0.06734997553022798
consumed,68#4,PC_ON,A,1,6354,0.20569719861504565,-0.16749256267545784,0.5490613118143339,0.4556731064042087,0.5628394335735951,0.4900504444907744,0.48433581501641926,0.49805595676298253,0.005714629474355179,-0.008005512272208143
consumed,68#4,PC_ON,A,2,8856,0.19252484191508581,0.2816483793623985,0.8773548015043443,0.9589487252404171,1.095935221212745,0.45398661456105865,0.4530927248585473,0.46385941653726803,0.0008938897025113035,-0.009872801976209399
consumed,68#4,PC_ON,A,3,2478,0.21549636803874092,0.8726295661258258,1.212276155662199,1.5102962152432022,1.8054486101753138,0.47665024636724174,0.4679339730312567,0.4908923992034299,0.008716273335985108,-0.014242152836188212
consumed,68#4,PC_ON,A,4,1722,0.1765389082462253,0.976529953765029,1.3818001979190622,1.6763198928484038,2.1453657945848503,0.4122687376491471,0.4081983022735663,0.4361635876987072,0.00407043537558088,-0.023894850049560018
consumed,68#4,PC_ON,A,5,5790,0.18048359240069084,1.6104553784877549,2.052480714869865,2.2133324663474396,3.532394271924945,0.3946320902204962,0.40154719590043186,0.4306953167581116,-0.006915105679935795,-0.03606322653761545
consumed,68#7,PC_ON,A,1,5159,0.12250436131033146,-0.14953118986113684,0.48500863735397726,0.42080095383857363,0.4725082636942016,0.3471081037801661,0.3426446141801224,0.3164308335265431,0.0044634896000436495,0.030677270253622903
consumed,68#7,PC_ON,A,2,10073,0.1678745160329594,0.1139005198131955,0.7969124920117735,0.7931705156255219,0.8880743246892088,0.38202510642392706,0.37354795326749396,0.3461476748370299,0.00847715315643308,0.035877431586897136
consumed,68#7,PC_ON,A,3,5306,0.22031662269129287,0.6970661954347348,1.0931532428323485,1.2785115126165774,1.622559369385559,0.40155157979291345,0.4086157764816086,0.4142070680405072,-0.007064196688695224,-0.012655488247593799
consumed,68#7,PC_ON,A,4,1323,0.2494331065759637,0.9346218639819575,1.279033517650821,1.5413998687039585,2.005901056180099,0.45776639644982875,0.43966159046404524,0.44640955722792525,0.018104805985783536,0.011356839221903416
consumed,68#7,PC_ON,A,5,7539,0.27828624486006104,1.5439413500042685,1.9835723193159196,1.9810405392398105,3.2805697750840364,0.42100595205385405,0.45408275520193125,0.48107986161295047,-0.03307680314807721,-0.060073909559096444
consumed,68#10,MC_ON,A,1,768,0.15755208333333334,-0.05658456489089845,0.4549336529065983,0.43287266757695875,0.44789797152249605,0.36237354700306024,0.33566690439328645,0.32162261247974216,0.026706642609773745,0.040750934523318044
