split,cell_id,group,feature,quintile,bins,event_rate,mean_signed_drive,mean_absolute_drive,mean_recent_change,mean_feature,aligned_nll,LN_nll,CNN_nll,aligned_minus_LN,aligned_minus_CNN
development,67#14,PC_ON,C,3,588,0.19047619047619047,0.01266913151526491,0.39136893182530047,0.47179421238546465,0.47179421238546465,0.42240727227220315,0.4180279272579955,0.4355916610000376,0.0043793450142076565,-0.013184388727834558
development,67#14,PC_ON,C,4,588,0.2857142857142857,0.6097001651207739,0.9306152280935619,1.1117877113283612,1.1117877113283612,0.45076799628217057,0.42507211483941576,0.4208088049558641,0.025695881442754816,0.029959191326306433
development,67#14,PC_ON,C,5,588,0.40476190476190477,2.6628029453235547,2.980637156105201,4.940417212067543,4.940417212067543,0.46914036161831546,0.522826232596071,0.4984602780575186,-0.05368587097775552,-0.02931991643920309
development,67#21,PC_ON,C,1,588,0.02891156462585034,-0.3672866082384384,0.48410885925044395,0.047746223432200384,0.047746223432200384,0.13702830093462628,0.13490226264547603,0.1229835461116805,0.002126038289150269,0.014044754822945758
development,67#21,PC_ON,C,2,588,0.05612244897959184,0.061293338773317545,0.7365982003850929,0.17302171052211807,0.17302171052211807,0.1783404770316213,0.17699466585091142,0.16675413267123904,0.001345811180709835,0.01158634436038224
development,67#21,PC_ON,C,3,588,0.11224489795918367,0.09720669110018727,0.49937989831994944,0.428563606867794,0.428563606867794,0.29075223655048055,0.2683595354180221,0.3005281597028026,0.022392701132458455,-0.009775923152322008
development,67#21,PC_ON,C,4,588,0.13095238095238096,0.45226736945776447,0.7387894791068642,1.0568223328889526,1.0568223328889526,0.337696595549054,0.3358883364325161,0.37146684508549954,0.0018082591165379542,-0.033770249536445564
development,67#21,PC_ON,C,5,588,0.2755102040816326,2.705794401943595,3.027405703662052,5.023422796267412,5.023422796267412,0.5189672983671264,0.5238396729968671,0.5439212128538675,-0.004872374629740605,-0.02495391448674101
development,67#26,PC_ON,C,1,588,0.16666666666666666,-0.22422157746145135,0.6011621238036675,0.049822024350162704,0.049822024350162704,0.40356411195180125,0.41393817275341716,0.38727204106460417,-0.01037406080161595,0.016292070887196954
development,67#26,PC_ON,C,2,588,0.16666666666666666,-0.22483967088240514,0.45699752228988694,0.16577322497573085,0.16577322497573085,0.42803210572129996,0.4241465873375141,0.4143861702011171,0.0038855183837858344,0.013645935520182863
development,67#26,PC_ON,C,3,588,0.2619047619047619,0.21856609580378672,0.590787648271847,0.40922101460836574,0.40922101460836574,0.49067784227334593,0.49472621582836507,0.4755730623532745,-0.004048373555019191,0.01510477992007137
development,67#26,PC_ON,C,4,588,0.3656462585034014,0.6063307957147204,0.9277353888377547,1.071968609860189,1.071968609860189,0.5840490548446626,0.6008244195717374,0.6198107822976154,-0.01677536472707477,-0.03576172745295273
development,67#26,PC_ON,C,5,588,0.40816326530612246,2.7935788335278633,3.10306923145517,4.9447177038422705,4.9447177038422705,0.5983235564642048,0.5986257958006329,0.5854643775646592,-0.0003022393364280163,0.012859178899545612
development,67#33,MC_OFF,C,1,588,0.2857142857142857,-0.30365593373003535,0.5071095460311406,0.048719611827428226,0.048719611827428226,0.4704077350101334,0.5081387021303007,0.4961594717253361,-0.037730967120167096,-0.0257517367152026
development,67#33,MC_OFF,C,2,588,0.25510204081632654,-0.15713857389852084,0.557934005084029,0.16748255892744054,0.16748255892744054,0.4637462872331711,0.48152263358137826,0.5023023732916835,-0.017776346348207333,-0.0385560860585124
development,67#33,MC_OFF,C,3,588,0.19047619047619047,0.24098819594530924,0.5594191165990197,0.39083429343244513,0.39083429343244513,0.36563318315159804,0.3782422309405181,0.3265201293440397,-0.01260904778892016,0.039113053807558314
development,67#33,MC_OFF,C,4,588,0.17517006802721088,0.4435434545851812,0.7217270093849428,0.9466056608907646,0.9466056608907646,0.3362209206124809,0.34853194401316634,0.34819534204925845,-0.012311023400685517,-0.011974421436777571
development,67#33,MC_OFF,C,5,588,0.1292517006802721,2.4575668092886187,2.8371740400993337,4.756803445319989,4.756803445319989,0.19696156356145456,0.2045025893475925,0.24967794410905658,-0.00754102578613795,-0.05271638054760203
development,67#34,PC_ON,C,1,588,0.09863945578231292,-0.14720429421205544,0.5543681241449685,0.049186636203168224,0.049186636203168224,0.27008834692221817,0.2581978027973934,0.24561154037772143,0.011890544124824797,0.024476806544496757
development,67#34,PC_ON,C,2,588,0.09013605442176871,-0.18529346135134497,0.5250752287018778,0.16417398464926963,0.16417398464926963,0.26453052929941856,0.2595700837533544,0.30120565154631995,0.0049604455460641825,-0.03667512224690141
