cell_id,feature,comparator,estimate,development_E,consumed_descriptive_E,sign_consistent
69#4,A,CNN,raw_E,-0.0734666313579295,-0.108086315130956,True
69#6,A,CNN,raw_E,-0.031325358584184435,-0.11947021303240189,True
69#7,A,CNN,raw_E,0.0500387208304633,0.008990201620097865,True
69#21,A,CNN,raw_E,0.00564432435049848,-0.039204638655383234,False
70#1,A,CNN,raw_E,0.019024547293070425,-0.047390017566471966,False
70#7,A,CNN,raw_E,-0.01757523980317475,-0.014410870619674769,True
70#15,A,CNN,raw_E,0.0051093188902977225,-0.0216994606766216,False
70#34,A,CNN,raw_E,-0.1086844827345646,-0.1554078562395303,True
67#4,A,CNN,matched_E,-0.02852656519376058,-0.100543861085377,True
67#6,A,CNN,matched_E,0.06385807398300669,-0.10950720854933604,False
67#7,A,CNN,matched_E,0.030202729021109306,-0.11521807996814376,False
67#14,A,CNN,matched_E,-0.04750348061117744,-0.0898505939020079,True
67#21,A,CNN,matched_E,-0.020447333369026398,-0.050368681431084444,True
67#26,A,CNN,matched_E,-0.021610499192781733,-0.03954568436785902,True
67#33,A,CNN,matched_E,-0.003764663434752585,-0.143840756678218,True
67#34,A,CNN,matched_E,0.011866177357388402,-0.03198884044589542,False
68#3,A,CNN,matched_E,0.0697030126374566,-0.10560556735864715,False
68#4,A,CNN,matched_E,-0.009011782334438022,-0.035594430000252225,True
68#7,A,CNN,matched_E,-0.06381649733261373,-0.07913117803756957,True
68#10,A,CNN,matched_E,-0.06532586682174991,-0.06948087006852333,True
68#11,A,CNN,matched_E,0.0770897985745197,-0.03925644829838605,False
69#3,A,CNN,matched_E,-0.010100486071036847,-0.0634524234906931,True
69#4,A,CNN,matched_E,-0.07725727168229342,-0.10901506938659511,True
69#6,A,CNN,matched_E,-0.041949272135996786,-0.1062759335807584,True
69#7,A,CNN,matched_E,0.03141838765800857,-0.02379983277605341,False
69#21,A,CNN,matched_E,-0.00034008497000329366,-0.04880977273035159,True
70#1,A,CNN,matched_E,0.015464363184777239,-0.046481082490454545,False
70#7,A,CNN,matched_E,-0.02713039168164925,-0.027776711300644026,True
70#15,A,CNN,matched_E,0.0022739333939986806,-0.030039647407909376,False
70#34,A,CNN,matched_E,-0.09584384407592555,-0.11950307423667017,True
67#4,C,LN,raw_E,-0.058346977984263595,0.002994239718650942,False
67#6,C,LN,raw_E,-0.021742038438718178,-0.007215707444934959,True
67#7,C,LN,raw_E,-0.005469077448536197,-0.030883535797880498,True
67#14,C,LN,raw_E,-0.04881756370662656,-0.026166002842009064,True
67#21,C,LN,raw_E,-0.006998412918890874,-0.0060126993314346105,True
67#26,C,LN,raw_E,0.010071821465187933,-0.008638622916562932,False
67#33,C,LN,raw_E,0.030189941334029146,0.009474003477320268,True
67#34,C,LN,raw_E,-0.03656992223379025,-0.018877545290570646,True
68#3,C,LN,raw_E,-0.0639253466574346,-0.01669290862301384,True
68#4,C,LN,raw_E,0.017704698232006287,-0.0006989376895148304,False
68#7,C,LN,raw_E,-0.05715989907681261,-0.027025422763668507,True
68#10,C,LN,raw_E,-0.04197332926962563,-0.008871031637219699,True
68#11,C,LN,raw_E,0.007036598543999217,0.006290835657090387,True
69#3,C,LN,raw_E,0.0018290806343539156,-0.0059545931903918735,False
69#4,C,LN,raw_E,-0.03309941065037337,-0.08375220761974095,True
69#6,C,LN,raw_E,0.0006080288096281953,0.0008410953002367392,True
69#7,C,LN,raw_E,0.019362328137571067,0.021787284279936606,True
69#21,C,LN,raw_E,-0.0005373657722669736,0.006092387849045704,False
70#1,C,LN,raw_E,-0.0008861701359489035,-0.01675053985732671,True
70#7,C,LN,raw_E,-0.0013861305245084637,-0.00013493914334270288,True
70#15,C,LN,raw_E,0.005548441352249088,-0.010721520686248244,False
70#34,C,LN,raw_E,-0.053533178222823385,-0.03553953501265707,True
67#4,C,CNN,raw_E,-0.01656662611376121,-0.03609764153001671,True
67#6,C,CNN,raw_E,-0.14313819888694124,-0.07719725381923137,True
67#7,C,CNN,raw_E,-0.046904527898126984,-0.10656560512629383,True
67#14,C,CNN,raw_E,-0.07756209913227144,-0.11349884299120312,True
67#21,C,CNN,raw_E,-0.03899866930968677,-0.06307091907518438,True
67#26,C,CNN,raw_E,-0.0034328919876513413,-0.045454243261283916,True
67#33,C,CNN,raw_E,-0.026964643832399434,-0.05096839307546396,True
67#34,C,CNN,raw_E,0.01441277696376847,-0.055671544944305235,False
68#3,C,CNN,raw_E,-0.1962054665721269,-0.10541599911407751,True
68#4,C,CNN,raw_E,-0.0020728456442746877,-0.016620313182611767,True
68#7,C,CNN,raw_E,-0.06705002023104321,-0.09627479783240647,True
68#10,C,CNN,raw_E,-0.08084643137190534,-0.13135172540375228,True
68#11,C,CNN,raw_E,0.06444415425191656,0.027963412794415617,True
69#3,C,CNN,raw_E,0.02404365359855364,-0.029910775883511084,False
69#4,C,CNN,raw_E,-0.14831768360705758,-0.1693327602797165,True
69#6,C,CNN,raw_E,-0.07549375477588742,-0.0708008359633687,True
69#7,C,CNN,raw_E,0.00575474681606912,-0.03198202123372859,False
69#21,C,CNN,raw_E,-0.05689298682026868,-0.02762060039331116,True
70#1,C,CNN,raw_E,-0.02261025681578589,-0.07983006291610795,True
70#7,C,CNN,raw_E,0.036937772513196014,0.04259220588366376,True
70#15,C,CNN,raw_E,0.012041433815131824,-0.026207815926168807,False
70#34,C,CNN,raw_E,-0.07270548594849648,-0.17711453871760058,True
