split,cell_id,group,comparator,stratum,U_stratum,C_stratum,low_bins,high_bins,overlap_mass,weight,excess_NLL,Q1_U,Q5_U,Q1_M,Q5_M,Q1_C,Q5_C
consumed,70#1,PC_ON,CNN,22,5,2,36,156,36,0.013636363636363636,0.13516405432922002,1.8040343523025513,5.012068060155098,1.8040343523025513,5.012068060155098,0.25243440829217434,0.22951146444449058
consumed,70#1,PC_ON,CNN,23,5,3,18,138,18,0.006818181818181818,0.05222721841619314,1.4589770883321762,5.362196221299794,1.4589770883321762,5.362196221299794,0.6042497841020426,0.532795345896612
consumed,70#1,PC_ON,CNN,24,5,4,168,342,168,0.06363636363636363,0.011301201202075197,1.890684273493077,4.263982613873259,1.890684273493077,4.263982613873259,1.6404009386231857,1.5634237256946795
consumed,70#1,PC_ON,CNN,25,5,5,180,846,180,0.06818181818181818,-0.0511407714088502,3.536238010545882,5.632672008916287,3.536238010545882,5.632672008916287,3.7928408189065523,5.105321672328926
consumed,70#7,PC_ON,LN,1,1,1,392,112,112,0.02952029520295203,-0.010338532781706319,0.10415033665568833,0.15047669082802412,-0.07307332655875055,-0.0818785216154841,0.05395750688053557,0.055759715406262934
consumed,70#7,PC_ON,LN,2,1,2,483,154,154,0.04059040590405904,-0.03573591073837146,0.1177795200281358,0.14303152196313906,-0.07499332784321878,-0.1301379145747474,0.18223177737405677,0.1813334836712756
consumed,70#7,PC_ON,LN,3,1,3,525,273,273,0.07195571955719557,-0.02671188997836778,0.1142629691803207,0.1269032290030239,-0.02855249338990284,-0.01703390338991442,0.4002153430568675,0.4115546675812867
consumed,70#7,PC_ON,LN,4,1,4,455,280,280,0.07380073800738007,-0.018628726362018247,0.12551267161153448,0.12652192185923922,0.025794911661591282,-0.02463370108259065,0.817950835210295,0.9315783739778756
consumed,70#7,PC_ON,LN,5,1,5,21,238,21,0.005535055350553505,0.010699449109906362,0.1612291152899464,0.12567788566572263,-0.1612291152899464,-0.009998207386838747,2.1833355111173463,4.843189996927428
consumed,70#7,PC_ON,LN,6,2,1,455,119,119,0.03136531365313653,-0.024621523640948512,0.36385394734067794,0.37698164092851605,-0.3022911916176478,-0.27092855080377826,0.05507971603327836,0.06048039193539059
consumed,70#7,PC_ON,LN,7,2,2,462,175,175,0.046125461254612546,-0.026542516066949438,0.36385875539571944,0.3782100445777178,-0.2640240821761615,-0.284060628687342,0.1605843674212769,0.1722615354756514
consumed,70#7,PC_ON,LN,8,2,3,574,252,252,0.06642066420664207,-0.026039919479865902,0.3520292337033594,0.35813438297352856,-0.13934581510048752,-0.21643498800350006,0.38859531255931085,0.4142109724192845
consumed,70#7,PC_ON,LN,9,2,4,322,280,280,0.07380073800738007,-0.004360616194802246,0.3591506313768796,0.35360850324602017,-0.0796796345806586,-0.02777527509509431,0.8675384315395511,0.9648614674117802
consumed,70#7,PC_ON,LN,10,2,5,35,280,35,0.00922509225092251,-0.04518836300382305,0.3921418964862823,0.37598746909449493,-0.3921418964862823,-0.09268246286859115,2.052797387043635,4.575980695957939
consumed,70#7,PC_ON,LN,11,3,1,266,147,147,0.03874538745387454,0.0003837335773368292,0.5730052070136655,0.5807532299132573,-0.4814177320191735,-0.5807532299132573,0.05136820562837417,0.03777357935905455
consumed,70#7,PC_ON,LN,12,3,2,301,140,140,0.03690036900369004,0.0240587801638492,0.5640879541982052,0.5700548596680163,-0.460297384523144,-0.5161715385814507,0.1694562589359838,0.17276400538782274
consumed,70#7,PC_ON,LN,13,3,3,252,84,84,0.02214022140221402,0.019444611090819616,0.5501271593901845,0.5648627391395469,-0.19413081004663746,-0.20283459680568838,0.39582540323371407,0.3560154068076776
consumed,70#7,PC_ON,LN,14,3,4,294,224,224,0.05904059040590406,-0.03071404377726262,0.5643361013323541,0.5554642941181858,-0.23811141165002941,-0.14475790442277983,0.9589305760908042,1.014671100791626
consumed,70#7,PC_ON,LN,15,3,5,14,189,14,0.0036900369003690036,-0.011453722884034501,0.5607564548651376,0.578043970984355,-0.5607564548651376,-0.24460051990226256,2.2864286502202344,4.918660474040712
consumed,70#7,PC_ON,LN,16,4,1,1064,371,371,0.09778597785977859,-0.015771931457447458,0.7597562786387769,0.7671406167858051,-0.7306678057893327,-0.7671406167858051,0.035142576354637474,0.03382243675255925
consumed,70#7,PC_ON,LN,17,4,2,392,84,84,0.02214022140221402,0.007617465272688761,0.7254410430434205,0.7396105892128415,-0.6460111412618842,-0.7396105892128415,0.15990995048057463,0.17043302704890562
consumed,70#7,PC_ON,LN,18,4,3,329,210,210,0.055350553505535055,0.0002670041265021867,0.7662780557541137,0.7566671364837223,-0.31842639070030637,-0.6248100181420644,0.4011875015752826,0.4102992352770848
consumed,70#7,PC_ON,LN,19,4,4,504,329,329,0.08671586715867159,-0.02948147765576051,0.7793109470598951,0.8162543745381189,-0.06808888044691198,0.1463100104097356,1.0346993263778534,1.0716233671302675
consumed,70#7,PC_ON,LN,20,4,5,35,420,35,0.00922509225092251,-0.0990175344794643,0.7786896546681721,0.7893462820599475,-0.4264733711878459,-0.13373127078844438,2.3917698780695598,4.941247601682941
consumed,70#7,PC_ON,LN,21,5,1,0,77,0,0.0,,,4.049702528751257,,4.049702528751257,,0.03465206334085162
