split,cell_id,group,comparator,stratum,U_stratum,C_stratum,low_bins,high_bins,overlap_mass,weight,excess_NLL,Q1_U,Q5_U,Q1_M,Q5_M,Q1_C,Q5_C
development,68#7,PC_ON,CNN,15,3,5,14,0,0,0.0,,0.5964448228478432,,-0.5964448228478432,,2.5474760150536895,
development,68#7,PC_ON,CNN,16,4,1,14,7,7,0.02127659574468085,-0.1500861925378653,0.6552901491522789,0.6809988990426064,-0.6552901491522789,0.6809988990426064,0.05048735439777374,0.10018952051177621
development,68#7,PC_ON,CNN,17,4,2,7,7,7,0.02127659574468085,-0.04521351803466424,0.6302749067544937,0.6656511276960373,-0.6302749067544937,-0.6656511276960373,0.1632145792245865,0.24916338920593262
development,68#7,PC_ON,CNN,18,4,3,14,0,0,0.0,,0.6436888873577118,,-0.6436888873577118,,0.37097005918622017,
development,68#7,PC_ON,CNN,19,4,4,35,14,14,0.0425531914893617,0.11414223494951586,0.6661469534039497,0.7368551027029753,0.12635207325220107,0.7368551027029753,0.9592405798379332,0.8509743558242917
development,68#7,PC_ON,CNN,20,4,5,7,21,7,0.02127659574468085,0.27116948527165524,0.6281591504812241,0.6953480932861567,-0.6281591504812241,-0.28532175285120803,1.7470694184303284,3.8715787486483655
development,68#7,PC_ON,CNN,21,5,1,0,0,0,0.0,,,,,,,
development,68#7,PC_ON,CNN,22,5,2,0,0,0,0.0,,,,,,,
development,68#7,PC_ON,CNN,23,5,3,0,0,0,0.0,,,,,,,
development,68#7,PC_ON,CNN,24,5,4,14,28,14,0.0425531914893617,-0.34922261655541986,1.0963130742311478,2.0712668064516038,1.0963130742311478,2.0712668064516038,0.8379354225471616,1.0088765572290868
development,68#7,PC_ON,CNN,25,5,5,35,77,35,0.10638297872340426,0.060115173073905806,3.9315390165895225,7.236704669215462,3.9315390165895225,7.236704669215462,3.8891668345779182,4.470291746272282
development,68#10,MC_ON,LN,1,1,1,5,5,5,0.1111111111111111,0.025241682757331386,0.04866369232450697,0.054663277375088505,-0.01512702255171131,0.012436653157188135,0.03856478171338412,0.06607164814221589
development,68#10,MC_ON,LN,2,1,2,10,4,4,0.08888888888888889,-0.24311225102940845,0.08220129017294807,0.07439275513487784,-0.010475640786303711,-0.051000950900329786,0.21237003610215405,0.18807579329322005
development,68#10,MC_ON,LN,3,1,3,9,5,5,0.1111111111111111,0.08236114182297277,0.08336443402757397,0.06772003371945837,-0.018997512348560668,-0.035630142265422785,0.3426096233576913,0.3419194286689162
development,68#10,MC_ON,LN,4,1,4,5,3,3,0.06666666666666667,0.15824896841746372,0.07244872660164467,0.023505935318429372,0.004303414380939846,0.023505935318429372,0.6146344966445626,1.0503424291611847
development,68#10,MC_ON,LN,5,1,5,0,4,0,0.0,,,0.05922336131334305,,0.03199498448520899,,2.127031924753365
development,68#10,MC_ON,LN,6,2,1,8,0,0,0.0,,0.2638301662148231,,-0.08345858529421755,,0.05187579100575849,
development,68#10,MC_ON,LN,7,2,2,8,2,2,0.044444444444444446,0.07257541814777843,0.279534571592442,0.3092981366948648,-0.279534571592442,-0.3092981366948648,0.1945171180731532,0.14395996928215035
development,68#10,MC_ON,LN,8,2,3,4,5,4,0.08888888888888889,0.053283141346728506,0.23018608805300161,0.23280912718989635,-0.035989689175039516,-0.13582338961687954,0.4254433067346161,0.3397403325885534
