cell_id,feature,probability,threshold
67#34,A,0.2,0.6530529459055715
67#34,A,0.4,1.5275010206003887
67#34,A,0.6,1.86625403628423
67#34,A,0.8,2.3772726828474315
67#34,C,0.2,0.10368946790695194
67#34,C,0.4,0.2464780810289087
67#34,C,0.6,0.6394370615811567
67#34,C,0.8,1.8996826505288489
67#34,U,0.2,0.19815666452050212
67#34,U,0.4,0.46503883451223404
67#34,U,0.6,0.6183583423495292
67#34,U,0.8,1.1378425747156198
68#3,A,0.2,0.6078705342372691
68#3,A,0.4,1.2794432304212469
68#3,A,0.6,1.5134180737049054
68#3,A,0.8,1.9738916680077088
68#3,C,0.2,0.10088117619355522
68#3,C,0.4,0.26781180761754686
68#3,C,0.6,0.510750074964016
68#3,C,0.8,1.4245714049786382
68#3,U,0.2,0.17921403873090955
68#3,U,0.4,0.44440953731536864
68#3,U,0.6,0.6047274897495903
68#3,U,0.8,0.917875601847968
68#4,A,0.2,0.7186005707708836
68#4,A,0.4,1.6235525582551098
68#4,A,0.6,2.017063533321869
68#4,A,0.8,2.31340989998745
68#4,C,0.2,0.10292713840802514
68#4,C,0.4,0.2405075089385112
68#4,C,0.6,0.6381324482460815
68#4,C,0.8,1.672301030158997
68#4,U,0.2,0.2018100460370382
68#4,U,0.4,0.4816435694694519
68#4,U,0.6,0.6281538208325702
68#4,U,0.8,0.9409158488114682
68#7,A,0.2,0.6269515813701924
68#7,A,0.4,1.3066308455125528
68#7,A,0.6,1.9287622838399234
68#7,A,0.8,2.0842040295144533
68#7,C,0.2,0.10121740847826007
68#7,C,0.4,0.2515827229246498
68#7,C,0.6,0.5820680458098647
68#7,C,0.8,1.3905335947871313
68#7,U,0.2,0.22571473922580484
68#7,U,0.4,0.4697633164003493
68#7,U,0.6,0.6067461818456644
68#7,U,0.8,0.7967430084943773
68#10,A,0.2,0.5833349804679613
68#10,A,0.4,1.0140539513255586
68#10,A,0.6,1.2473059663727555
68#10,A,0.8,1.4811113597446193
68#10,C,0.2,0.0934440727853639
68#10,C,0.4,0.2688642090355808
68#10,C,0.6,0.5009487948295744
68#10,C,0.8,1.2152492861517452
68#10,U,0.2,0.15628914812749087
68#10,U,0.4,0.37603011673147035
68#10,U,0.6,0.5796448983929372
68#10,U,0.8,0.8224289250644772
68#11,A,0.2,0.748024212637626
68#11,A,0.4,1.5562049430919698
68#11,A,0.6,1.9814611760794296
68#11,A,0.8,2.2246092467472605
68#11,C,0.2,0.1078307310740154
68#11,C,0.4,0.23627710180977995
68#11,C,0.6,0.6177083088550711
68#11,C,0.8,1.5929493506749475
68#11,U,0.2,0.20643811772267026
68#11,U,0.4,0.4670147776603702
68#11,U,0.6,0.6320902585983271
68#11,U,0.8,0.9159307867288643
69#3,A,0.2,0.6988767241054847
69#3,A,0.4,1.6300452967883692
69#3,A,0.6,1.994576440748834
69#3,A,0.8,2.3198582242832377
69#3,C,0.2,0.08314416855573656
69#3,C,0.4,0.23081292584538482
69#3,C,0.6,0.6560513520613312
69#3,C,0.8,2.0241259712725963
69#3,U,0.2,0.23409010209143166
69#3,U,0.4,0.4885113030672074
69#3,U,0.6,0.6412373602390289
69#3,U,0.8,1.2135082304477693
69#4,A,0.2,0.6651363018471284
69#4,A,0.4,1.5199750541665824
69#4,A,0.6,1.8686010351931186
69#4,A,0.8,2.2756684162156433
69#4,C,0.2,0.09312613606452945
69#4,C,0.4,0.26882647842168855
69#4,C,0.6,0.6067462558299301
69#4,C,0.8,1.9018069846928123
69#4,U,0.2,0.21534478087909523
69#4,U,0.4,0.4881690800189973
69#4,U,0.6,0.6494541370868682
69#4,U,0.8,1.0693230044841773
69#6,A,0.2,0.6190418903529433
69#6,A,0.4,1.473482106891243
69#6,A,0.6,1.79017045804566
69#6,A,0.8,2.3426510865122476
69#6,C,0.2,0.07810968836912756
69#6,C,0.4,0.21705195164451277
69#6,C,0.6,0.571962009943447
69#6,C,0.8,1.7725100899903505
69#6,U,0.2,0.2201955054815001
69#6,U,0.4,0.4723514556884767
69#6,U,0.6,0.6319395280801323
69#6,U,0.8,1.1755153010671069
69#7,A,0.2,0.6525357025227047
69#7,A,0.4,1.475401445978577
69#7,A,0.6,1.8145446229021518
69#7,A,0.8,2.3679610205602315
69#7,C,0.2,0.08789490020523497
69#7,C,0.4,0.22257663207128667
69#7,C,0.6,0.5928603274747724
69#7,C,0.8,1.9066343833537271
69#7,U,0.2,0.22746389281625606
69#7,U,0.4,0.48591345995664603
69#7,U,0.6,0.6542208085457478
69#7,U,0.8,1.0860498125354465
69#21,A,0.2,0.732631171785967
69#21,A,0.4,1.1074731530006765
69#21,A,0.6,1.714972147832561
69#21,A,0.8,2.5162240929562403
69#21,C,0.2,0.09095539120025933
69#21,C,0.4,0.22957141697406772
69#21,C,0.6,0.7262759193778034
69#21,C,0.8,2.087559645622969
69#21,U,0.2,0.2828940980136395
69#21,U,0.4,0.5310080617666245
69#21,U,0.6,0.6856135033071037
69#21,U,0.8,1.1124973088502892
70#1,A,0.2,0.8261723401123651
70#1,A,0.4,1.1989646491128148
70#1,A,0.6,1.6712442537484988
70#1,A,0.8,2.316742294495599
70#1,C,0.2,0.1260479986667633
70#1,C,0.4,0.3732366987969727
70#1,C,0.6,0.8335252294316886
70#1,C,0.8,2.2943878814578067
70#1,U,0.2,0.22587193548679357
70#1,U,0.4,0.4626904830336571
70#1,U,0.6,0.6855906456708883
70#1,U,0.8,1.2741392545402064
70#7,A,0.2,0.7342237500974549
70#7,A,0.4,1.618821619839178
70#7,A,0.6,2.0193069311284466
70#7,A,0.8,2.289942512409632
70#7,C,0.2,0.1023642697526763
70#7,C,0.4,0.25296979347864806
70#7,C,0.6,0.5790004054705299
70#7,C,0.8,1.6530218323071817
70#7,U,0.2,0.23987476974725724
70#7,U,0.4,0.4897363086541494
70#7,U,0.6,0.6415852109591165
70#7,U,0.8,1.0632823268572498
70#15,A,0.2,0.6348762129079025
70#15,A,0.4,1.426968694363749
70#15,A,0.6,1.8405475916590155
70#15,A,0.8,2.2287337923491286
70#15,C,0.2,0.10188776105642325
70#15,C,0.4,0.27930648890323956
