cell_id,group,mode,channel,profile,region,current_overshoot_above_plateaus,previous_overshoot_above_plateaus,delta_overshoot_above_plateaus,current_undershoot_below_plateaus,previous_undershoot_below_plateaus,delta_undershoot_below_plateaus,current_max_minus_upper_plateau,previous_max_minus_upper_plateau,delta_max_minus_upper_plateau,current_min_minus_lower_plateau,previous_min_minus_lower_plateau,delta_min_minus_lower_plateau,current_max_x_pixels,previous_max_x_pixels,delta_max_x_pixels,current_min_x_pixels,previous_min_x_pixels,delta_min_x_pixels
67#6,MC_OFF,normal,probability,ramp,dark_boundary,0.000960811972618103,0.0011917352676391602,-0.00023092329502105713,0.0,0.0,0.0,0.000960811972618103,0.0011917352676391602,-0.00023092329502105713,0.02579386532306671,0.026316285133361816,-0.000522419810295105,-5,-5,0.0,-2,-2,0.0
67#6,MC_OFF,normal,probability,ramp,bright_boundary,0.0,0.0,0.0,-0.0008609741926193237,-0.001064211130142212,0.00020323693752288818,-0.026884794235229492,-0.02741016447544098,0.0005253702402114868,-0.0008609741926193237,-0.001064211130142212,0.00020323693752288818,2,2,0.0,5,5,0.0
67#6,MC_OFF,normal,probability,matched_uniform,dark_boundary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02570381760597229,0.026202887296676636,-0.0004990696907043457,-6,-6,0.0,-2,-2,0.0
67#6,MC_OFF,normal,probability,matched_uniform,bright_boundary,0.0,0.0,0.0,0.0,0.0,0.0,-0.026799693703651428,-0.027303099632263184,0.0005034059286117554,0.0,0.0,0.0,2,2,0.0,4,4,0.0
67#6,MC_OFF,H1_off,logit,ramp,dark_boundary,0.00396120548248291,0.004809021949768066,-0.0008478164672851562,0.0,0.0,0.0,0.00396120548248291,0.004809021949768066,-0.0008478164672851562,0.1674351692199707,0.17437636852264404,-0.00694119930267334,-5,-5,0.0,-2,-2,0.0
67#6,MC_OFF,H1_off,logit,ramp,bright_boundary,0.0,0.0,0.0,-0.00396120548248291,-0.004809021949768066,0.0008478164672851562,-0.16743505001068115,-0.1743764877319336,0.006941437721252441,-0.00396120548248291,-0.004809021949768066,0.0008478164672851562,2,2,0.0,5,5,0.0
67#6,MC_OFF,H1_off,logit,matched_uniform,dark_boundary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1674351692199707,0.17437636852264404,-0.00694119930267334,-6,-6,0.0,-2,-2,0.0
67#6,MC_OFF,H1_off,logit,matched_uniform,bright_boundary,0.0,0.0,0.0,0.0,0.0,0.0,-0.16743505001068115,-0.1743764877319336,0.006941437721252441,0.0,0.0,0.0,2,2,0.0,4,4,0.0
67#6,MC_OFF,H1_off,probability,ramp,dark_boundary,0.0007428079843521118,0.0009137988090515137,-0.00017099082469940186,0.0,0.0,0.0,0.0007428079843521118,0.0009137988090515137,-0.00017099082469940186,0.028833135962486267,0.03030116856098175,-0.0014680325984954834,-5,-5,0.0,-2,-2,0.0
67#6,MC_OFF,H1_off,probability,ramp,bright_boundary,0.0,0.0,0.0,-0.0006515681743621826,-0.0007942616939544678,0.00014269351959228516,-0.03011968731880188,-0.03165963292121887,0.0015399456024169922,-0.0006515681743621826,-0.0007942616939544678,0.00014269351959228516,2,2,0.0,5,5,0.0
67#6,MC_OFF,H1_off,probability,matched_uniform,dark_boundary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028833135962486267,0.03030116856098175,-0.0014680325984954834,-6,-6,0.0,-2,-2,0.0
