group,mode,channel,profile,region,n_cells,overshoot_above_plateaus,undershoot_below_plateaus,max_minus_upper_plateau,min_minus_lower_plateau,max_x_pixels,min_x_pixels
PC_ON,direct_BC_off,logit,ramp,dark_boundary,9,8.10490714179145e-05,0.0,8.10490714179145e-05,0.22339190377129448,-6.0,-2.0
PC_ON,direct_BC_off,logit,ramp,bright_boundary,9,0.0,-8.100933498806423e-05,-0.2233918242984348,-8.100933498806423e-05,2.0,6.0
PC_ON,direct_BC_off,logit,matched_uniform,dark_boundary,9,0.0,0.0,0.0,0.22331111960940891,-6.0,-2.0
PC_ON,direct_BC_off,logit,matched_uniform,bright_boundary,9,0.0,0.0,-0.2233110401365492,0.0,2.0,4.0
PC_ON,direct_BC_off,probability,ramp,dark_boundary,9,1.419418387942844e-05,0.0,1.419418387942844e-05,0.030323685043387942,-6.0,-2.0
PC_ON,direct_BC_off,probability,ramp,bright_boundary,9,0.0,-9.748670789930555e-06,-0.03303283701340357,-9.748670789930555e-06,2.0,6.0
PC_ON,direct_BC_off,probability,matched_uniform,dark_boundary,9,0.0,0.0,0.0,0.03031067219045427,-6.0,-2.0
PC_ON,direct_BC_off,probability,matched_uniform,bright_boundary,9,0.0,0.0,-0.03302207092444102,0.0,2.0,4.0
PC_ON,AC_off,logit,ramp,dark_boundary,9,0.0,-0.00026052527957492403,-0.3122906419965956,-0.00026052527957492403,-2.0,-5.0
PC_ON,AC_off,logit,ramp,bright_boundary,9,0.0002606113751729329,0.0,0.0002606113751729329,0.3122907082239787,5.0,2.0
PC_ON,AC_off,logit,matched_uniform,dark_boundary,9,0.0,0.0,-0.31217992305755615,0.0,-2.0,-6.0
PC_ON,AC_off,logit,matched_uniform,bright_boundary,9,0.0,0.0,0.0,0.3121798700756497,4.0,2.0
PC_ON,AC_off,probability,ramp,dark_boundary,9,0.0,-3.0046535862816705e-05,-0.04550393588013119,-3.0046535862816705e-05,-2.0,-5.0
PC_ON,AC_off,probability,ramp,bright_boundary,9,4.591792821884155e-05,0.0,4.591792821884155e-05,0.04128139217694601,5.0,2.0
PC_ON,AC_off,probability,matched_uniform,dark_boundary,9,0.0,0.0,-0.045489563710159726,0.0,-2.0,-6.0
PC_ON,AC_off,probability,matched_uniform,bright_boundary,9,0.0,0.0,0.0,0.04126360101832284,4.0,2.0
