group,mode,channel,profile,region,n_cells,current_overshoot_above_plateaus,previous_overshoot_above_plateaus,delta_overshoot_above_plateaus,current_undershoot_below_plateaus,previous_undershoot_below_plateaus,delta_undershoot_below_plateaus,current_max_minus_upper_plateau,previous_max_minus_upper_plateau,delta_max_minus_upper_plateau,current_min_minus_lower_plateau,previous_min_minus_lower_plateau,delta_min_minus_lower_plateau,current_max_x_pixels,previous_max_x_pixels,delta_max_x_pixels,current_min_x_pixels,previous_min_x_pixels,delta_min_x_pixels
MC_OFF,H1_off,probability,matched_uniform,dark_boundary,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03158532455563545,0.03243164345622063,-0.0008463189005851746,-6.0,-6.0,0.0,-2.0,-2.0,0.0
MC_OFF,H1_off,probability,matched_uniform,bright_boundary,4,0.0,0.0,0.0,0.0,0.0,0.0,-0.03358064964413643,-0.03458884730935097,0.0010081976652145386,0.0,0.0,0.0,2.0,2.0,0.0,4.0,4.0,0.0
MC_OFF,AC_off,logit,ramp,dark_boundary,4,0.001486450433731079,0.003401711583137512,-0.001915261149406433,0.0,0.0,0.0,0.001486450433731079,0.003401711583137512,-0.001915261149406433,0.3794218450784683,0.4073156714439392,-0.027893826365470886,-5.0,-5.0,0.0,-2.0,-2.0,0.0
MC_OFF,AC_off,logit,ramp,bright_boundary,4,0.0,0.0,0.0,-0.001486361026763916,-0.0034019052982330322,0.0019155442714691162,-0.37942180037498474,-0.40731576085090637,0.02789396047592163,-0.001486361026763916,-0.0034019052982330322,0.0019155442714691162,2.0,2.0,0.0,5.0,5.0,0.0
MC_OFF,AC_off,logit,matched_uniform,dark_boundary,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3787669390439987,0.4058147817850113,-0.027047842741012573,-6.0,-6.0,0.0,-2.0,-2.0,0.0
MC_OFF,AC_off,logit,matched_uniform,bright_boundary,4,0.0,0.0,0.0,0.0,0.0,0.0,-0.3787669241428375,-0.4058148264884949,0.02704790234565735,0.0,0.0,0.0,2.0,2.0,0.0,4.0,4.0,0.0
MC_OFF,AC_off,probability,ramp,dark_boundary,4,0.0002966374158859253,0.0006915144622325897,-0.00039487704634666443,0.0,0.0,0.0,0.0002966374158859253,0.0006915144622325897,-0.00039487704634666443,0.06041170284152031,0.0647938922047615,-0.004382189363241196,-5.0,-5.0,0.0,-2.0,-2.0,0.0
MC_OFF,AC_off,probability,ramp,bright_boundary,4,0.0,0.0,0.0,-0.00019805878400802612,-0.0004415847361087799,0.00024352595210075378,-0.06652797013521194,-0.07173702865839005,0.005209058523178101,-0.00019805878400802612,-0.0004415847361087799,0.00024352595210075378,2.0,2.0,0.0,5.0,5.0,0.0
MC_OFF,AC_off,probability,matched_uniform,dark_boundary,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06029167026281357,0.06451573595404625,-0.004224065691232681,-6.0,-6.0,0.0,-2.0,-2.0,0.0
MC_OFF,AC_off,probability,matched_uniform,bright_boundary,4,0.0,0.0,0.0,0.0,0.0,0.0,-0.06643002852797508,-0.07151518389582634,0.005085155367851257,0.0,0.0,0.0,2.0,2.0,0.0,4.0,4.0,0.0
