cell_id,group,mode,channel,family,name,kind,current_mean_on,previous_mean_on,delta_mean_on,current_peak_signed,previous_peak_signed,delta_peak_signed,current_peak_absolute,previous_peak_absolute,delta_peak_absolute,current_peak_latency_from_onset_ms,previous_peak_latency_from_onset_ms,delta_peak_latency_from_onset_ms,current_integral_response_seconds,previous_integral_response_seconds,delta_integral_response_seconds,current_onset_50ms_mean,previous_onset_50ms_mean,delta_onset_50ms_mean,current_offset_50ms_mean,previous_offset_50ms_mean,delta_offset_50ms_mean
67#34,PC_ON,AC_off,logit,Mach,Mach_x-06,clamp_minus_normal,-0.10204944014549255,-0.15939298272132874,0.05734354257583618,-0.3000214099884033,-0.38805091381073,0.08802950382232666,0.3000214099884033,0.38805091381073,-0.08802950382232666,126.66665649414062,113.33331298828125,13.333343505859375,-0.031700420379638675,-0.040400848388671876,0.008700428009033201,-0.01166275143623352,-0.04555700719356537,0.03389425575733185,-0.28422898054122925,-0.34605127573013306,0.06182229518890381
67#34,PC_ON,AC_off,logit,Mach,Mach_x-05,response_minus_blank,-0.20165175199508667,-0.26020506024360657,0.0585533082485199,-0.35344719886779785,-0.43941235542297363,0.08596515655517578,0.35344719886779785,0.43941235542297363,-0.08596515655517578,113.33331298828125,106.66665649414062,6.666656494140625,-0.035211251576741535,-0.04358346939086914,0.008372217814127607,-0.09996457397937775,-0.13356146216392517,0.033596888184547424,-0.2532130777835846,-0.3046778440475464,0.05146476626396179
67#34,PC_ON,AC_off,logit,Mach,Mach_x-05,clamp_minus_normal,-0.10049699991941452,-0.15803679823875427,0.05753979831933975,-0.2954767942428589,-0.38555586338043213,0.09007906913757324,0.2954767942428589,0.38555586338043213,-0.09007906913757324,126.66665649414062,113.33331298828125,13.333343505859375,-0.031216087341308593,-0.04017558733622233,0.008959499994913741,-0.011483639478683472,-0.045085757970809937,0.033602118492126465,-0.2799299359321594,-0.3440849781036377,0.06415504217147827
67#34,PC_ON,AC_off,logit,Mach,Mach_x-04,response_minus_blank,-0.1927056908607483,-0.24861131608486176,0.055905625224113464,-0.33787059783935547,-0.4208962917327881,0.08302569389343262,0.33787059783935547,0.4208962917327881,-0.08302569389343262,113.33331298828125,106.66665649414062,6.666656494140625,-0.03366100947062175,-0.0417659600575765,0.008104950586954748,-0.09549795091152191,-0.12725599110126495,0.03175804018974304,-0.2421119064092636,-0.2926071882247925,0.05049528181552887
67#34,PC_ON,AC_off,logit,Mach,Mach_x-04,clamp_minus_normal,-0.09274306893348694,-0.14689035713672638,0.05414728820323944,-0.2726544141769409,-0.35896599292755127,0.08631157875061035,0.2726544141769409,0.35896599292755127,-0.08631157875061035,126.66665649414062,113.33331298828125,13.333343505859375,-0.02879942576090495,-0.0374287223815918,0.008629296620686847,-0.010596513748168945,-0.04184158146381378,0.031245067715644836,-0.25831717252731323,-0.32053518295288086,0.06221801042556763
67#34,PC_ON,AC_off,logit,Mach,Mach_x-03,response_minus_blank,-0.1513424664735794,-0.1956041008234024,0.044261634349823,-0.2654116153717041,-0.3308703899383545,0.06545877456665039,0.2654116153717041,0.3308703899383545,-0.06545877456665039,113.33331298828125,106.66665649414062,6.666656494140625,-0.026436554590861003,-0.03281912485758464,0.006382570266723637,-0.07499009370803833,-0.10022377967834473,0.025233685970306396,-0.19017420709133148,-0.22974123060703278,0.039567023515701294
67#34,PC_ON,AC_off,logit,Mach,Mach_x-03,clamp_minus_normal,-0.07503818720579147,-0.1183585375547409,0.04332035034894943,-0.22066974639892578,-0.2892434597015381,0.0685737133026123,0.22066974639892578,0.2892434597015381,-0.0685737133026123,126.66665649414062,113.33331298828125,13.333343505859375,-0.023310874303181968,-0.030146980285644533,0.006836105982462565,-0.00857098400592804,-0.03371278941631317,0.025141805410385132,-0.20906320214271545,-0.25820431113243103,0.049141108989715576
67#34,PC_ON,AC_off,logit,Mach,Mach_x-02,response_minus_blank,-0.10089734196662903,-0.13013829290866852,0.02924095094203949,-0.17694520950317383,-0.21979856491088867,0.042853355407714844,0.17694520950317383,0.21979856491088867,-0.042853355407714844,113.33331298828125,106.66665649414062,6.666656494140625,-0.017619899113972985,-0.021787970860799154,0.004168071746826169,-0.04999855160713196,-0.06680265069007874,0.016804099082946777,-0.1267465204000473,-0.15230296552181244,0.025556445121765137
67#34,PC_ON,AC_off,logit,Mach,Mach_x-02,clamp_minus_normal,-0.051101405173540115,-0.07997724413871765,0.028875838965177536,-0.15031087398529053,-0.19522082805633545,0.04490995407104492,0.15031087398529053,0.19522082805633545,-0.04490995407104492,126.66665649414062,113.33331298828125,13.333343505859375,-0.01588124910990397,-0.020328747431437175,0.004447498321533204,-0.0058354586362838745,-0.02280247211456299,0.016967013478279114,-0.14240336418151855,-0.17414280772209167,0.03173944354057312
67#34,PC_ON,AC_off,logit,Mach,Mach_x-01,response_minus_blank,-0.05045764520764351,-0.06500256061553955,0.014544915407896042,-0.08849954605102539,-0.10970067977905273,0.021201133728027344,0.08849954605102539,0.10970067977905273,-0.021201133728027344,113.33331298828125,106.66665649414062,6.666656494140625,-0.008810424009958904,-0.010869083404541015,0.002058659394582111,-0.02500253915786743,-0.03340035676956177,0.008397817611694336,-0.06337995827198029,-0.07591773569583893,0.012537777423858643
