group,mode,channel,family,name,kind,current_mean_on,previous_mean_on,delta_mean_on,current_peak_signed,previous_peak_signed,delta_peak_signed,current_peak_absolute,previous_peak_absolute,delta_peak_absolute,current_peak_latency_from_onset_ms,previous_peak_latency_from_onset_ms,delta_peak_latency_from_onset_ms,current_integral_response_seconds,previous_integral_response_seconds,delta_integral_response_seconds,current_onset_50ms_mean,previous_onset_50ms_mean,delta_onset_50ms_mean,current_offset_50ms_mean,previous_offset_50ms_mean,delta_offset_50ms_mean
MC_OFF,AC_off,logit,Mach,Mach_x-03,clamp_minus_normal,0.09300342202186584,0.11132481880486012,-0.01832139678299427,0.22746410965919495,0.24486076831817627,-0.017396658658981323,0.22746410965919495,0.24486076831817627,-0.017396658658981323,126.66665649414062,118.33332824707031,8.333328247070312,0.0228464142481486,0.024446146885553997,-0.0015997326374053954,0.01575370505452156,0.030467255041003227,-0.014713549986481667,0.21043594926595688,0.21398677304387093,-0.0035508237779140472
MC_OFF,AC_off,logit,Mach,Mach_x-02,response_minus_blank,0.12699925526976585,0.13687370903789997,-0.009874453768134117,0.1964467465877533,0.2065315991640091,-0.010084852576255798,0.1964467465877533,0.2065315991640091,-0.010084852576255798,104.99999237060547,78.33332061767578,26.666671752929688,0.019461705684661865,0.020154875914255778,-0.0006931702295939132,0.07377676293253899,0.08252749592065811,-0.008750732988119125,0.12203600257635117,0.12054438889026642,0.0014916136860847473
MC_OFF,AC_off,logit,Mach,Mach_x-02,clamp_minus_normal,0.06452824082225561,0.07692448981106281,-0.012396248988807201,0.1576705425977707,0.16892540454864502,-0.011254861950874329,0.1576705425977707,0.16892540454864502,-0.011254861950874329,126.66665649414062,118.33332824707031,8.333328247070312,0.015835450887680055,0.016855152050654094,-0.0010197011629740384,0.010934745892882347,0.02107211761176586,-0.010137371718883514,0.14587193727493286,0.14753703400492668,-0.0016650967299938202
MC_OFF,AC_off,logit,Mach,Mach_x-01,response_minus_blank,0.06342971697449684,0.06823902204632759,-0.0048093050718307495,0.09801873564720154,0.10289011895656586,-0.004871383309364319,0.09801873564720154,0.10289011895656586,-0.004871383309364319,104.99999237060547,78.33332061767578,26.666671752929688,0.00970597803592682,0.010017636020978292,-0.0003116579850514726,0.0368866641074419,0.04125054180622101,-0.004363877698779106,0.06078094057738781,0.05970042012631893,0.0010805204510688782
MC_OFF,AC_off,logit,Mach,Mach_x-01,clamp_minus_normal,0.03225077502429485,0.03839475102722645,-0.006143976002931595,0.07865151762962341,0.08404834568500519,-0.005396828055381775,0.07865151762962341,0.08404834568500519,-0.005396828055381775,126.66665649414062,118.33332824707031,8.333328247070312,0.00789787789185842,0.00837903340657552,-0.000481155514717101,0.005469789728522301,0.010539229959249496,-0.005069440230727196,0.07276594638824463,0.07333608344197273,-0.0005701370537281036
MC_OFF,AC_off,logit,Mach,Mach_x+00,response_minus_blank,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MC_OFF,AC_off,logit,Mach,Mach_x+00,clamp_minus_normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MC_OFF,AC_off,logit,Mach,Mach_x+01,response_minus_blank,-0.06342972069978714,-0.06823902204632759,0.004809301346540451,-0.09801875054836273,-0.10289010405540466,0.004871353507041931,0.09801875054836273,0.10289010405540466,-0.004871353507041931,104.99999237060547,78.33332061767578,26.666671752929688,-0.009705978433291119,-0.010017635822296143,0.0003116573890050243,-0.0368866641074419,-0.04125053994357586,0.004363875836133957,-0.06078094244003296,-0.05970041826367378,-0.0010805241763591766
MC_OFF,AC_off,logit,Mach,Mach_x+01,clamp_minus_normal,-0.032250779680907726,-0.03839475009590387,0.006143970414996147,-0.07865151762962341,-0.08404834568500519,0.005396828055381775,0.07865151762962341,0.08404834568500519,-0.005396828055381775,126.66665649414062,118.33332824707031,8.333328247070312,-0.007897878487904866,-0.008379033207893372,0.0004811547199885056,-0.005469789728522301,-0.010539228096604347,0.0050694383680820465,-0.07276595011353493,-0.07333608344197273,0.0005701333284378052
MC_OFF,AC_off,logit,Mach,Mach_x+02,response_minus_blank,-0.12699925154447556,-0.13687370903789997,0.009874457493424416,-0.1964467614889145,-0.2065316140651703,0.010084852576255798,0.1964467614889145,0.2065316140651703,-0.010084852576255798,104.99999237060547,78.33332061767578,26.666671752929688,-0.019461705684661865,-0.020154875914255778,0.0006931702295939132,-0.07377676106989384,-0.08252749592065811,0.008750734850764275,-0.12203599885106087,-0.12054438889026642,-0.0014916099607944489
MC_OFF,AC_off,logit,Mach,Mach_x+02,clamp_minus_normal,-0.06452824082225561,-0.07692448794841766,0.012396247126162052,-0.15767055749893188,-0.16892540454864502,0.011254847049713135,0.15767055749893188,0.16892540454864502,-0.011254847049713135,126.66665649414062,118.33332824707031,8.333328247070312,-0.015835451285044353,-0.01685515244801839,0.0010197011629740384,-0.010934744030237198,-0.021072112023830414,0.010137367993593216,-0.14587193354964256,-0.14753703027963638,0.0016650967299938202
MC_OFF,AC_off,logit,Mach,Mach_x+03,response_minus_blank,-0.19090453907847404,-0.20635094493627548,0.015446405857801437,-0.2958269864320755,-0.31177064776420593,0.015943661332130432,0.2958269864320755,0.31177064776420593,-0.015943661332130432,104.99999237060547,78.33332061767578,26.666671752929688,-0.029325797160466516,-0.030537342230478923,0.001211545070012407,-0.11069181933999062,-0.12387845665216446,0.013186637312173843,-0.18430890887975693,-0.18371107429265976,-0.000597834587097168
MC_OFF,AC_off,logit,Mach,Mach_x+03,clamp_minus_normal,-0.09300342947244644,-0.11132483184337616,0.018321402370929718,-0.22746412456035614,-0.24486079812049866,0.017396673560142517,0.22746412456035614,0.24486079812049866,-0.017396673560142517,126.66665649414062,118.33332824707031,8.333328247070312,-0.0228464142481486,-0.024446147680282592,0.0015997334321339908,-0.015753712505102158,-0.03046727180480957,0.014713559299707413,-0.21043596416711807,-0.21398676931858063,0.003550805151462555
MC_OFF,AC_off,logit,Mach,Mach_x+04,response_minus_blank,-0.234141044318676,-0.25268008187413216,0.01853903755545616,-0.3626902252435684,-0.3817056715488434,0.019015446305274963,0.3626902252435684,0.3817056715488434,-0.019015446305274963,104.99999237060547,78.33332061767578,26.666671752929688,-0.03595860401789348,-0.037379233837127684,0.0014206298192342079,-0.13580717891454697,-0.15176629647612572,0.01595911756157875,-0.2259225808084011,-0.22475319728255272,-0.0011693835258483887
MC_OFF,AC_off,logit,Mach,Mach_x+04,clamp_minus_normal,-0.11351674236357212,-0.13604075834155083,0.022524015977978706,-0.27751247584819794,-0.2989529222249985,0.021440446376800537,0.27751247584819794,0.2989529222249985,-0.021440446376800537,126.66665649414062,118.33332824707031,8.333328247070312,-0.027870028018951415,-0.029845023155212404,0.001974995136260989,-0.0192372165620327,-0.03726129233837128,0.018024075776338577,-0.25671301409602165,-0.26122940704226494,0.004516392946243286
