cell_id,group,mode,channel,family,name,kind,mean_on,peak_signed,peak_absolute,peak_latency_from_onset_ms,integral_response_seconds,onset_50ms_mean,offset_50ms_mean,control,x_pixels
67#4,PC_OFF,normal,logit,Mach,Mach_uniform_x-11,response_minus_blank,0.18015435338020325,0.2606518864631653,0.2606518864631653,66.66665649414062,0.023063829739888513,0.11089369654655457,0.13402488827705383,,
67#4,PC_OFF,normal,logit,Mach,Mach_uniform_x-11,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,Mach,Mach_uniform_x-10,response_minus_blank,0.18015435338020325,0.2606518864631653,0.2606518864631653,66.66665649414062,0.023063829739888513,0.11089369654655457,0.13402488827705383,,
67#4,PC_OFF,normal,logit,Mach,Mach_uniform_x-10,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,Mach,Mach_uniform_x-09,response_minus_blank,0.18015435338020325,0.2606518864631653,0.2606518864631653,66.66665649414062,0.023063829739888513,0.11089369654655457,0.13402488827705383,,
67#4,PC_OFF,normal,logit,Mach,Mach_uniform_x-09,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,Mach,Mach_uniform_x-08,response_minus_blank,0.18015435338020325,0.2606518864631653,0.2606518864631653,66.66665649414062,0.023063829739888513,0.11089369654655457,0.13402488827705383,,
67#4,PC_OFF,normal,logit,Mach,Mach_uniform_x-08,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,Mach,Mach_uniform_x-07,response_minus_blank,0.18015435338020325,0.2606518864631653,0.2606518864631653,66.66665649414062,0.023063829739888513,0.11089369654655457,0.13402488827705383,,
67#4,PC_OFF,normal,logit,Mach,Mach_uniform_x-07,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,Mach,Mach_uniform_x-06,response_minus_blank,0.18015435338020325,0.2606518864631653,0.2606518864631653,66.66665649414062,0.023063829739888513,0.11089369654655457,0.13402488827705383,,
67#4,PC_OFF,normal,logit,Mach,Mach_uniform_x-06,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,Mach,Mach_uniform_x-05,response_minus_blank,0.18015435338020325,0.2606518864631653,0.2606518864631653,66.66665649414062,0.023063829739888513,0.11089369654655457,0.13402488827705383,,
67#4,PC_OFF,normal,logit,Mach,Mach_uniform_x-05,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,Mach,Mach_uniform_x-04,response_minus_blank,0.18015435338020325,0.2606518864631653,0.2606518864631653,66.66665649414062,0.023063829739888513,0.11089369654655457,0.13402488827705383,,
67#4,PC_OFF,normal,logit,Mach,Mach_uniform_x-04,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,Mach,Mach_uniform_x-03,response_minus_blank,0.13516421616077423,0.19557112455368042,0.19557112455368042,66.66665649414062,0.017305415471394858,0.08318526297807693,0.10057459026575089,,
67#4,PC_OFF,normal,logit,Mach,Mach_uniform_x-03,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,Mach,Mach_uniform_x-02,response_minus_blank,0.09014178812503815,0.13043564558029175,0.13043564558029175,66.66665649414062,0.011541976928710937,0.055466845631599426,0.06708706170320511,,
67#4,PC_OFF,normal,logit,Mach,Mach_uniform_x-02,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,Mach,Mach_uniform_x-01,response_minus_blank,0.0450870580971241,0.06524527072906494,0.06524527072906494,66.66665649414062,0.005773508548736572,0.02773842215538025,0.03356221318244934,,
67#4,PC_OFF,normal,logit,Mach,Mach_uniform_x-01,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,Mach,Mach_uniform_x+00,response_minus_blank,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,Mach,Mach_uniform_x+00,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,Mach,Mach_uniform_x+01,response_minus_blank,-0.04508707672357559,-0.06524533033370972,0.06524533033370972,66.66665649414062,-0.005773510138193766,-0.027738429605960846,-0.03356221318244934,,
67#4,PC_OFF,normal,logit,Mach,Mach_uniform_x+01,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,Mach,Mach_uniform_x+02,response_minus_blank,-0.09014178812503815,-0.13043564558029175,0.13043564558029175,66.66665649414062,-0.011541976928710937,-0.05546683818101883,-0.06708703935146332,,
67#4,PC_OFF,normal,logit,Mach,Mach_uniform_x+02,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,Mach,Mach_uniform_x+03,response_minus_blank,-0.13516420125961304,-0.19557112455368042,0.19557112455368042,66.66665649414062,-0.017305415471394858,-0.08318525552749634,-0.10057459771633148,,
67#4,PC_OFF,normal,logit,Mach,Mach_uniform_x+03,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,Mach,Mach_uniform_x+04,response_minus_blank,-0.18015436828136444,-0.2606518864631653,0.2606518864631653,66.66665649414062,-0.023063831329345703,-0.11089370399713516,-0.13402488827705383,,
67#4,PC_OFF,normal,logit,Mach,Mach_uniform_x+04,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,Mach,Mach_uniform_x+05,response_minus_blank,-0.18015436828136444,-0.2606518864631653,0.2606518864631653,66.66665649414062,-0.023063831329345703,-0.11089370399713516,-0.13402488827705383,,
67#4,PC_OFF,normal,logit,Mach,Mach_uniform_x+05,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,Mach,Mach_uniform_x+06,response_minus_blank,-0.18015436828136444,-0.2606518864631653,0.2606518864631653,66.66665649414062,-0.023063831329345703,-0.11089370399713516,-0.13402488827705383,,
67#4,PC_OFF,normal,logit,Mach,Mach_uniform_x+06,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,Mach,Mach_uniform_x+07,response_minus_blank,-0.18015436828136444,-0.2606518864631653,0.2606518864631653,66.66665649414062,-0.023063831329345703,-0.11089370399713516,-0.13402488827705383,,
67#4,PC_OFF,normal,logit,Mach,Mach_uniform_x+07,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,,
