combination_id,69#4,67#6,68#4,67#4,Mach dark_normal,Mach dark_AC_off,Mach dark_reversed,Mach bright_normal,Mach bright_AC_off,Mach bright_reversed,SBC_normal,SBC_AC_off,SBC_reversed,Hermann_normal,Hermann_AC_off,Hermann_reversed,White_normal,White_AC_off,White_reversed
C11,primary,fresh_1,primary,fresh_1,-0.003677037267973929,0.0025513453917069867,True,0.0036770394354155573,-0.0025513415986841374,True,-0.03805966052142056,0.0025484944834853664,True,-0.01944036953377001,0.0008799269343867446,True,0.01902917460961775,-0.0012889677828008478,True
C12,primary,fresh_1,primary,fresh_2,-0.0037542223930358888,0.002581171194712321,True,0.003754224199237245,-0.002581167762929743,True,-0.0388307789961497,0.002522298783966989,True,-0.019823051221442945,0.0008708298206329345,True,0.019415333234902583,-0.0012756423516706984,True
C13,primary,fresh_1,fresh_1,primary,-0.0036213956095955593,0.0025773259726437655,True,0.0036213981382774586,-0.0025773227214813234,True,-0.038292139768600464,0.0025498112042744952,True,-0.019555481997403232,0.0008803976304603344,True,0.01914551637389443,-0.0012896516106345437,True
C14,primary,fresh_1,fresh_1,fresh_1,-0.0036220290444113996,0.0025538961092631024,True,0.0036220312118530273,-0.002553892316240253,True,-0.03808637640692971,0.002547555258779815,True,-0.019452815344839385,0.0008796043468244148,True,0.01904262647484288,-0.0012884960030064437,True
C15,primary,fresh_1,fresh_1,fresh_2,-0.0036992141694733595,0.0025837219122684363,True,0.003699215975674716,-0.0025837184804858586,True,-0.03885749488165884,0.0025213595592614374,True,-0.019835497032512316,0.0008705072330706047,True,0.019428785100127712,-0.0012751705718762945,True
C16,primary,fresh_1,fresh_2,primary,-0.0036313904054237137,0.0025945853103290905,True,0.0036313932953458846,-0.0025945820591666484,True,-0.0385802686214447,0.002556994105830337,True,-0.019697385123281768,0.0008829071666255141,True,0.0192893001166257,-0.0012933116970640238,True
C17,primary,fresh_1,fresh_2,fresh_1,-0.003632023840239554,0.002571155446948427,True,0.003632026368921453,-0.002571151653925578,True,-0.03837450525977395,0.002554738160335656,True,-0.01959471847071792,0.0008821138829895943,True,0.019186410217574147,-0.001292156089435924,True
C18,primary,fresh_1,fresh_2,fresh_2,-0.003709208965301514,0.0026009812499537613,True,0.0037092111327431416,-0.0026009778181711836,True,-0.03914562373450308,0.0025285424608172792,True,-0.019977400158390855,0.0008730167692357842,True,0.01957256884285898,-0.001278830658305775,True
C19,primary,fresh_2,primary,primary,-0.0036662313071164215,0.002765928253983006,True,0.0036662338357983213,-0.0027659248222004283,True,-0.03920181863235705,0.003075736580473004,True,-0.02006108399593469,0.0010598675771193071,True,0.019594626173828587,-0.0015520363142996123,True
C20,primary,fresh_2,primary,fresh_1,-0.003666864741932262,0.002742498390602343,True,0.0036668669093738904,-0.002742494416959358,True,-0.038996055270686295,0.0030734806349783234,True,-0.01995841734337084,0.0010590742934833872,True,0.019491736274777037,-0.0015508807066715125,True
C21,primary,fresh_2,primary,fresh_2,-0.003744049866994222,0.0027723241936076773,True,0.003744051673195579,-0.0027723205812049635,True,-0.03976717374541543,0.003047284935459946,True,-0.020341099031043777,0.0010499771797295773,True,0.01987789490006187,-0.0015375552755413633,True
C22,primary,fresh_2,fresh_1,primary,-0.0036112230835538923,0.0027684789715391217,True,0.003611225612235792,-0.002768475539756544,True,-0.03922853451786619,0.0030747973557674526,True,-0.02007352980700406,0.001059544989556977,True,0.019608078039053716,-0.0015515645345052084,True
C23,primary,fresh_2,fresh_1,fresh_1,-0.0036118565183697326,0.002745049108158458,True,0.003611858685811361,-0.0027450451345154736,True,-0.039022771156195436,0.0030725414102727717,True,-0.019970863154440213,0.0010587517059210574,True,0.019505188140002162,-0.0015504089268771086,True
