cell_id,group,fit_a,fit_b,signature,nll_a,nll_b,absolute_nll_difference,normal_a,normal_b,AC_off_a,AC_off_b,normal_sign_opposite,AC_off_sign_opposite,reversal_status_different
69#4,MC ON,fresh_1,fresh_2,Hermann,0.4381025433540344,0.43547961115837097,0.002622932195663452,-0.09394805133342743,-0.10119044780731201,-0.0013245264999568462,-0.0015141050098463893,False,False,False
69#4,MC ON,fresh_1,fresh_2,White,0.4381025433540344,0.43547961115837097,0.002622932195663452,0.0944184809923172,0.1016756072640419,0.0019402821781113744,0.0022180716041475534,False,False,False
67#6,MC OFF,primary,fresh_1,Mach dark,0.4422644376754761,0.4459848701953888,0.0037204325199127197,-0.0010932644363492727,-0.00022583802638109773,-0.015360148623585701,-0.01762973889708519,False,False,False
67#6,MC OFF,primary,fresh_1,Mach bright,0.4422644376754761,0.4459848701953888,0.0037204325199127197,0.0010932683944702148,0.00022583802638109773,0.015360148623585701,0.01762973517179489,False,False,False
67#6,MC OFF,primary,fresh_1,SBC,0.4422644376754761,0.4459848701953888,0.0037204325199127197,0.1446346491575241,0.15866835415363312,0.02997819520533085,0.018864456564188004,False,False,False
67#6,MC OFF,primary,fresh_1,Hermann,0.4422644376754761,0.4459848701953888,0.0037204325199127197,0.06962106376886368,0.07775743305683136,0.010212088003754616,0.006423910614103079,False,False,False
67#6,MC OFF,primary,fresh_1,White,0.4422644376754761,0.4459848701953888,0.0037204325199127197,-0.07275699079036713,-0.07966020703315735,-0.014950752258300781,-0.009406820870935917,False,False,False
67#6,MC OFF,primary,fresh_2,Mach dark,0.4422644376754761,0.4446631669998169,0.0023987293243408203,-0.0010932644363492727,-2.0424524791451404e-06,-0.015360148623585701,-0.013424372300505638,False,False,False
67#6,MC OFF,primary,fresh_2,Mach bright,0.4422644376754761,0.4446631669998169,0.0023987293243408203,0.0010932683944702148,2.0424524791451404e-06,0.015360148623585701,0.013424372300505638,False,False,False
67#6,MC OFF,primary,fresh_2,SBC,0.4422644376754761,0.4446631669998169,0.0023987293243408203,0.1446346491575241,0.13806767761707306,0.02997819520533085,0.030414152890443802,False,False,False
67#6,MC OFF,primary,fresh_2,Hermann,0.4422644376754761,0.4446631669998169,0.0023987293243408203,0.06962106376886368,0.06636037677526474,0.010212088003754616,0.010365152731537819,False,False,False
67#6,MC OFF,primary,fresh_2,White,0.4422644376754761,0.4446631669998169,0.0023987293243408203,-0.07275699079036713,-0.06948385387659073,-0.014950752258300781,-0.015168905258178711,False,False,False
67#6,MC OFF,fresh_1,fresh_2,Mach dark,0.4459848701953888,0.4446631669998169,0.0013217031955718994,-0.00022583802638109773,-2.0424524791451404e-06,-0.01762973889708519,-0.013424372300505638,False,False,False
67#6,MC OFF,fresh_1,fresh_2,Mach bright,0.4459848701953888,0.4446631669998169,0.0013217031955718994,0.00022583802638109773,2.0424524791451404e-06,0.01762973517179489,0.013424372300505638,False,False,False
67#6,MC OFF,fresh_1,fresh_2,SBC,0.4459848701953888,0.4446631669998169,0.0013217031955718994,0.15866835415363312,0.13806767761707306,0.018864456564188004,0.030414152890443802,False,False,False
67#6,MC OFF,fresh_1,fresh_2,Hermann,0.4459848701953888,0.4446631669998169,0.0013217031955718994,0.07775743305683136,0.06636037677526474,0.006423910614103079,0.010365152731537819,False,False,False
67#6,MC OFF,fresh_1,fresh_2,White,0.4459848701953888,0.4446631669998169,0.0013217031955718994,-0.07966020703315735,-0.06948385387659073,-0.009406820870935917,-0.015168905258178711,False,False,False
68#4,PC ON,primary,fresh_1,Mach dark,0.4271003007888794,0.42780953645706177,0.000709235668182373,-0.020625822246074677,-0.019415641203522682,0.0068292380310595036,0.006885353941470385,False,False,False
68#4,PC ON,primary,fresh_1,Mach bright,0.4271003007888794,0.42780953645706177,0.000709235668182373,0.020625822246074677,0.019415641203522682,-0.0068292380310595036,-0.006885353941470385,False,False,False
68#4,PC ON,primary,fresh_1,SBC,0.4271003007888794,0.42780953645706177,0.000709235668182373,-0.14914974570274353,-0.14973750710487366,-0.0021190643310546875,-0.0021397273521870375,False,False,False
68#4,PC ON,primary,fresh_1,Hermann,0.4271003007888794,0.42780953645706177,0.000709235668182373,-0.07491901516914368,-0.07519282400608063,-0.0007385730859823525,-0.0007456699968315661,False,False,False
68#4,PC ON,primary,fresh_1,White,0.4271003007888794,0.42780953645706177,0.000709235668182373,0.07469642907381058,0.07499237358570099,0.0010789871448650956,0.0010893662692978978,False,False,False
68#4,PC ON,primary,fresh_2,Mach dark,0.4271003007888794,0.4283381998538971,0.0012378990650177002,-0.020625822246074677,-0.019635526463389397,0.0068292380310595036,0.007265059277415276,False,False,False
68#4,PC ON,primary,fresh_2,Mach bright,0.4271003007888794,0.4283381998538971,0.0012378990650177002,0.020625822246074677,0.019635533913969994,-0.0068292380310595036,-0.007265059277415276,False,False,False
68#4,PC ON,primary,fresh_2,SBC,0.4271003007888794,0.4283381998538971,0.0012378990650177002,-0.14914974570274353,-0.1560763418674469,-0.0021190643310546875,-0.001981703331694007,False,False,False
68#4,PC ON,primary,fresh_2,Hermann,0.4271003007888794,0.4283381998538971,0.0012378990650177002,-0.07491901516914368,-0.07831469178199768,-0.0007385730859823525,-0.000690460205078125,False,False,False
68#4,PC ON,primary,fresh_2,White,0.4271003007888794,0.4283381998538971,0.0012378990650177002,0.07469642907381058,0.07815561443567276,0.0010789871448650956,0.0010088443523272872,False,False,False
68#4,PC ON,fresh_1,fresh_2,Mach dark,0.42780953645706177,0.4283381998538971,0.0005286633968353271,-0.019415641203522682,-0.019635526463389397,0.006885353941470385,0.007265059277415276,False,False,False
68#4,PC ON,fresh_1,fresh_2,Mach bright,0.42780953645706177,0.4283381998538971,0.0005286633968353271,0.019415641203522682,0.019635533913969994,-0.006885353941470385,-0.007265059277415276,False,False,False
68#4,PC ON,fresh_1,fresh_2,SBC,0.42780953645706177,0.4283381998538971,0.0005286633968353271,-0.14973750710487366,-0.1560763418674469,-0.0021397273521870375,-0.001981703331694007,False,False,False
68#4,PC ON,fresh_1,fresh_2,Hermann,0.42780953645706177,0.4283381998538971,0.0005286633968353271,-0.07519282400608063,-0.07831469178199768,-0.0007456699968315661,-0.000690460205078125,False,False,False
68#4,PC ON,fresh_1,fresh_2,White,0.42780953645706177,0.4283381998538971,0.0005286633968353271,0.07499237358570099,0.07815561443567276,0.0010893662692978978,0.0010088443523272872,False,False,False
67#4,PC OFF,primary,fresh_1,Mach dark,0.46489620208740234,0.4635287821292877,0.001367419958114624,-0.0032687862403690815,-0.0032827218528836966,-0.012213850393891335,-0.01272930670529604,False,False,False
67#4,PC OFF,primary,fresh_1,Mach bright,0.46489620208740234,0.4635287821292877,0.001367419958114624,0.00326880207285285,0.003282729769125581,0.012213842011988163,0.012729311361908913,False,False,False
67#4,PC OFF,primary,fresh_1,SBC,0.46489620208740234,0.4635287821292877,0.001367419958114624,0.051991935819387436,0.05651872977614403,0.002000149106606841,0.001950518344528973,False,False,False
67#4,PC OFF,primary,fresh_1,Hermann,0.46489620208740234,0.4635287821292877,0.001367419958114624,0.025725483894348145,0.027984149754047394,0.0006956656579859555,0.0006782134296372533,False,False,False
67#4,PC OFF,primary,fresh_1,White,0.46489620208740234,0.4635287821292877,0.001367419958114624,-0.02602955512702465,-0.028293132781982422,-0.0010185003047809005,-0.0009930769447237253,False,False,False
67#4,PC OFF,primary,fresh_2,Mach dark,0.46489620208740234,0.46188926696777344,0.0030069351196289062,-0.0032687862403690815,-0.004980794619768858,-0.012213850393891335,-0.012073139660060406,False,False,False
67#4,PC OFF,primary,fresh_2,Mach bright,0.46489620208740234,0.46188926696777344,0.0030069351196289062,0.00326880207285285,0.004980794619768858,0.012213842011988163,0.012073135003447533,False,False,False
67#4,PC OFF,primary,fresh_2,SBC,0.46489620208740234,0.46188926696777344,0.0030069351196289062,0.051991935819387436,0.03955412283539772,0.002000149106606841,0.0013742129085585475,False,False,False
67#4,PC OFF,primary,fresh_2,Hermann,0.46489620208740234,0.46188926696777344,0.0030069351196289062,0.025725483894348145,0.019565153867006302,0.0006956656579859555,0.00047807692317292094,False,False,False
67#4,PC OFF,primary,fresh_2,White,0.46489620208740234,0.46188926696777344,0.0030069351196289062,-0.02602955512702465,-0.019797643646597862,-0.0010185003047809005,-0.0006999174947850406,False,False,False
67#4,PC OFF,fresh_1,fresh_2,Mach dark,0.4635287821292877,0.46188926696777344,0.0016395151615142822,-0.0032827218528836966,-0.004980794619768858,-0.01272930670529604,-0.012073139660060406,False,False,False
67#4,PC OFF,fresh_1,fresh_2,Mach bright,0.4635287821292877,0.46188926696777344,0.0016395151615142822,0.003282729769125581,0.004980794619768858,0.012729311361908913,0.012073135003447533,False,False,False
67#4,PC OFF,fresh_1,fresh_2,SBC,0.4635287821292877,0.46188926696777344,0.0016395151615142822,0.05651872977614403,0.03955412283539772,0.001950518344528973,0.0013742129085585475,False,False,False
67#4,PC OFF,fresh_1,fresh_2,Hermann,0.4635287821292877,0.46188926696777344,0.0016395151615142822,0.027984149754047394,0.019565153867006302,0.0006782134296372533,0.00047807692317292094,False,False,False
67#4,PC OFF,fresh_1,fresh_2,White,0.4635287821292877,0.46188926696777344,0.0016395151615142822,-0.028293132781982422,-0.019797643646597862,-0.0009930769447237253,-0.0006999174947850406,False,False,False
