cell_id,group,fit,seed,signature,pair_name,control,pair_a,pair_b,normal_paired_logit,AC_off_paired_logit,normal_A,normal_B,AC_off_A,AC_off_B,normal_sign,AC_off_sign,AC_off_reverses_normal,normal_mean_on,normal_peak_signed,normal_peak_absolute,normal_peak_latency_from_onset_ms,normal_integral_response_seconds,normal_onset_50ms_mean,normal_offset_50ms_mean,AC_off_mean_on,AC_off_peak_signed,AC_off_peak_absolute,AC_off_peak_latency_from_onset_ms,AC_off_integral_response_seconds,AC_off_onset_50ms_mean,AC_off_offset_50ms_mean
68#4,PC ON,fresh_1,20360837,White,on_bright_bar_minus_on_dark_bar,False,58,59,0.07499237358570099,0.0010893662692978978,-1.5263035297393799,-1.6012959480285645,-1.5632551908493042,-1.5643445253372192,1,1,False,0.07499237358570099,0.11452126502990723,0.11452126502990723,100.0,0.011913946469624837,0.04689866304397583,0.07026678323745728,0.0010893662692978978,0.003926515579223633,0.003926515579223633,133.33331298828125,0.0006157032648722332,0.00034877657890319824,0.003696948289871216
68#4,PC ON,fresh_1,20360837,control_on_bright_bar_minus_on_dark_bar,control_on_bright_bar_minus_on_dark_bar,True,60,61,0.0,0.0,-1.563799500465393,-1.563799500465393,-1.563799500465393,-1.563799500465393,0,0,False,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
68#4,PC ON,fresh_1,20360837,remote_contour_rearrangement_control_A_minus_B,remote_contour_rearrangement_control_A_minus_B,True,65,66,0.0,0.0,-1.563799500465393,-1.563799500465393,-1.563799500465393,-1.563799500465393,0,0,False,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
68#4,PC ON,fresh_1,20360837,contour_rearrangement_control_A_minus_B,contour_rearrangement_control_A_minus_B,True,69,70,0.0,0.0,-1.6171447038650513,-1.6171447038650513,-1.4056665897369385,-1.4056665897369385,0,0,False,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
68#4,PC ON,fresh_2,20460837,Mach dark,ramp_minus_matched_uniform_x-04,False,8,33,-0.019635526463389397,0.007265059277415276,-1.4575412273406982,-1.4379057884216309,-1.7180389165878296,-1.725304126739502,-1,1,True,-0.019635526463389397,-0.028270602226257324,0.028270602226257324,66.66665649414062,-0.002731344699859619,-0.012580886483192444,-0.014169394969940186,0.007265059277415276,0.014646410942077637,0.014646410942077637,100.0,0.00143418550491333,0.00420716404914856,0.010543793439865112
68#4,PC ON,fresh_2,20460837,Mach bright,ramp_minus_matched_uniform_x+04,False,16,41,0.019635533913969994,-0.007265059277415276,-1.6642229557037354,-1.6838585138320923,-1.4037249088287354,-1.396459937095642,1,-1,True,0.019635533913969994,0.028270602226257324,0.028270602226257324,66.66665649414062,0.0027313454945882163,0.012580886483192444,0.014169394969940186,-0.007265059277415276,-0.014646410942077637,0.014646410942077637,100.0,-0.0014341862996419272,-0.00420716404914856,-0.010543793439865112
68#4,PC ON,fresh_2,20460837,SBC,bright_surround_minus_dark_surround,False,50,51,-0.1560763418674469,-0.001981703331694007,-1.6389203071594238,-1.4828438758850098,-1.561872959136963,-1.5598912239074707,-1,-1,False,-0.1560763418674469,-0.24026918411254883,0.24026918411254883,100.0,-0.024968674977620446,-0.09660765528678894,-0.149217426776886,-0.001981703331694007,-0.006674051284790039,0.006674051284790039,126.66665649414062,-0.000996689796447754,-0.0006624162197113037,-0.006350576877593994
68#4,PC ON,fresh_2,20460837,control_bright_surround_minus_dark_surround,control_bright_surround_minus_dark_surround,True,52,53,0.0,0.0,-1.560882329940796,-1.560882329940796,-1.560882329940796,-1.560882329940796,0,0,False,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
68#4,PC ON,fresh_2,20460837,Hermann,intersection_minus_corridor,False,54,55,-0.07831469178199768,-0.000690460205078125,-1.684517741203308,-1.6062030792236328,-1.3958650827407837,-1.3951743841171265,-1,-1,False,-0.07831469178199768,-0.12086188793182373,0.12086188793182373,100.0,-0.012558828194936117,-0.04837407171726227,-0.07528190314769745,-0.000690460205078125,-0.002321600914001465,0.002321600914001465,126.66665649414062,-0.00034717003504435224,-0.00023117661476135254,-0.002209082245826721
68#4,PC ON,fresh_2,20460837,control_intersection_minus_corridor,control_intersection_minus_corridor,True,56,57,0.0,0.0,-1.6062061786651611,-1.6062061786651611,-1.3951741456985474,-1.3951741456985474,0,0,False,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
