group,probe,mode,channel,n_cells,peak_response,peak_absolute_response,peak_latency_ms_from_trial_start,peak_latency_ms_from_onset,response_integral_seconds,peak_change_vs_center_only,integral_change_vs_center_only,center_onset_50ms,center_offset_50ms,surround_first_onset_50ms,surround_first_offset_50ms,off_minus_normal_mean_abs_active,off_minus_normal_peak_signed,off_minus_normal_peak_absolute,off_minus_normal_integral_seconds
MC_OFF,large_field_50ms,AC_off,logit,4,0.20808738470077515,0.3931776285171509,606.6666666666667,306.6666666666667,-9.934107703113426e-10,-0.21896784007549286,9.934103539777084e-11,0.16464155167341232,0.23092125728726387,0.16464155167341232,0.23092125728726387,0.016561700263991952,0.15048538148403168,0.2803373783826828,-6.95387525340152e-10
MC_OFF,slow_step,AC_off,probability,4,0.09147460758686066,0.09147460758686066,1465.0,1165.0,0.17380490899085999,0.003921061754226685,9.6932053565979e-06,0.030253461096435785,0.058614276349544525,0.030253461096435785,0.08283662050962448,0.04112103581428528,0.0713171698153019,0.0713171698153019,0.08287479914724827
MC_OFF,slow_1Hz,AC_off,probability,4,0.09147495031356812,0.09147495031356812,965.0,665.0,0.17380357161164284,0.003921404480934143,8.355826139450073e-06,0.030253461096435785,0.05861455388367176,0.030253461096435785,0.08283857628703117,0.04117577988654375,0.0713171698153019,0.0713171698153019,0.08298410288989544
MC_OFF,slow_2Hz,AC_off,probability,4,0.09148238599300385,0.09148238599300385,711.6666666666667,411.6666666666667,0.1738007739186287,0.003928840160369873,5.558133125305176e-06,0.030253461096435785,0.058620511554181576,0.030253461096435785,0.08278656844049692,0.04129026643931866,0.0713171698153019,0.0713171698153019,0.08320926129817963
MC_OFF,rapid_10Hz,AC_off,probability,4,0.09048473834991455,0.09048473834991455,433.33333333333337,133.33333333333337,0.17378532513976097,0.0029311925172805786,-9.890645742416382e-06,0.030253461096435785,0.056196452118456364,0.030253461096435785,0.07961653731763363,0.04176850151270628,0.06087799742817879,0.06087799742817879,0.08484602347016335
MC_OFF,rapid_20Hz,AC_off,probability,4,0.0886446014046669,0.0886446014046669,440.0,140.0,0.17378690466284752,0.0010910555720329285,-8.31112265586853e-06,0.030253461096435785,0.05470812600106001,0.030253461096435785,0.06802259013056755,0.041662015952169895,0.04818304628133774,0.04818304628133774,0.08529188111424446
MC_OFF,transient_50ms,AC_off,probability,4,0.09073031693696976,0.09073031693696976,1385.0,1085.0,0.17379706725478172,0.003176771104335785,1.8514692783355713e-06,0.030253461096435785,0.05457241367548704,0.030253461096435785,0.07949700206518173,0.04147884529083967,0.06038873642683029,0.06038873642683029,0.08522351644933224
MC_OFF,large_field_50ms,AC_off,probability,4,0.07320758700370789,0.07320758700370789,356.6666666666667,56.666666666666686,0.0005900893447687849,-0.006956502795219421,-0.0001038828631862998,0.029920425731688738,0.0425080731511116,0.029920425731688738,0.0425080731511116,0.002828954951837659,0.05155366659164429,0.05155366659164429,0.0003228340210625902
MC_ON,slow_step,normal,logit,5,0.4543219327926636,0.4543219327926636,1480.0,1180.0,0.41237837076187134,0.1745890974998474,-0.001066899299621582,0.09600746631622314,0.29034934043884275,0.09600746631622314,0.02659386396408081,0.0,0.0,0.0,0.0
MC_ON,slow_1Hz,normal,logit,5,0.4543212532997131,0.4543212532997131,980.0,680.0,0.41248524785041807,0.17458841800689698,-0.0009600222110748291,0.09600746631622314,0.2903640180826187,0.09600746631622314,0.026589207351207733,0.0,0.0,0.0,0.0
MC_ON,slow_2Hz,normal,logit,5,0.45433993339538575,0.45433993339538575,1045.3333333333335,745.3333333333334,0.4126987874507904,0.17460709810256958,-0.0007464826107025146,0.09600746631622314,0.290670183300972,0.09600746631622314,0.020682477470836604,0.0,0.0,0.0,0.0
