cell_id,group,condition,fitted_bias,convergence_residual_mean_rate,convergence_residual_total_events,iterations,train_valid_bins,train_observed_rate,train_predicted_rate_before,train_predicted_rate_after,train_nll_before,train_nll_after,bracket_lower,bracket_upper,solver_rate_tolerance,solver_width_tolerance,converged,training_logits_sha256,training_target_sha256,training_mask_sha256,protocol_sha256
67#33,MC_OFF,H1,0.025112834371091936,-8.590905764549461e-13,-1.1546177347554476e-08,38,13440,0.2005952380952381,0.19771955348997294,0.200595238094379,0.3660297161791469,0.36599354326593614,-9.61578978350486,17.86858521649514,1e-12,1e-12,True,cd4726d6aa8f19b1513773c726053169774975fdf89b5560f51ba58c561e2fac,064bcd6aa26c4bb5b5c5f321819af51f7ad7b15f24909ecd0ee764417724ca66,d3af11c33534f2158979746816b438ca50d64680ba2887ade811469339dc7ebf,740349691eb4247f2ab1990531b802aca2c57a2e954f35948dbb5913dafecfe2
67#33,MC_OFF,direct-BC,-1.569790327230856,8.588685318500211e-13,1.1543193068064284e-08,39,13440,0.2005952380952381,0.3686933943911026,0.20059523809609697,1.0041230280509612,0.8848266070113999,-12.837812793758767,1.4084554786411358,1e-12,1e-12,True,3bdbe55b908853ac558451590b26709ef7907656a8fa28752da88065bc7de165,064bcd6aa26c4bb5b5c5f321819af51f7ad7b15f24909ecd0ee764417724ca66,d3af11c33534f2158979746816b438ca50d64680ba2887ade811469339dc7ebf,740349691eb4247f2ab1990531b802aca2c57a2e954f35948dbb5913dafecfe2
67#33,MC_OFF,AC,0.4062316450332254,-4.804490139065365e-14,-6.45723474690385e-10,40,13440,0.2005952380952381,0.15532945130039716,0.20059523809519006,0.5605949673148214,0.5511891330855669,-1.658293140438454,22.536189662906274,1e-12,1e-12,True,ba519bc430010424221bb467a41995e183a3a129a9e20e4f2d3c1b058dd48095,064bcd6aa26c4bb5b5c5f321819af51f7ad7b15f24909ecd0ee764417724ca66,d3af11c33534f2158979746816b438ca50d64680ba2887ade811469339dc7ebf,740349691eb4247f2ab1990531b802aca2c57a2e954f35948dbb5913dafecfe2
67#34,PC_ON,normal,0.020281298283131084,-8.433809206565002e-13,-1.1335039573623362e-08,39,13440,0.20357142857142857,0.20110623588416957,0.2035714285705852,0.39885794011331505,0.3988328978617572,-7.401772996148762,6.829092959204021,1e-12,1e-12,True,cbd5d6003c39597792629d2280d6aa704884ebf8be01a576dd49d0d319b3dc35,ec7799b5647cc49590d321fbb598c3a974efb53b3562da1c5424f6c8206bf37f,d3af11c33534f2158979746816b438ca50d64680ba2887ade811469339dc7ebf,740349691eb4247f2ab1990531b802aca2c57a2e954f35948dbb5913dafecfe2
67#34,PC_ON,H1,0.016156217692711642,-8.866796186168813e-13,-1.1916974074210884e-08,39,13440,0.20357142857142857,0.20161047051800762,0.2035714285705419,0.39876438181522617,0.3987485190035263,-7.41017772789925,6.817974070349041,1e-12,1e-12,True,b52116a369176c87a865f60a162496c1805abbf4cb4e5ce64a83e46963ca3232,ec7799b5647cc49590d321fbb598c3a974efb53b3562da1c5424f6c8206bf37f,d3af11c33534f2158979746816b438ca50d64680ba2887ade811469339dc7ebf,740349691eb4247f2ab1990531b802aca2c57a2e954f35948dbb5913dafecfe2
67#34,PC_ON,direct-BC,0.8737649279462091,-6.63358257213531e-14,-8.915534976949857e-10,39,13440,0.20357142857142857,0.10503578560756174,0.20357142857136223,0.844133944645508,0.7977129749097988,-0.5906235181900827,13.473748186865155,1e-12,1e-12,True,c74fee07d29d1f7160512aba80a8a3ec57eb7269913e943b9c50577ab8f16f4b,ec7799b5647cc49590d321fbb598c3a974efb53b3562da1c5424f6c8206bf37f,d3af11c33534f2158979746816b438ca50d64680ba2887ade811469339dc7ebf,740349691eb4247f2ab1990531b802aca2c57a2e954f35948dbb5913dafecfe2
67#34,PC_ON,AC,-1.369504146174831,4.832245714680994e-13,6.494538240531256e-09,39,13440,0.20357142857142857,0.3480517145683444,0.2035714285719118,0.6840802316221827,0.5934717353617316,-14.58068849678963,1.6403901374724539,1e-12,1e-12,True,ee2513087022ebdcc7d31c5a18ce7d7f77d8a8808526c0888f1272fd90df2ed7,ec7799b5647cc49590d321fbb598c3a974efb53b3562da1c5424f6c8206bf37f,d3af11c33534f2158979746816b438ca50d64680ba2887ade811469339dc7ebf,740349691eb4247f2ab1990531b802aca2c57a2e954f35948dbb5913dafecfe2
68#3,MC_OFF,normal,0.0023495685881787156,-6.484257575323227e-13,-8.714842181234417e-09,39,13440,0.3021577380952381,0.30179616328860126,0.3021577380945897,0.4608442854128773,0.460843860590465,-10.561700003864145,15.783607346294547,1e-12,1e-12,True,b67af512e10b05b3b0336d5b0783df698592bb63dbdbadac42f44fee929471a8,aa91c400672a762d98fd490c35525f14ebbc40db51c44caa50d5fbc89570f41d,d3af11c33534f2158979746816b438ca50d64680ba2887ade811469339dc7ebf,740349691eb4247f2ab1990531b802aca2c57a2e954f35948dbb5913dafecfe2
68#3,MC_OFF,H1,0.001203469498250495,-6.039613253960852e-14,-8.117240213323385e-10,41,13440,0.3021577380952381,0.30197460365930895,0.3021577380951777,0.4647772974151664,0.4647771872105089,-10.30855669331727,16.175718170879506,1e-12,1e-12,True,167aba2cffb282c9b9e0dc2a874a2122ea1639948a15abe44cb6cfc3334a93e0,aa91c400672a762d98fd490c35525f14ebbc40db51c44caa50d5fbc89570f41d,d3af11c33534f2158979746816b438ca50d64680ba2887ade811469339dc7ebf,740349691eb4247f2ab1990531b802aca2c57a2e954f35948dbb5913dafecfe2
68#3,MC_OFF,direct-BC,-1.240948992503854,-1.2750911437819923e-13,-1.7137224972429976e-09,35,13440,0.3021577380952381,0.469316030853517,0.3021577380951106,1.1722431226793033,1.074387283846156,-14.533233779193734,1.3676971023065096,1e-12,1e-12,True,0a820202e466a56980fe5c41c980accc757b0067f5c36a1e644b5f8d44b93173,aa91c400672a762d98fd490c35525f14ebbc40db51c44caa50d5fbc89570f41d,d3af11c33534f2158979746816b438ca50d64680ba2887ade811469339dc7ebf,740349691eb4247f2ab1990531b802aca2c57a2e954f35948dbb5913dafecfe2
