group,condition,mode,cells,mean_peak_response_probability,mean_peak_response_logit,mean_peak_latency_ms_probability,mean_peak_latency_ms_logit,mean_response_integral_probability_s,mean_response_integral_logit_s,mean_integral_change_vs_center_only,mean_integral_fraction_vs_center_only,mean_peak_change_vs_center_only,mean_peak_fraction_vs_center_only,mean_center_onset_response,mean_center_offset_response,mean_surround_onset_response,mean_surround_offset_response
MC_OFF,surround_then_center_100ms,normal,4,0.10843922942876816,0.5579167753458023,403.33333333333337,403.33333333333337,0.002110821718815714,0.004213184220134281,-0.009444301424082369,-0.8162771777635214,-0.010688342154026031,-0.08935382490407008,-0.04125717980787158,0.07407033257186413,-0.012153403833508492,-0.04125717980787158
MC_OFF,surround_then_center_50ms,AC_off,4,0.11824304610490799,0.6024903804063797,400.0,400.0,0.011429226491600275,0.06044694688171148,-7.553398609161377e-05,-0.006573710185934384,-0.0005300864577293396,-0.004462698496607081,0.03592872992157936,0.0779357235878706,-5.187945680518169e-05,0.10000459477305412
MC_OFF,surround_then_center_50ms,H1_off,4,0.06220347806811333,0.3373359590768814,406.6666666666667,406.6666666666667,0.0010534208704484627,0.004460877215024084,-0.010527888269280083,-0.9086271659630109,-0.057215940207242966,-0.47775802255449806,-0.03241017321124673,0.0451697064563632,-0.011273088748566806,0.007921822019852698
MC_OFF,surround_then_center_50ms,normal,4,0.06191232055425644,0.3358595669269562,406.6666666666667,406.6666666666667,0.001016531343339011,0.004242281298502348,-0.010538591799559072,-0.9115906482773454,-0.05721525102853775,-0.47893022763127563,-0.03260541381314397,0.044966235756874084,-0.011311727575957775,0.007576402218546718
MC_ON,center_only,AC_off,5,0.11024664044380188,0.5730863571166992,402.6666666666667,402.6666666666667,0.010641286335885524,0.05740647539496422,0.0,0.0,0.0,0.0,0.032774169370532034,0.07338767349720002,,
MC_ON,center_only,H1_off,5,0.11088378429412842,0.5760154366493225,402.6666666666667,402.6666666666667,0.010716490633785724,0.05779026299715042,0.0,0.0,0.0,0.0,0.03282963261008263,0.07400211244821549,,
MC_ON,center_only,normal,5,0.11066820621490478,0.5750243544578553,402.6666666666667,402.6666666666667,0.010702856816351414,0.057730831950902936,0.0,0.0,0.0,0.0,0.03278780020773411,0.07385812699794769,,
MC_ON,center_surround_simultaneous,AC_off,5,0.10962585210800171,0.5702295303344727,402.6666666666667,402.6666666666667,0.010568011738359927,0.057032160460948944,-7.327459752559662e-05,-0.00690998490506306,-0.0006207883358001709,-0.005657781775648293,0.03272008933126926,0.07278916090726853,0.03272008933126926,0.07278916090726853
MC_ON,center_surround_simultaneous,H1_off,5,-0.03422921597957611,-0.2194751739501953,437.33333333333337,437.33333333333337,-0.0012394184130243957,-0.008295380277559161,-0.01195590904681012,-1.1174236594871865,-0.14511300027370452,-1.3123240637517488,0.016169031709432603,-0.022776316106319427,0.016169031709432603,-0.022776316106319427
MC_ON,center_surround_simultaneous,normal,5,-0.03432416915893555,-0.22013049125671386,437.33333333333337,437.33333333333337,-0.0012533580535091459,-0.008377856342121959,-0.01195621486986056,-1.118855318365899,-0.14499237537384033,-1.3138061477991383,0.016094979643821717,-0.02295041233301163,0.016094979643821717,-0.02295041233301163
MC_ON,center_then_surround_100ms,AC_off,5,0.11024664044380188,0.5730863571166992,402.6666666666667,402.6666666666667,0.010577793046832085,0.05703059732913971,-6.349328905344009e-05,-0.005984759380027934,0.0,0.0,0.032774169370532034,0.07333598285913467,0.07333598285913467,-0.0006573837250471115
MC_ON,center_then_surround_100ms,H1_off,5,0.11088378429412842,-0.3626579999923706,402.6666666666667,492.0,0.0008458221098408103,-0.008236816991120577,-0.009870668523944914,-0.9221193408707693,0.0,0.0,0.03282963261008263,0.05783894658088684,0.05783894658088684,-0.0758957840502262
MC_ON,center_then_surround_100ms,normal,5,0.11066820621490478,-0.36308200359344484,402.6666666666667,492.0,0.00082938356208615,-0.008318734541535377,-0.009873473254265264,-0.9235394104738601,0.0,0.0,0.03278780020773411,0.057663916051387785,0.057663916051387785,-0.0759096883237362
MC_ON,center_then_surround_50ms,AC_off,5,0.10999909639358521,0.5719462037086487,402.6666666666667,402.6666666666667,0.010573864355683327,0.057031314074993136,-6.742198020219803e-05,-0.006355224577321431,-0.0002475440502166748,-0.002256518885582585,0.032774169370532034,0.07300358265638351,0.09266647845506668,0.013964594714343548
MC_ON,center_then_surround_50ms,H1_off,5,0.08457375764846801,-0.3208849668502808,368.0,449.33333333333337,-0.00012117901060264558,-0.008252960862591863,-0.01083766964438837,-1.0125114854109016,-0.0263100266456604,-0.23530538378988583,0.03282963261008263,-0.006509676948189736,0.0759241372346878,-0.06659545823931694
MC_ON,center_then_surround_50ms,normal,5,0.08436618745326996,-0.32125277519226075,368.0,449.33333333333337,-0.0001371855178149417,-0.008335108915343881,-0.010840042334166355,-1.0140053880100177,-0.026302018761634828,-0.2356814993293153,0.03278780020773411,-0.006753787770867348,0.07569485306739807,-0.06661982536315918
MC_ON,surround_only,AC_off,5,-0.0005320698022842407,-0.0031982898712158204,421.3333333333333,421.3333333333333,-6.265453630476259e-05,-0.00037631624145433306,-0.010703940872190287,-1.005906355949489,-0.11077871024608613,-1.0048477343765594,,,-4.574321210384369e-05,-0.0004958506673574447
MC_ON,surround_only,H1_off,5,-0.0842799961566925,-0.6123359680175782,413.33333333333337,413.33333333333337,-0.009606103226542474,-0.0660564586520195,-0.020322593860328197,-1.8975549861974887,-0.19516378045082092,-1.7617750034289892,,,-0.014017530530691148,-0.07584232985973358
MC_ON,surround_only,normal,5,-0.0843544289469719,-0.613013744354248,413.33333333333337,413.33333333333337,-0.009607109054923058,-0.06607860922813416,-0.020309965871274472,-1.8987740669484297,-0.19502263516187668,-1.7639409728234265,,,-0.014047134295105934,-0.07588857039809227
MC_ON,surround_then_center_100ms,AC_off,5,0.11006303429603577,0.5722445130348206,402.6666666666667,402.6666666666667,0.010571540333330631,0.05703129842877388,-6.974600255489349e-05,-0.0065785924325691995,-0.0001836061477661133,-0.0016738388375589497,0.03222807385027408,0.07328647524118423,-4.574321210384369e-05,0.03222807385027408
MC_ON,surround_then_center_100ms,H1_off,5,0.09753351211547852,-0.5975547313690186,404.0,302.6666666666667,0.00016990414005704224,-0.008291569352149964,-0.010546586493728683,-0.9856974349935681,-0.013350272178649902,-0.12002233010160572,-0.051458662003278734,0.06760026812553406,-0.01401754841208458,-0.051458662003278734
MC_ON,surround_then_center_100ms,normal,5,0.09742231369018554,-0.5983071327209473,404.0,302.6666666666667,0.00015814241487532854,-0.008373507065698504,-0.010544714401476085,-0.9867568789798314,-0.013245892524719239,-0.1193059604845845,-0.05154062956571579,0.06753098517656327,-0.014047153666615486,-0.05154062956571579
MC_ON,surround_then_center_50ms,AC_off,5,0.10972104668617248,0.5706712126731872,402.6666666666667,402.6666666666667,0.01056679654866457,0.05703223943710327,-7.44897872209549e-05,-0.007027129043188811,-0.0005255937576293945,-0.004790243286102934,0.032410255074501036,0.07303703278303146,-4.139499978919048e-05,0.09208733737468719
MC_ON,surround_then_center_50ms,H1_off,5,-0.0285297691822052,-0.3365568876266479,329.33333333333337,309.33333333333337,-0.0010237921145744623,-0.008297746861353516,-0.011740282748360188,-1.0975049522605176,-0.1394135534763336,-1.2820559310851822,-0.04130469784140587,0.033540873974561694,-0.013199468515813351,-0.008588013611733914
MC_ON,surround_then_center_50ms,normal,5,-0.0286605566740036,-0.3373351812362671,329.33333333333337,309.33333333333337,-0.0010357255901908501,-0.00838000918738544,-0.011738582406542264,-1.0987221918319126,-0.1393287628889084,-1.283822656596196,-0.041447000950574873,0.03348913304507732,-0.013227263651788234,-0.008808096498250961
PC_OFF,center_only,AC_off,4,0.15356462821364403,0.7396771758794785,401.6666666666667,401.6666666666667,0.014852430438622832,0.07439931109547615,0.0,0.0,0.0,0.0,0.03803996415808797,0.11021740362048149,,
PC_OFF,center_only,H1_off,4,0.15389502421021461,0.7410733103752136,401.6666666666667,401.6666666666667,0.014891476603224874,0.07457881793379784,0.0,0.0,0.0,0.0,0.038073345087468624,0.11053760536015034,,
PC_OFF,center_only,normal,4,0.1537238173186779,0.7403452545404434,401.6666666666667,401.6666666666667,0.01487525668926537,0.07450568489730358,0.0,0.0,0.0,0.0,0.038048182148486376,0.11039318330585957,,
PC_OFF,center_surround_simultaneous,AC_off,4,0.15278807654976845,0.7363941520452499,401.6666666666667,401.6666666666667,0.01476066536270082,0.07397719658911228,-9.176507592201233e-05,-0.006312801054532099,-0.0007765516638755798,-0.0051816778208924495,0.03796149184927344,0.10946499928832054,0.03796149184927344,0.10946499928832054
PC_OFF,center_surround_simultaneous,H1_off,4,0.05488301441073418,0.2971443235874176,388.33333333333337,388.33333333333337,0.003995978768216446,0.02212700340896845,-0.010895497835008428,-0.731851952287436,-0.09901200979948044,-0.6468865496368955,0.02519953716546297,0.020143555011600256,0.02519953716546297,0.020143555011600256
PC_OFF,center_surround_simultaneous,normal,4,0.05445777624845505,0.2950521409511566,388.33333333333337,388.33333333333337,0.003951851394958794,0.02189987525343895,-0.010923405294306576,-0.7345865833784997,-0.09926604107022285,-0.6493361354845861,0.025120629463344812,0.019755348563194275,0.025120629463344812,0.019755348563194275
PC_OFF,center_then_surround_100ms,AC_off,4,0.15356462821364403,0.7396771758794785,401.6666666666667,401.6666666666667,0.014772726455703378,0.07397497817873955,-7.970398291945457e-05,-0.005473759711857908,0.0,0.0,0.03803996415808797,0.11013840511441231,0.11013840511441231,-0.0007537743076682091
PC_OFF,center_then_surround_100ms,H1_off,4,0.15389502421021461,0.7410733103752136,401.6666666666667,401.6666666666667,0.0058741369866766036,0.022052951157093048,-0.00901733961654827,-0.6046501998562182,0.0,0.0,0.038073345087468624,0.09759355522692204,0.09759355522692204,-0.06992609985172749
PC_OFF,center_then_surround_100ms,normal,4,0.1537238173186779,0.7403452545404434,401.6666666666667,401.6666666666667,0.005835229996591806,0.02182665141299367,-0.009040026692673564,-0.6068876913192105,0.0,0.0,0.038048182148486376,0.09739609062671661,0.09739609062671661,-0.07011300139129162
PC_OFF,center_then_surround_50ms,AC_off,4,0.15324751660227776,0.7383375465869904,401.6666666666667,401.6666666666667,0.014767316170036793,0.0739760734140873,-8.511426858603954e-05,-0.005850494449565078,-0.00031711161136627197,-0.0021055100415673478,0.03803996415808797,0.1097217109054327,0.125553572550416,0.02313445182517171
PC_OFF,center_then_surround_50ms,H1_off,4,0.11914904043078423,0.5915353298187256,376.6666666666667,376.6666666666667,0.004991713212803006,0.022082629380747676,-0.009899763390421867,-0.6645626014864159,-0.03474598377943039,-0.2277890127347102,0.038073345087468624,0.040914688259363174,0.11257855594158173,-0.052053787745535374
PC_OFF,center_then_surround_50ms,normal,4,0.11895735189318657,0.5906864106655121,376.6666666666667,376.6666666666667,0.004950270056724548,0.021856019971892238,-0.009924986632540822,-0.6670408691679399,-0.03476646542549133,-0.22818771694082463,0.038048182148486376,0.040543883107602596,0.11239307932555676,-0.05229477025568485
PC_OFF,surround_only,AC_off,4,-0.0006622038781642914,-0.003602355718612671,418.33333333333337,418.33333333333337,-7.821503004379338e-05,-0.0004250607962603681,-0.014930645468666626,-1.0053697436774711,-0.15422683209180832,-1.004415751605036,,,-6.768293678760529e-05,-0.0006191893480718136
PC_OFF,surround_only,H1_off,4,-0.07666776515543461,-0.4788801968097687,413.33333333333337,413.33333333333337,-0.008758519659750164,-0.052569721825420856,-0.023649996262975037,-1.5870118913622195,-0.23056278936564922,-1.4990962892646682,,,-0.011012586764991283,-0.069861626252532
PC_OFF,surround_only,normal,4,-0.07688764482736588,-0.48050615191459656,413.33333333333337,413.33333333333337,-0.008780371164903045,-0.05272284708917141,-0.023655627854168415,-1.5891718585397445,-0.23061146214604378,-1.5011297732902973,,,-0.01105888094753027,-0.07005257252603769
PC_OFF,surround_then_center_100ms,AC_off,4,0.15335293486714363,0.7387824654579163,401.6666666666667,401.6666666666667,0.01476653222925961,0.07397573068737984,-8.589820936322212e-05,-0.005902755655979701,-0.00021169334650039673,-0.0014238060801629606,0.03736878139898181,0.11010396480560303,-6.768293678760529e-05,0.03736878139898181
PC_OFF,surround_then_center_100ms,H1_off,4,0.1397463120520115,0.6804768741130829,405.0,405.0,0.0052457485580816865,0.022032947512343526,-0.009645728045143187,-0.6469395803945563,-0.014148712158203125,-0.09157840176736054,-0.038979677483439445,0.10325620695948601,-0.011012603528797626,-0.038979677483439445
PC_OFF,surround_then_center_100ms,normal,4,0.13959066942334175,0.6798005700111389,405.0,405.0,0.005206435569562018,0.02180625358596444,-0.009668821119703352,-0.6492501389130431,-0.014133147895336151,-0.0915830645447506,-0.03921364853158593,0.10313642211258411,-0.011058899573981762,-0.03921364853158593
PC_OFF,surround_then_center_50ms,AC_off,4,0.1529264785349369,0.7369784414768219,401.6666666666667,401.6666666666667,0.014760422287508845,0.07397712208330631,-9.200815111398697e-05,-0.0063284200946234,-0.0006381496787071228,-0.004279477357338544,0.03758407896384597,0.1097856517881155,-6.292707166721812e-05,0.12485750019550323
PC_OFF,surround_then_center_50ms,H1_off,4,0.09014229848980904,0.46154409646987915,408.33333333333337,408.33333333333337,0.004184459685347974,0.022107883589342237,-0.0107070169178769,-0.7188147735317371,-0.06375272572040558,-0.4144286249335923,-0.02455160254612565,0.06905789207667112,-0.010331441764719784,0.032411524560302496
PC_OFF,surround_then_center_50ms,normal,4,0.08984996005892754,0.46019601076841354,408.33333333333337,408.33333333333337,0.004141686426009983,0.021880807355046272,-0.010733570263255388,-0.7214407294758032,-0.06387385725975037,-0.41571195554673573,-0.024783030152320862,0.06884631980210543,-0.01037558214738965,0.03202766622416675
PC_ON,center_only,AC_off,9,0.10261456668376923,0.6084946129057143,405.9259259259259,405.9259259259259,0.009813189506530762,0.060932950427134834,0.0,0.0,0.0,0.0,0.021951791416439746,0.07640417665243149,,
PC_ON,center_only,H1_off,9,0.10287452075216505,0.6098180810610453,405.9259259259259,405.9259259259259,0.009843230247497559,0.061105927659405604,0.0,0.0,0.0,0.0,0.021971593507462077,0.07665198710229662,,
PC_ON,center_only,normal,9,0.1027836733394199,0.6093479858504401,405.9259259259259,405.9259259259259,0.009835467673838139,0.06106415349576208,0.0,0.0,0.0,0.0,0.021960108333991632,0.0765781770977709,,
PC_ON,center_surround_simultaneous,AC_off,9,0.10200390881962246,0.60538250207901,405.9259259259259,405.9259259259259,0.00974260994957553,0.060526184323761195,-7.057955695523156e-05,-0.007207391871248196,-0.0006106578641467624,-0.00595660984213121,0.021905236567060154,0.07582207603587045,0.021905236567060154,0.07582207603587045
PC_ON,center_surround_simultaneous,H1_off,9,0.012842500375376808,0.0923815303378635,360.0,360.0,0.0003066383328081833,0.0017191905903422998,-0.009536591914689375,-0.9732115317375,-0.09003202037678824,-0.8808477782675959,0.008369859721925523,-0.0012002847053938443,0.008369859721925523,-0.0012002847053938443
