cell_id,group,condition,mode,offset_ms,peak_response_probability,peak_response_logit,peak_latency_ms_probability,peak_latency_ms_logit,response_integral_probability_s,response_integral_logit_s,integral_change_vs_center_only,integral_fraction_vs_center_only,peak_change_vs_center_only,peak_fraction_vs_center_only,center_onset_response,center_offset_response,surround_onset_response,surround_offset_response
69#6,MC_OFF,center_only,normal,,0.10253649950027466,0.5489726066589355,400.0,400.0,0.009939718060195446,0.05532926693558693,0.0,0.0,0.0,0.0,0.030168423429131508,0.06888352334499359,,
69#6,MC_OFF,surround_only,normal,,-0.07033078372478485,-0.5140179395675659,406.6666666666667,406.6666666666667,-0.007807308342307806,-0.05452301725745201,-0.017747026402503252,-1.785465774283168,-0.1728672832250595,-1.6859097401174346,,,-0.013403626158833504,-0.061325978487730026
69#6,MC_OFF,surround_then_center_100ms,normal,-100.0,0.09445920586585999,0.5104986429214478,406.6666666666667,406.6666666666667,0.001480535720475018,0.0007916478789411485,-0.008459182339720428,-0.8510485195345766,-0.008077293634414673,-0.07877481359106701,-0.037534862756729126,0.06526008248329163,-0.013403644785284996,-0.037534862756729126
69#6,MC_OFF,surround_then_center_50ms,normal,-50.0,0.05662217736244202,0.32131171226501465,406.6666666666667,406.6666666666667,0.000501964008435607,0.0008067560265772045,-0.009437754051759839,-0.9494991703591906,-0.04591432213783264,-0.447785153204978,-0.034253790974617004,0.04149412363767624,-0.012697309255599976,0.004213173408061266
69#6,MC_OFF,center_surround_simultaneous,normal,0.0,0.022827550768852234,0.13637793064117432,333.33333333333337,333.33333333333337,0.00019235968647990376,0.0008160329307429492,-0.009747358373715542,-0.980647369944,-0.07970894873142242,-0.7773714640142256,0.014256732538342476,-0.009121427312493324,0.014256732538342476,-0.009121427312493324
69#6,MC_OFF,center_then_surround_50ms,normal,50.0,0.07708212733268738,0.4255868196487427,366.6666666666667,366.6666666666667,0.0010432936251163483,0.0008260353351943195,-0.008896424435079098,-0.8950379056228649,-0.02545437216758728,-0.24824693930105443,0.030168423429131508,-0.001526612788438797,0.06915543973445892,-0.05163908004760742
69#6,MC_OFF,center_then_surround_100ms,normal,100.0,0.10253649950027466,0.5489726066589355,400.0,400.0,0.001881332485936582,0.000830634031444788,-0.008058385574258864,-0.8107257696301711,0.0,0.0,0.030168423429131508,0.05338416248559952,0.05338416248559952,-0.061368923634290695
69#6,MC_OFF,center_only,H1_off,,0.10273602604866028,0.549915611743927,400.0,400.0,0.009958324022591114,0.055422160774469376,0.0,0.0,0.0,0.0,0.030211927369236946,0.06903363764286041,,
69#6,MC_OFF,surround_only,H1_off,,-0.07024475932121277,-0.5132627487182617,406.6666666666667,406.6666666666667,-0.00779959699138999,-0.054458606988191605,-0.017757921013981104,-1.783223861133268,-0.17298078536987305,-1.6837402810182844,,,-0.013372598215937614,-0.06126295030117035
69#6,MC_OFF,surround_then_center_100ms,H1_off,-100.0,0.0946401059627533,0.5113670229911804,406.6666666666667,406.6666666666667,0.00150604872033,0.000949184934142977,-0.008452275302261114,-0.8487648406585858,-0.008095920085906982,-0.07880312678312475,-0.037430234253406525,0.06539104878902435,-0.013372616842389107,-0.037430234253406525
