cell_id,group,path,pathway_index,spatial_mode_index,new_weight,old_weight,delta
67#21,PC_ON,BC,0,1,0.12606608867645264,0.11166059970855713,0.014405488967895508
67#21,PC_ON,BC,1,0,0.1650744527578354,0.20209772884845734,-0.03702327609062195
67#21,PC_ON,BC,1,1,0.6362317204475403,0.6156443357467651,0.020587384700775146
67#21,PC_ON,AC,0,0,0.9725428223609924,0.8425779342651367,0.1299648880958557
67#21,PC_ON,AC,0,1,0.02745705470442772,0.15742217004299164,-0.12996511533856392
67#21,PC_ON,AC,1,0,0.9582893252372742,0.74859619140625,0.20969313383102417
67#21,PC_ON,AC,1,1,0.041710659861564636,0.25140380859375,-0.20969314873218536
67#26,PC_ON,BC,0,0,0.0925038680434227,0.07600072026252747,0.016503147780895233
67#26,PC_ON,BC,0,1,0.11613491177558899,0.09902479499578476,0.01711011677980423
67#26,PC_ON,BC,1,0,0.28806474804878235,0.27398785948753357,0.01407688856124878
67#26,PC_ON,BC,1,1,0.5032965540885925,0.5509867072105408,-0.04769015312194824
67#26,PC_ON,AC,0,0,0.880231499671936,0.748333215713501,0.13189828395843506
67#26,PC_ON,AC,0,1,0.11976847052574158,0.25166675448417664,-0.13189828395843506
67#26,PC_ON,AC,1,0,0.9426279067993164,0.8137378692626953,0.1288900375366211
67#26,PC_ON,AC,1,1,0.05737198516726494,0.18626222014427185,-0.1288902349770069
67#33,MC_OFF,BC,0,0,0.01470231730490923,0.0015343248378485441,0.013167992467060685
67#33,MC_OFF,BC,0,1,0.015515066683292389,0.0015943989856168628,0.013920667697675526
67#33,MC_OFF,BC,1,0,0.3052360713481903,0.07532098889350891,0.2299150824546814
67#33,MC_OFF,BC,1,1,0.6645466685295105,0.9215503931045532,-0.2570037245750427
67#33,MC_OFF,AC,0,0,0.7516288161277771,0.5901762843132019,0.1614525318145752
67#33,MC_OFF,AC,0,1,0.24837109446525574,0.4098237156867981,-0.16145262122154236
67#33,MC_OFF,AC,1,0,0.9749587178230286,0.8654837608337402,0.10947495698928833
67#33,MC_OFF,AC,1,1,0.025041311979293823,0.13451625406742096,-0.10947494208812714
67#34,PC_ON,BC,0,0,0.06868726015090942,0.053661756217479706,0.015025503933429718
67#34,PC_ON,BC,0,1,0.07957790046930313,0.06612494587898254,0.013452954590320587
67#34,PC_ON,BC,1,0,0.20305533707141876,0.18560101091861725,0.017454326152801514
67#34,PC_ON,BC,1,1,0.6486794948577881,0.6946123242378235,-0.0459328293800354
67#34,PC_ON,AC,0,0,0.9551608562469482,0.9400673508644104,0.015093505382537842
67#34,PC_ON,AC,0,1,0.044839270412921906,0.05993249639868736,-0.015093225985765457
67#34,PC_ON,AC,1,0,0.961381196975708,0.8841504454612732,0.07723075151443481
67#34,PC_ON,AC,1,1,0.0386187806725502,0.11584948003292084,-0.07723069936037064
68#3,MC_OFF,BC,0,0,0.04799947142601013,0.08329793810844421,-0.03529846668243408
68#3,MC_OFF,BC,0,1,0.05173280090093613,0.0887363851070404,-0.03700358420610428
68#3,MC_OFF,BC,1,0,0.30617719888687134,0.3659041225910187,-0.05972692370414734
68#3,MC_OFF,BC,1,1,0.5940905809402466,0.46206146478652954,0.13202911615371704
68#3,MC_OFF,AC,0,0,0.6514832377433777,0.5094918608665466,0.14199137687683105
68#3,MC_OFF,AC,0,1,0.34851670265197754,0.49050816893577576,-0.14199146628379822
68#3,MC_OFF,AC,1,0,0.9198759198188782,0.5451355576515198,0.3747403621673584
68#3,MC_OFF,AC,1,1,0.08012416213750839,0.454864501953125,-0.3747403398156166
68#4,PC_ON,BC,0,0,0.4200372099876404,0.4472602307796478,-0.027223020792007446
68#4,PC_ON,BC,0,1,0.4528549015522003,0.504530668258667,-0.051675766706466675
68#4,PC_ON,BC,1,0,0.06007211282849312,0.02331865206360817,0.03675346076488495
68#4,PC_ON,BC,1,1,0.06703577190637589,0.024890409782528877,0.04214536212384701
68#4,PC_ON,AC,0,0,0.8934195041656494,0.8402852416038513,0.053134262561798096
68#4,PC_ON,AC,0,1,0.10658051073551178,0.15971478819847107,-0.05313427746295929
68#4,PC_ON,AC,1,0,0.9938423037528992,0.9907205700874329,0.0031217336654663086
68#4,PC_ON,AC,1,1,0.006157629657536745,0.009279548190534115,-0.0031219185329973698
68#7,PC_ON,BC,0,0,0.10159027576446533,0.09222103655338287,0.009369239211082458
68#7,PC_ON,BC,0,1,0.1195363774895668,0.11319008469581604,0.006346292793750763
68#7,PC_ON,BC,1,0,0.30853477120399475,0.29536935687065125,0.013165414333343506
68#7,PC_ON,BC,1,1,0.47033849358558655,0.49921947717666626,-0.028880983591079712
68#7,PC_ON,AC,0,0,0.8646289706230164,0.8059976696968079,0.058631300926208496
68#7,PC_ON,AC,0,1,0.13537099957466125,0.19400238990783691,-0.05863139033317566
68#7,PC_ON,AC,1,0,0.8786448836326599,0.7630889415740967,0.11555594205856323
68#7,PC_ON,AC,1,1,0.12135504186153412,0.23691102862358093,-0.11555598676204681
68#10,MC_ON,BC,0,0,0.09994018822908401,0.09752049297094345,0.002419695258140564
68#10,MC_ON,BC,0,1,0.10208480805158615,0.10532419383525848,-0.0032393857836723328
68#10,MC_ON,BC,1,0,0.38635146617889404,0.35570046305656433,0.030651003122329712
68#10,MC_ON,BC,1,1,0.41162359714508057,0.44145476818084717,-0.0298311710357666
68#10,MC_ON,AC,0,0,0.5039742588996887,0.5005213022232056,0.0034529566764831543
68#10,MC_ON,AC,0,1,0.49602577090263367,0.49947860836982727,-0.0034528374671936035
68#10,MC_ON,AC,1,0,0.5690880417823792,0.4959884285926819,0.07309961318969727
68#10,MC_ON,AC,1,1,0.43091195821762085,0.5040115714073181,-0.07309961318969727
68#11,PC_OFF,BC,0,0,0.04472580924630165,0.03157830983400345,0.013147499412298203
68#11,PC_OFF,BC,0,1,0.05198743939399719,0.036295004189014435,0.015692435204982758
68#11,PC_OFF,BC,1,0,0.37084802985191345,0.3694566786289215,0.0013913512229919434
68#11,PC_OFF,BC,1,1,0.5324387550354004,0.5626699924468994,-0.030231237411499023
68#11,PC_OFF,AC,0,0,0.9476473331451416,0.7977699637413025,0.1498773694038391
68#11,PC_OFF,AC,0,1,0.05235274136066437,0.20222997665405273,-0.14987723529338837
68#11,PC_OFF,AC,1,0,0.9275385141372681,0.7058326005935669,0.22170591354370117
68#11,PC_OFF,AC,1,1,0.07246136665344238,0.2941674590110779,-0.2217060923576355
69#3,PC_OFF,BC,0,0,0.022032316774129868,0.009191853925585747,0.01284046284854412
69#3,PC_OFF,BC,0,1,0.023360859602689743,0.009906243532896042,0.013454616069793701
69#3,PC_OFF,BC,1,0,0.4201633930206299,0.23736649751663208,0.1827968955039978
69#3,PC_OFF,BC,1,1,0.5344433784484863,0.7435353398323059,-0.20909196138381958
69#3,PC_OFF,AC,0,0,0.8931221961975098,0.8455654978752136,0.04755669832229614
69#3,PC_OFF,AC,0,1,0.10687777400016785,0.154434472322464,-0.04755669832229614
69#3,PC_OFF,AC,1,0,0.743219256401062,0.53812175989151,0.205097496509552
69#3,PC_OFF,AC,1,1,0.25678080320358276,0.46187829971313477,-0.205097496509552
69#4,MC_ON,BC,0,0,0.04981554299592972,0.00638930918648839,0.04342623380944133
69#4,MC_ON,BC,0,1,0.05095648393034935,0.006532513536512852,0.0444239703938365
69#4,MC_ON,BC,1,0,0.4359716475009918,0.36186668276786804,0.07410496473312378
69#4,MC_ON,BC,1,1,0.463256299495697,0.6252114176750183,-0.1619551181793213
69#4,MC_ON,AC,0,0,0.6068367958068848,0.5319831371307373,0.07485365867614746
69#4,MC_ON,AC,0,1,0.39316311478614807,0.46801692247390747,-0.0748538076877594
69#4,MC_ON,AC,1,0,0.7666518092155457,0.5534344911575317,0.21321731805801392
69#4,MC_ON,AC,1,1,0.23334816098213196,0.4465654492378235,-0.21321728825569153
69#6,MC_OFF,BC,0,0,0.02593037486076355,0.00769367441534996,0.01823670044541359
69#6,MC_OFF,BC,0,1,0.02866154909133911,0.00829392671585083,0.02036762237548828
69#6,MC_OFF,BC,1,0,0.30702608823776245,0.19350776076316833,0.11351832747459412
69#6,MC_OFF,BC,1,1,0.6383819580078125,0.7905046343803406,-0.15212267637252808
69#6,MC_OFF,AC,0,0,0.7501618266105652,0.5320948362350464,0.2180669903755188
69#6,MC_OFF,AC,0,1,0.2498382031917572,0.4679051339626312,-0.21806693077087402
69#6,MC_OFF,AC,1,0,0.971560001373291,0.7608517408370972,0.21070826053619385
69#6,MC_OFF,AC,1,1,0.02844000607728958,0.2391481101512909,-0.2107081040740013
69#7,MC_ON,BC,0,0,0.05538644269108772,0.017717957496643066,0.037668485194444656
69#7,MC_ON,BC,0,1,0.05963060259819031,0.018840204924345016,0.04079039767384529
69#7,MC_ON,BC,1,0,0.4021568298339844,0.36250191926956177,0.03965491056442261
69#7,MC_ON,BC,1,1,0.4828261137008667,0.6009398698806763,-0.11811375617980957
69#7,MC_ON,AC,0,0,0.6478683948516846,0.5277112126350403,0.12015718221664429
69#7,MC_ON,AC,0,1,0.352131724357605,0.47228875756263733,-0.12015703320503235
69#7,MC_ON,AC,1,0,0.877335786819458,0.6246317625045776,0.25270402431488037
69#7,MC_ON,AC,1,1,0.12266428023576736,0.37536823749542236,-0.252703957259655
69#21,PC_OFF,BC,0,0,0.11686964333057404,0.05797188729047775,0.05889775604009628
69#21,PC_OFF,BC,0,1,0.14009417593479156,0.07852549105882645,0.06156868487596512
69#21,PC_OFF,BC,1,0,0.3108602464199066,0.25014248490333557,0.060717761516571045
69#21,PC_OFF,BC,1,1,0.43217599391937256,0.6133601665496826,-0.18118417263031006
69#21,PC_OFF,AC,0,0,0.8751825094223022,0.6172049641609192,0.25797754526138306
69#21,PC_OFF,AC,0,1,0.12481749802827835,0.3827950954437256,-0.25797759741544724
69#21,PC_OFF,AC,1,0,0.9289200901985168,0.7673466205596924,0.16157346963882446
69#21,PC_OFF,AC,1,1,0.07107990980148315,0.23265331983566284,-0.1615734100341797
70#1,PC_ON,BC,0,0,0.08297048509120941,0.07780442386865616,0.005166061222553253
70#1,PC_ON,BC,0,1,0.11189818382263184,0.10439594089984894,0.007502242922782898
70#1,PC_ON,BC,1,0,0.24251042306423187,0.2364329993724823,0.006077423691749573
70#1,PC_ON,BC,1,1,0.5626208782196045,0.5813665986061096,-0.018745720386505127
70#1,PC_ON,AC,0,0,0.8552385568618774,0.7223066687583923,0.1329318881034851
70#1,PC_ON,AC,0,1,0.14476151764392853,0.27769333124160767,-0.13293181359767914
70#1,PC_ON,AC,1,0,0.9498214721679688,0.7999626398086548,0.14985883235931396
70#1,PC_ON,AC,1,1,0.05017850175499916,0.20003733038902283,-0.14985882863402367
70#7,PC_ON,BC,0,0,0.03450743854045868,0.018325088545680046,0.016182349994778633
70#7,PC_ON,BC,0,1,0.04003340005874634,0.02155931666493416,0.01847408339381218
70#7,PC_ON,BC,1,0,0.20181623101234436,0.13574272394180298,0.06607350707054138
70#7,PC_ON,BC,1,1,0.7236429452896118,0.8243727684020996,-0.10072982311248779
70#7,PC_ON,AC,0,0,0.7963172793388367,0.6675251722335815,0.12879210710525513
70#7,PC_ON,AC,0,1,0.20368275046348572,0.33247479796409607,-0.12879204750061035
70#7,PC_ON,AC,1,0,0.8919351696968079,0.7266199588775635,0.16531521081924438
70#7,PC_ON,AC,1,1,0.10806480050086975,0.273379921913147,-0.16531512141227722
70#15,PC_ON,BC,0,0,0.13396812975406647,0.014495531097054482,0.11947259865701199
70#15,PC_ON,BC,0,1,0.15935556590557098,0.02134234830737114,0.13801321759819984
70#15,PC_ON,BC,1,0,0.2983686625957489,0.047834914177656174,0.2505337484180927
70#15,PC_ON,BC,1,1,0.40830767154693604,0.9163271188735962,-0.5080194473266602
70#15,PC_ON,AC,0,0,0.7425563335418701,0.9418555498123169,-0.19929921627044678
70#15,PC_ON,AC,0,1,0.25744369626045227,0.05814439058303833,0.19929930567741394
70#15,PC_ON,AC,1,0,0.8432971835136414,0.8705630302429199,-0.027265846729278564
70#15,PC_ON,AC,1,1,0.15670281648635864,0.12943695485591888,0.02726586163043976
70#34,MC_ON,BC,0,0,0.037751205265522,0.027288245037198067,0.010462960228323936
70#34,MC_ON,BC,0,1,0.03952363133430481,0.028564590960741043,0.010959040373563766
70#34,MC_ON,BC,1,0,0.36900079250335693,0.3699706196784973,-0.0009698271751403809
70#34,MC_ON,BC,1,1,0.5537242293357849,0.5741766095161438,-0.020452380180358887
70#34,MC_ON,AC,0,0,0.6271213889122009,0.5120067596435547,0.11511462926864624
70#34,MC_ON,AC,0,1,0.3728787302970886,0.4879932403564453,-0.11511451005935669
70#34,MC_ON,AC,1,0,0.8662034273147583,0.5219368934631348,0.34426653385162354
70#34,MC_ON,AC,1,1,0.13379652798175812,0.47806316614151,-0.3442666381597519
