cell_id,group,pathway,zero_norm,aligned_norm,delta_norm,relative_l2,cosine,zero_energy_x_degree,zero_energy_y_degree,aligned_energy_x_degree,aligned_energy_y_degree,centroid_shift_degree
68#10,MC_ON,direct_BC,0.19020735359697913,0.2604429107530907,0.07023555715611154,1.6955432879324264,0.0,0.0,0.0,-0.2455949869706776,0.3397188024840262,0.41919656771770936
68#10,MC_ON,AC,0.11068107983842448,0.14867124208399604,0.03799016224557156,1.674602465090215,0.0,0.0,0.0,-0.24726200290007092,0.33052819697361197,0.41278007107027526
68#11,PC_OFF,global,0.38532340196772275,0.5136890316926591,0.12836562972493637,1.455792777958188,0.24675726519285948,-8.397641716243766e-16,6.713731994708278e-15,-0.015254923567460912,0.06619191598372638,0.06792703758184108
68#11,PC_OFF,H1,0.0006308219351898701,0.0008319857958699244,0.00020116386068005422,0.654027081462057,0.8763888145275389,8.588411223387757e-10,4.203724794428357e-09,-0.017302478266278253,0.06987345999238871,0.07198385657719071
68#11,PC_OFF,direct_BC,0.40802481338275914,0.5264958569260713,0.11847104354331212,1.3987534273354458,0.2745368098863902,0.0,0.0,-0.015300021852087958,0.06627583713192355,0.06801894777348165
68#11,PC_OFF,AC,0.07418297395544837,0.061094775049670064,-0.013088198905778309,0.6856633350947035,0.7334732327859198,0.0,0.0,-0.011345703050247437,0.05896761098284333,0.06004918086642265
69#3,PC_OFF,global,0.2819306216222453,0.32545713832941514,0.04352651670716984,0.8614467486463588,0.6889020557418711,9.072719212026235e-12,8.594305472542918e-12,0.019593728221057753,-0.03115295710373571,0.03680245809844516
69#3,PC_OFF,H1,0.011808332211116289,0.013846645722336409,0.00203831351122012,0.31556919053425014,0.9702428544902967,-1.1242480227021712e-09,3.4723406816322645e-09,0.023100543066086575,-0.02911804044542036,0.037168476206138217
69#3,PC_OFF,direct_BC,0.30836533924356335,0.3337558341655092,0.02539049492194584,0.8087301510470143,0.7009879791867463,0.0,0.0,0.020017391128925345,-0.03091730144420917,0.03683171834439004
69#3,PC_OFF,AC,0.08739037979112577,0.07390271990785179,-0.01348765988327398,0.5027449406630082,0.8646431697174262,-8.872847903484413e-19,0.0,0.014221079871936661,-0.034086090945731715,0.0369337340203329
69#4,MC_ON,global,0.1885236834783525,0.18905245510785817,0.000528771629505681,0.9322538338037782,0.5666707309944973,-5.129427012162913e-13,5.547123851925864e-13,0.05800038568265668,0.009108829425235625,0.05871128948408782
69#4,MC_ON,H1,0.0006855225129509492,0.000738006328508759,5.248381555780974e-05,0.3527276819813762,0.9449379028388071,-1.078673415494385e-09,2.859242966545164e-09,0.05693901329674363,0.009039515610591102,0.05765209578866786
69#4,MC_ON,direct_BC,0.20340071861179296,0.19824731240752444,-0.005153406204268518,0.8230855186426185,0.6527890624788206,0.0,0.0,0.05568030044153593,0.010214177591458956,0.056609409828486716
69#4,MC_ON,AC,0.13788990291189188,0.13984099241396034,0.0019510895020684593,0.6346808011025274,0.8014989601637981,0.0,2.8511190105787944e-18,0.05997807085088429,0.00819238100287303,0.060534982361358056
69#6,MC_OFF,global,0.17369179082122585,0.18160120130961946,0.007909410488393609,1.0679854907500175,0.45553369237819535,-3.72584180963428e-11,9.818202494964251e-11,0.037284540539892545,-0.07064554199818693,0.0798807209790889
69#6,MC_OFF,H1,0.00600600976589449,0.00962346780534295,0.0036174580394484606,0.8384989444736101,0.8938069836344532,1.7591578293878778e-10,5.047958083732424e-09,0.035816837347873345,-0.07211670502174482,0.08052121270994438
69#6,MC_OFF,direct_BC,0.18376066249217937,0.1899610400781442,0.006200377585964839,1.027321547291097,0.4900799808378915,0.0,0.0,0.035329995190752105,-0.07257477512110257,0.08071744882029644
69#6,MC_OFF,AC,0.10187284478736199,0.11278926079921497,0.010916416011852989,0.7952924128805986,0.7195487227919648,1.30588044416979e-18,0.0,0.040044175095163885,-0.06792546897239979,0.07885052500885831
69#7,MC_ON,global,0.1893449161649693,0.23368747366912063,0.044342557504151336,1.1645997392835705,0.4727519144362402,-3.0923118241661356e-13,1.6122274875073855e-12,0.06751986405548988,-0.038524288508185144,0.07773707511412876
69#7,MC_ON,H1,0.0034309607593706686,0.014300159253402321,0.010869198494031652,3.3363678823901592,0.868607186227905,-1.660478447363852e-11,3.6841867199415454e-09,0.06693063775222169,-0.03884620784518485,0.07738693961080605
69#7,MC_ON,direct_BC,0.19521357021702135,0.2297697033634583,0.03455613314643696,1.1006411754799612,0.4987005746741542,0.0,0.0,0.06728839650723192,-0.037541158116856,0.07705236438467833
69#7,MC_ON,AC,0.12849827469139988,0.15706524561715424,0.02856697092575436,0.8580183382780878,0.7190689498544792,0.0,0.0,0.06780073325949658,-0.03959818055466507,0.07851722953444842
69#21,PC_OFF,global,0.1594070869894012,0.3067521103973626,0.1473450234079614,2.1685932537628285,6.64604995762473e-05,-6.282949911821286e-13,-1.2500405539157915e-12,0.24389811535879294,-0.07323315533912313,0.25465542546079517
69#21,PC_OFF,H1,0.0002813856752882081,0.007634788915776659,0.007353403240488451,26.960613580848253,0.19009499746676978,2.257857792581784e-09,2.6812524276929936e-09,0.2496599505065268,-0.0799140306020567,0.2621380218036558
69#21,PC_OFF,direct_BC,0.2083150931588545,0.3339780522382093,0.12566295907935482,1.8895402945171251,0.0,0.0,0.0,0.24380280401211332,-0.07388690281937238,0.2547529816359532
69#21,PC_OFF,AC,0.0757369873200632,0.0803915078827731,0.004654520562709902,1.4583173976692898,0.0,0.0,-2.3626763538741624e-18,0.24524065189233152,-0.06376272979259266,0.2533942837776316
70#1,PC_ON,global,0.10811533306082022,0.16577520445474367,0.05765987139392345,1.8302509509055374,0.0004063285742606743,-2.4116209060248007e-16,4.1577271966369885e-15,0.013127016888900596,-0.3021152600525761,0.3024003123825101
70#1,PC_ON,H1,0.00013266589999601702,0.00672858932761758,0.006595923427621563,50.7135531785865,0.014608077389950442,-1.599344266990777e-10,2.7589247297345156e-09,0.01673046900890849,-0.31104845128097786,0.31149807280177993
70#1,PC_ON,direct_BC,0.1840075041234566,0.1963876683897237,0.012380164266267119,1.462562209058607,0.0,0.0,0.0,0.018489041928849655,-0.29995121137126307,0.30052050491528015
70#1,PC_ON,AC,0.11513559466107998,0.1178466387268722,0.0027110440657922286,1.430960343607961,0.0,1.0223534559534445e-18,-2.044706911906889e-18,0.007641160143174975,-0.30417389715247134,0.3042698589036644
70#7,PC_ON,global,0.22055362154520236,0.28116437362010827,0.060610752074905905,0.8063120700296798,0.7746265120047618,-6.638645693076811e-15,1.1547030969321146e-13,0.017440421088000837,0.011417375872036272,0.02084525748288409
