cell_id,group,mode,pathway,valid_bins,mean_abs_delta_logit,change_from_production
68#10,MC ON,preroll_400ms,direct_BC_off,480,1.5241615540037552,-0.00015695417920746912
68#10,MC ON,preroll_400ms,AC_off,480,1.4594524852931499,-0.00012079949180288096
68#10,MC ON,continuous,H1_off,480,0.005006841694315274,6.069242954253977e-06
68#10,MC ON,continuous,direct_BC_off,480,1.524156961714228,-0.00016154646873456358
68#10,MC ON,continuous,AC_off,480,1.459450857589642,-0.00012242719531063706
68#11,PC OFF,production,H1_off,3360,0.013249365364511807,0.0
68#11,PC OFF,production,direct_BC_off,3360,2.2246835973113774,0.0
68#11,PC OFF,production,AC_off,3360,0.8525014104942481,0.0
68#11,PC OFF,preroll_400ms,H1_off,3360,0.013244693850477536,-4.67151403427124e-06
68#11,PC OFF,preroll_400ms,direct_BC_off,3360,2.224499095355471,-0.0001845019559065797
68#11,PC OFF,preroll_400ms,AC_off,3360,0.8524201018114884,-8.130868275968428e-05
68#11,PC OFF,continuous,H1_off,3360,0.01324463424583276,-4.731118679046631e-06
68#11,PC OFF,continuous,direct_BC_off,3360,2.2244902963439626,-0.0001933009674148778
68#11,PC OFF,continuous,AC_off,3360,0.8524169024080038,-8.450808624427264e-05
69#3,PC OFF,production,H1_off,3360,0.16648169849067926,0.0
69#3,PC OFF,production,direct_BC_off,3360,1.3586417827134332,0.0
69#3,PC OFF,production,AC_off,3360,0.7662348079184691,0.0
69#3,PC OFF,preroll_400ms,H1_off,3360,0.16646762589613598,-1.4072594543279582e-05
69#3,PC OFF,preroll_400ms,direct_BC_off,3360,1.358537995132307,-0.00010378758112605802
69#3,PC OFF,preroll_400ms,AC_off,3360,0.7661853871618708,-4.942075659830625e-05
69#3,PC OFF,continuous,H1_off,3360,0.16646756554643313,-1.4132944246125767e-05
69#3,PC OFF,continuous,direct_BC_off,3360,1.358533189756175,-0.00010859295725818008
69#3,PC OFF,continuous,AC_off,3360,0.7661806827411055,-5.412517736358424e-05
69#4,MC ON,production,H1_off,2880,0.013389996190865835,0.0
69#4,MC ON,production,direct_BC_off,2880,1.4821596782654525,0.0
69#4,MC ON,production,AC_off,2880,1.698397111768524,0.0
69#4,MC ON,preroll_400ms,H1_off,2880,0.013408422842621804,1.8426651755968845e-05
69#4,MC ON,preroll_400ms,direct_BC_off,2880,1.4820136100053787,-0.00014606826007379503
69#4,MC ON,preroll_400ms,AC_off,2880,1.698239317163825,-0.00015779460469889095
69#4,MC ON,continuous,H1_off,2880,0.013408304130037626,1.8307939171791077e-05
69#4,MC ON,continuous,direct_BC_off,2880,1.4820078928023577,-0.00015178546309480012
69#4,MC ON,continuous,AC_off,2880,1.6982356403023005,-0.00016147146622347286
69#6,MC OFF,production,H1_off,3360,0.07122238737841448,0.0
69#6,MC OFF,production,direct_BC_off,3360,1.1455930841465791,0.0
69#6,MC OFF,production,AC_off,3360,1.0468900453299284,0.0
69#6,MC OFF,preroll_400ms,H1_off,3360,0.07121679944296679,-5.587935447692871e-06
69#6,MC OFF,preroll_400ms,direct_BC_off,3360,1.145508613064885,-8.44710816940708e-05
69#6,MC OFF,preroll_400ms,AC_off,3360,1.0468091202278933,-8.092510203505654e-05
69#6,MC OFF,continuous,H1_off,3360,0.07121684898932774,-5.53838908673443e-06
69#6,MC OFF,continuous,direct_BC_off,3360,1.145504088078936,-8.899606764312118e-05
69#6,MC OFF,continuous,AC_off,3360,1.0468077253550292,-8.231997489915877e-05
69#7,MC ON,production,H1_off,3360,0.0468330072859923,0.0
69#7,MC ON,production,direct_BC_off,3360,1.243895144512256,0.0
69#7,MC ON,production,AC_off,3360,1.3813254709045093,0.0
69#7,MC ON,preroll_400ms,H1_off,3360,0.04684381199379762,1.0804707805317504e-05
69#7,MC ON,preroll_400ms,direct_BC_off,3360,1.243797054514289,-9.808999796701023e-05
69#7,MC ON,preroll_400ms,AC_off,3360,1.3812228467315435,-0.00010262417296580395
69#7,MC ON,continuous,H1_off,3360,0.04684302633007367,1.0019044081370498e-05
69#7,MC ON,continuous,direct_BC_off,3360,1.2437920678406953,-0.00010307667156062017
69#7,MC ON,continuous,AC_off,3360,1.3812195517122745,-0.00010591919223479351
69#21,PC OFF,production,H1_off,2880,0.005112351104617119,0.0
69#21,PC OFF,production,direct_BC_off,2880,1.2155859317630529,0.0
69#21,PC OFF,production,AC_off,2880,0.8374976187944412,0.0
69#21,PC OFF,preroll_400ms,H1_off,2880,0.005109575266639392,-2.7758379777271386e-06
69#21,PC OFF,preroll_400ms,direct_BC_off,2880,1.2154843327899774,-0.0001015989730754896
69#21,PC OFF,preroll_400ms,AC_off,2880,0.8374234841515621,-7.413464287908678e-05
