cell_id,feature,probability,threshold
69#4,U,0.4,0.49397731721401233
69#4,U,0.6,0.6326661264896393
69#4,U,0.8,1.0549929031729735
69#4,LSC,0.2,0.07682199296432861
69#4,LSC,0.4,0.17087313897697554
69#4,LSC,0.6,0.3338492465604575
69#4,LSC,0.8,0.7352747434580154
69#6,S,0.2,0.020191173057456106
69#6,S,0.4,0.05297413910185548
69#6,S,0.6,0.12085123214271482
69#6,S,0.8,0.3014510313843518
69#6,U,0.2,0.24012280470476705
69#6,U,0.4,0.48569724445159657
69#6,U,0.6,0.6257371817643823
69#6,U,0.8,1.167105395289568
69#6,LSC,0.2,0.08515239362142472
69#6,LSC,0.4,0.1882534731013528
69#6,LSC,0.6,0.35641746754865883
69#6,LSC,0.8,0.7703699903564333
69#7,S,0.2,0.022119731704394033
69#7,S,0.4,0.05247364739576986
69#7,S,0.6,0.11878337661425263
69#7,S,0.8,0.2964271076644462
69#7,U,0.2,0.238712791663905
69#7,U,0.4,0.4954133678848549
69#7,U,0.6,0.6305737912654871
69#7,U,0.8,1.0860498125354465
69#7,LSC,0.2,0.08425457320600444
69#7,LSC,0.4,0.1809420093208194
69#7,LSC,0.6,0.33376768457931005
69#7,LSC,0.8,0.7703798245945274
69#21,S,0.2,0.019912075144904163
69#21,S,0.4,0.05039367931229733
69#21,S,0.6,0.1391974495989934
69#21,S,0.8,0.3843109905719769
69#21,U,0.2,0.2872388295829299
69#21,U,0.4,0.5197346717119218
69#21,U,0.6,0.6749074608087539
69#21,U,0.8,1.1124973088502927
69#21,LSC,0.2,0.059290466631785325
69#21,LSC,0.4,0.14030374869818343
69#21,LSC,0.6,0.3419342038487405
69#21,LSC,0.8,0.7975996648415642
70#1,S,0.2,0.028210108833653633
70#1,S,0.4,0.08126077093184002
70#1,S,0.6,0.1792952592617698
70#1,S,0.8,0.4293757900113382
70#1,U,0.2,0.23208713675849146
70#1,U,0.4,0.47500124871730837
70#1,U,0.6,0.7011613368988037
70#1,U,0.8,1.303369814157495
70#1,LSC,0.2,0.10934746961303098
70#1,LSC,0.4,0.24577270957548605
70#1,LSC,0.6,0.41183464109875356
70#1,LSC,0.8,0.9509976066967152
70#7,S,0.2,0.022320444186528513
70#7,S,0.4,0.056805803021416135
70#7,S,0.6,0.12370539421836517
70#7,S,0.8,0.3095407458084338
70#7,U,0.2,0.2636374463637675
70#7,U,0.4,0.49700553417205867
70#7,U,0.6,0.621483810742696
70#7,U,0.8,1.0150034566720398
70#7,LSC,0.2,0.07737332047520953
70#7,LSC,0.4,0.1617415992132843
70#7,LSC,0.6,0.3175256004714401
70#7,LSC,0.8,0.6495863888659107
70#15,S,0.2,0.019205544318538163
70#15,S,0.4,0.06212233792757616
70#15,S,0.6,0.14651527896639877
70#15,S,0.8,0.3497535472793976
70#15,U,0.2,0.2023200778290632
70#15,U,0.4,0.45901171565055887
70#15,U,0.6,0.6291800864040852
70#15,U,0.8,1.0833398423157639
70#15,LSC,0.2,0.0948537673864561
70#15,LSC,0.4,0.20978020323942057
70#15,LSC,0.6,0.3950646151816184
70#15,LSC,0.8,0.7816636210217377
70#34,S,0.2,0.02677008217902152
70#34,S,0.4,0.06138429832100483
70#34,S,0.6,0.1426512832547742
70#34,S,0.8,0.3061115138377864
70#34,U,0.2,0.2307658167725264
70#34,U,0.4,0.47947512810880494
70#34,U,0.6,0.6260003455660559
70#34,U,0.8,0.9213578365065858
70#34,LSC,0.2,0.09443318328455685
70#34,LSC,0.4,0.20364029709597667
70#34,LSC,0.6,0.3633016439514508
70#34,LSC,0.8,0.7128459687815469
