split,cell_id,group,pathway,quintile,bins,mean_delta_loss,median_delta_loss,normal_nll,recalibrated_off_nll,event_rate,mean_C,mean_U,mean_R,mean_V,mean_LSC
consumed,67#14,PC_ON,AC,1,8302,0.06498816846957761,-0.08594210577197989,0.27725385151544063,0.34224201998501824,0.12900505902192244,-0.3944900337453714,0.7012778924671406,-0.39251145755231004,0.6994680010275337,0.07354169797738441
consumed,67#14,PC_ON,AC,2,5614,0.11932777010475379,-0.08007787526100946,0.33074889742254177,0.4500766675272955,0.16423227645172783,-0.010590756333804257,0.6244138002597143,-0.0035038029173342423,0.6180431813000988,0.16083847938110976
consumed,67#14,PC_ON,AC,3,6713,0.1738974041076395,-0.0662871148737042,0.38692590902201884,0.5608233131296584,0.21882913749441382,0.34358014399667175,0.7889105336829814,0.3583770451910336,0.7719894431442892,0.2833051541543708
consumed,67#14,PC_ON,AC,4,6041,0.1644847352001435,-0.0601030874851286,0.4177175193623057,0.5822022545624491,0.25393146829995034,0.8429209370533436,1.1346910272466415,0.8704467787795942,1.0999532768363267,0.4983248931627402
consumed,67#14,PC_ON,AC,5,6930,0.2943919879491747,-0.024975769751156084,0.4786509671755165,0.7730429551246912,0.33506493506493507,2.2294836526774393,2.3698954954423685,2.1817053551410295,2.2274375715472035,1.2614255556245606
consumed,67#21,PC_ON,BC,1,9352,0.20949279017295888,0.15426646058903304,0.22015574363970628,0.4296485338126651,0.07634730538922156,-0.33763229649475546,0.6730947891210535,-0.33537628400357355,0.6702862387651913,0.09859809059249397
consumed,67#21,PC_ON,BC,2,5509,0.17652574040130595,0.11896472319314852,0.2247234772613073,0.40124921766261323,0.07151933200217825,0.0014051554435412555,0.6009743269065806,0.009908744079202225,0.5917667170068979,0.21568496792408384
consumed,67#21,PC_ON,BC,3,6356,0.18363820808371714,0.11546327378099489,0.2534522693553212,0.4370904774390383,0.08354310887350536,0.3154606140112629,0.770318086243193,0.3313826518762857,0.75103430969174,0.30510703109371423
consumed,67#21,PC_ON,BC,4,6699,0.2806204485478043,0.0793302267936335,0.3158453767438279,0.5964658252916324,0.12957157784743992,0.9675000080242855,1.2538190266347091,0.9904599746827151,1.1973809320372053,0.5764580903852348
consumed,67#21,PC_ON,BC,5,5684,0.5059136115162662,0.048127844448444715,0.40799763159534286,0.9139112431116092,0.19739619985925405,2.5344223954342864,2.6457155653706157,2.430225858627406,2.459317590679285,1.4322713724945537
consumed,67#21,PC_ON,AC,1,9352,0.06517212985206379,-0.06721584469090808,0.22015574363970628,0.28532787349177,0.07634730538922156,-0.33763229649475546,0.6730947891210535,-0.33537628400357355,0.6702862387651913,0.09859809059249397
consumed,67#21,PC_ON,AC,2,5509,0.0826063377299296,-0.0670276554724957,0.2247234772613073,0.3073298149912369,0.07151933200217825,0.0014051554435412555,0.6009743269065806,0.009908744079202225,0.5917667170068979,0.21568496792408384
consumed,67#21,PC_ON,AC,3,6356,0.08503511475453157,-0.06920496170763808,0.2534522693553212,0.3384873841098528,0.08354310887350536,0.3154606140112629,0.770318086243193,0.3313826518762857,0.75103430969174,0.30510703109371423
consumed,67#21,PC_ON,AC,4,6699,0.15730392642195898,-0.06716643954251361,0.3158453767438279,0.4731493031657869,0.12957157784743992,0.9675000080242855,1.2538190266347091,0.9904599746827151,1.1973809320372053,0.5764580903852348
consumed,67#21,PC_ON,AC,5,5684,0.2797732671835601,-0.05735325226617975,0.40799763159534286,0.6877708987789029,0.19739619985925405,2.5344223954342864,2.6457155653706157,2.430225858627406,2.459317590679285,1.4322713724945537
consumed,67#26,PC_ON,BC,1,9646,0.2969502728531814,0.3194525917738189,0.4371502331884636,0.7341005060416451,0.19655815882230976,-0.36436678360080665,0.659482888708785,-0.3620639297052048,0.6570556233964336,0.09989054914955409
consumed,67#26,PC_ON,BC,2,5026,0.26866435656662857,0.2548884689998959,0.48187231576255035,0.750536672329179,0.22940708316752886,0.06576718152902793,0.638899464748831,0.07387979470060681,0.6306433324678495,0.22626756642131646
consumed,67#26,PC_ON,BC,3,6307,0.24463234561596564,0.21281440546785546,0.4957748397049689,0.7404071853209345,0.22926906611701284,0.3027501617980355,0.7477300643298962,0.3182374146582299,0.7314410033399313,0.3232783465306584
consumed,67#26,PC_ON,BC,4,6608,0.30195558789938065,0.18064558849209578,0.5340818960642387,0.8360374839636195,0.286773607748184,0.9321106775087143,1.2111708573208257,0.9544199143167168,1.1574067797480596,0.5834706377539429
consumed,67#26,PC_ON,BC,5,6013,0.5582525266826753,0.1543412339830118,0.571467012371056,1.1297195390537313,0.3690337601862631,2.4069438570772235,2.51314354912749,2.333224641464004,2.3612048534771195,1.413922024721567
consumed,67#26,PC_ON,AC,1,9646,0.07463123495617455,-0.13335819200366622,0.4371502331884636,0.5117814681446382,0.19655815882230976,-0.36436678360080665,0.659482888708785,-0.3620639297052048,0.6570556233964336,0.09989054914955409
consumed,67#26,PC_ON,AC,2,5026,0.09366041071315769,-0.1152479804488325,0.48187231576255035,0.5755327264757081,0.22940708316752886,0.06576718152902793,0.638899464748831,0.07387979470060681,0.6306433324678495,0.22626756642131646
consumed,67#26,PC_ON,AC,3,6307,0.11056754066872593,-0.12145256947670732,0.4957748397049689,0.6063423803736948,0.22926906611701284,0.3027501617980355,0.7477300643298962,0.3182374146582299,0.7314410033399313,0.3232783465306584
consumed,67#26,PC_ON,AC,4,6608,0.15565774606687063,-0.10741155427099511,0.5340818960642387,0.6897396421311095,0.286773607748184,0.9321106775087143,1.2111708573208257,0.9544199143167168,1.1574067797480596,0.5834706377539429
