split,cell_id,group,pathway,matching_feature,stratum,low_bins,high_bins,overlap_mass,weight,E,Q1_U,Q5_U,Q1_LSC,Q5_LSC,Q1_C,Q5_C,Q1_R,Q5_R
consumed,67#21,PC_ON,AC,U,2,1533,658,658,0.2611111111111111,0.07917904164670948,0.35424872704773086,0.35913280808389125,0.13758807922079605,1.0035557347982353,-0.2081682709923873,0.04179913902028583,-0.2065102204432961,0.4515702692717099
consumed,67#21,PC_ON,AC,U,3,1050,329,329,0.13055555555555556,0.12657138978601745,0.5575716009984414,0.5474594760032252,0.0969790697309178,0.8894303844178579,-0.3599211716900269,0.17728502926555403,-0.3573508077512702,0.5114603026386648
consumed,67#21,PC_ON,AC,U,4,5096,469,469,0.18611111111111112,0.1031451594029301,0.7641087550040498,0.7410088055315358,0.03410113382075213,1.240246177659605,-0.6952308624097566,0.2770744976413839,-0.691946361616984,0.7734543101475181
consumed,67#21,PC_ON,AC,U,5,392,3556,392,0.15555555555555556,0.20988597116031524,2.8554689389254366,3.990012115884025,0.5861417728385286,1.6615960616148011,2.8554689389254366,3.990012115884025,2.8534012094494847,3.5441855278642382
consumed,67#21,PC_ON,AC,LSC,1,6279,0,0,0.0,,0.6876838448666297,,0.023054194112614727,,-0.628174922551301,,-0.6249726982426206,
consumed,67#21,PC_ON,AC,LSC,2,1603,0,0,0.0,,0.41543873478946997,,0.11092746557856051,,-0.14318945487257342,,-0.14220480910709205,
consumed,67#21,PC_ON,AC,LSC,3,896,49,49,0.07865168539325842,-0.08740837229949025,0.3704477500732537,0.5133781598082611,0.22073786184834884,0.2941184866241593,0.0777403149568272,0.3027129444692816,0.07720032772701112,0.13651203622333313
consumed,67#21,PC_ON,AC,LSC,4,378,1113,378,0.6067415730337079,-0.02047485161431631,1.1354596052422292,1.2341758664203193,0.43942926043222835,0.5366642577652893,1.0500213666991502,1.0474795061840863,1.0499427446713572,0.9176134291116443
consumed,67#21,PC_ON,AC,LSC,5,196,4522,196,0.3146067415730337,0.06911130863743437,2.804808159325538,3.016243698454259,1.2021936041120427,1.665040105378525,2.804808159325538,2.9245863049505973,2.8044337863953497,2.8273796868779244
consumed,67#26,PC_ON,BC,U,1,1253,665,665,0.24173027989821882,0.02141682598002198,0.11864312764037045,0.12653086596180832,0.15085891403172533,0.9756309658144904,-0.02159611623132323,0.02866526592290029,-0.0209196725459008,0.5276858866285645
consumed,67#26,PC_ON,BC,U,2,1694,735,735,0.26717557251908397,0.118066642334762,0.3569937564297145,0.35725503867846875,0.14694233565650644,1.0253153548988172,-0.21515672146411846,0.044708785921157825,-0.2153516256116858,0.5477899878680805
consumed,67#26,PC_ON,BC,U,3,1113,420,420,0.15267175572519084,0.06456854641255494,0.5695752548507809,0.5591028483219755,0.10023115801336657,0.9923721857860162,-0.3892458126068982,0.14139825659571215,-0.3861637807130131,0.5746178826032671
consumed,67#26,PC_ON,BC,U,4,5285,630,630,0.22900763358778625,-0.05524857424111329,0.7675058178041154,0.8264732746334955,0.03085295438093389,1.114558037551205,-0.6826253853925807,0.5592658143625077,-0.6791429712563531,0.836883597782758
consumed,67#26,PC_ON,BC,U,5,301,3563,301,0.10941475826972011,0.1985631001271082,3.049033808690864,3.931884738225088,0.833829097809344,1.678513576998633,3.049033808690864,3.931884738225088,3.048572187950878,3.5104032658252913
