cell_id,group,probe,mode,channel,peak_response,peak_absolute_response,peak_latency_ms_from_trial_start,peak_latency_ms_from_onset,response_integral_seconds,peak_change_vs_center_only,integral_change_vs_center_only,center_onset_50ms,center_offset_50ms,surround_first_onset_50ms,surround_first_offset_50ms,off_minus_normal_mean_abs_active,off_minus_normal_peak_signed,off_minus_normal_peak_absolute,off_minus_normal_integral_seconds
67#14,PC_ON,rapid_10Hz,normal,logit,0.3743041753768921,0.3743041753768921,426.6666666666667,126.66666666666669,0.5237823128700256,0.09092080593109131,-1.0609626770019531e-05,0.1127210408449173,0.21040146052837372,0.1127210408449173,0.16105243563652039,0.0,0.0,0.0,0.0
67#14,PC_ON,rapid_20Hz,normal,logit,0.3054649829864502,0.3054649829864502,433.33333333333337,133.33333333333337,0.5237987637519836,0.022081613540649414,5.841255187988281e-06,0.1127210408449173,0.1496928483247757,0.1127210408449173,0.2145601361989975,0.0,0.0,0.0,0.0
67#14,PC_ON,transient_50ms,normal,logit,0.41225695610046387,0.41225695610046387,1380.0,1080.0,0.5237748026847839,0.12887358665466309,-1.811981201171875e-05,0.1127210408449173,0.13754762709140778,0.1127210408449173,0.15150439739227295,0.0,0.0,0.0,0.0
67#14,PC_ON,large_field_50ms,normal,logit,0.232879638671875,0.232879638671875,340.0,40.0,7.947286162490741e-10,-0.04799497127532959,1.5894572324981482e-09,0.11244043707847595,0.027699539437890053,0.11244043707847595,0.027699539437890053,0.0,0.0,0.0,0.0
67#14,PC_ON,slow_step,normal,probability,0.06973080337047577,0.06973080337047577,1580.0,1280.0,0.07672419399023056,0.02980905771255493,0.0034432709217071533,0.015446746721863747,0.048055604100227356,0.015446746721863747,0.010655704885721207,0.0,0.0,0.0,0.0
67#14,PC_ON,slow_1Hz,normal,probability,0.06973077356815338,0.06973077356815338,1080.0,780.0,0.07649576663970947,0.029809027910232544,0.0032148435711860657,0.015446746721863747,0.04805797338485718,0.015446746721863747,0.010655263438820839,0.0,0.0,0.0,0.0
67#14,PC_ON,slow_2Hz,normal,probability,0.06973017752170563,0.06973017752170563,826.6666666666667,526.6666666666667,0.07603023946285248,0.02980843186378479,0.002749316394329071,0.015446746721863747,0.04808121919631958,0.015446746721863747,0.01001874078065157,0.0,0.0,0.0,0.0
67#14,PC_ON,rapid_10Hz,normal,probability,0.05433519184589386,0.05433519184589386,426.6666666666667,126.66666666666669,0.073716901242733,0.014413446187973022,0.0004359781742095947,0.015446746721863747,0.029223607853055,0.015446746721863747,0.021801332011818886,0.0,0.0,0.0,0.0
67#14,PC_ON,rapid_20Hz,normal,probability,0.04334947466850281,0.04334947466850281,433.33333333333337,133.33333333333337,0.07328522205352783,0.00342772901058197,4.298985004425049e-06,0.015446746721863747,0.020436180755496025,0.015446746721863747,0.029570359736680984,0.0,0.0,0.0,0.0
67#14,PC_ON,transient_50ms,normal,probability,0.06058661639690399,0.06058661639690399,1380.0,1080.0,0.0733620822429657,0.020664870738983154,8.115917444229126e-05,0.015446746721863747,0.019045347347855568,0.015446746721863747,0.020441019907593727,0.0,0.0,0.0,0.0
67#14,PC_ON,large_field_50ms,normal,probability,0.03225681185722351,0.03225681185722351,340.0,40.0,0.00019747763872146606,-0.007278457283973694,-8.699586032889783e-05,0.015405047684907913,0.004271209239959717,0.015405047684907913,0.004271209239959717,0.0,0.0,0.0,0.0
67#14,PC_ON,slow_step,H1_off,logit,0.4659578800201416,0.4659578800201416,1580.0,1280.0,0.5237409472465515,0.1820392608642578,-0.0007255673408508301,0.11302758753299713,0.3300676941871643,0.11302758753299713,0.08112271130084991,0.0007847229717299342,0.002174973487854004,0.002174973487854004,0.0006795231602154672
67#14,PC_ON,slow_1Hz,H1_off,logit,0.4659576416015625,0.4659576416015625,1080.0,780.0,0.5238281488418579,0.1820390224456787,-0.0006383657455444336,0.11302758753299713,0.33008238673210144,0.11302758753299713,0.08111941814422607,0.0008940768311731517,0.0026712417602539062,0.0026712417602539062,0.0006792466156184673
67#14,PC_ON,slow_2Hz,H1_off,logit,0.4659535884857178,0.4659535884857178,826.6666666666667,526.6666666666667,0.5240009427070618,0.18203496932983398,-0.00046557188034057617,0.11302758753299713,0.33022475242614746,0.11302758753299713,0.07668006420135498,0.0011111298808827996,0.0026706457138061523,0.0026706457138061523,0.0006786886951886117
67#14,PC_ON,rapid_10Hz,H1_off,logit,0.3729124069213867,0.3729124069213867,433.33333333333337,133.33333333333337,0.5244566798210144,0.08899378776550293,-9.834766387939453e-06,0.11302758753299713,0.2093643844127655,0.11302758753299713,0.16270779073238373,0.0012089964002370834,0.002174973487854004,0.002174973487854004,0.0006743804551661015
67#14,PC_ON,rapid_20Hz,H1_off,logit,0.30494558811187744,0.30494558811187744,433.33333333333337,133.33333333333337,0.5244725942611694,0.021026968955993652,6.079673767089844e-06,0.11302758753299713,0.14973652362823486,0.11302758753299713,0.2153855860233307,0.0005906879669055343,0.0017275810241699219,0.0017275810241699219,0.0006737359799444675
67#14,PC_ON,transient_50ms,H1_off,logit,0.41126322746276855,0.41126322746276855,1380.0,1080.0,0.5244485139846802,0.12734460830688477,-1.800060272216797e-05,0.11302758753299713,0.1377934068441391,0.11302758753299713,0.15333662927150726,0.0003881084849126637,0.002174973487854004,0.002174973487854004,0.0006737963412888348
67#14,PC_ON,large_field_50ms,H1_off,logit,0.2344198226928711,0.2344198226928711,340.0,40.0,7.947286162490741e-10,-0.04700064659118652,7.947286162490741e-10,0.11302758753299713,0.03081352449953556,0.11302758753299713,0.03081352449953556,0.00029324452043510973,0.003995180130004883,0.003995180130004883,0.0
67#14,PC_ON,slow_step,H1_off,probability,0.06966879963874817,0.06966879963874817,1580.0,1280.0,0.07679914683103561,0.02966451644897461,0.003415212035179138,0.015492329373955727,0.04801624268293381,0.015492329373955727,0.01073535904288292,0.00011309226101730019,-0.0003135949373245239,0.0003135949373245239,7.494718011002988e-05
67#14,PC_ON,slow_1Hz,H1_off,probability,0.06966875493526459,0.06966875493526459,1080.0,780.0,0.07657007873058319,0.029664471745491028,0.003186143934726715,0.015492329373955727,0.04801861569285393,0.015492329373955727,0.010734915733337402,0.00013013233547098935,0.0003944486379623413,0.0003944486379623413,7.430335244862363e-05
67#14,PC_ON,slow_2Hz,H1_off,probability,0.06966805458068848,0.06966805458068848,826.6666666666667,526.6666666666667,0.07610335201025009,0.029663771390914917,0.0027194172143936157,0.015492329373955727,0.04804103076457977,0.015492329373955727,0.010109798982739449,0.00016396259889006615,0.0003943890333175659,0.0003943890333175659,7.311503577511758e-05
67#14,PC_ON,rapid_10Hz,H1_off,probability,0.05410858988761902,0.05410858988761902,433.33333333333337,133.33333333333337,0.07380442321300507,0.014104306697845459,0.0004204884171485901,0.015492329373955727,0.0290696918964386,0.015492329373955727,0.0220368392765522,0.00018194789299741387,0.0003081709146499634,0.0003081709146499634,8.752127905609086e-05
67#14,PC_ON,rapid_20Hz,H1_off,probability,0.04326830804347992,0.04326830804347992,433.33333333333337,133.33333333333337,0.07338535040616989,0.00326402485370636,1.4156103134155273e-06,0.015492329373955727,0.020448124036192894,0.015492329373955727,0.02969222329556942,8.912871271604672e-05,0.00025328993797302246,0.00025328993797302246,0.00010011931590270251
67#14,PC_ON,transient_50ms,H1_off,probability,0.060421183705329895,0.060421183705329895,1380.0,1080.0,0.07346375286579132,0.020416900515556335,7.981806993484497e-05,0.015492329373955727,0.01908109150826931,0.015492329373955727,0.02070087008178234,5.8914123655995354e-05,0.0003081709146499634,0.0003081709146499634,0.00010168016160605475
67#14,PC_ON,large_field_50ms,H1_off,probability,0.03248696029186249,0.03248696029186249,340.0,40.0,0.00020110985497012734,-0.007132351398468018,-8.439351222477853e-05,0.015492329373955727,0.0046866112388670444,0.015492329373955727,0.0046866112388670444,3.755922080017626e-05,0.0005595386028289795,0.0005595386028289795,3.6322078358352883e-06
