group,probe,mode,channel,n_cells,peak_response,peak_absolute_response,peak_latency_ms_from_trial_start,peak_latency_ms_from_onset,response_integral_seconds,peak_change_vs_center_only,integral_change_vs_center_only,center_onset_50ms,center_offset_50ms,surround_first_onset_50ms,surround_first_offset_50ms,off_minus_normal_mean_abs_active,off_minus_normal_peak_signed,off_minus_normal_peak_absolute,off_minus_normal_integral_seconds
MC_OFF,large_field_50ms,H1_off,logit,4,0.26598963141441345,0.26598963141441345,340.0,40.0,2.98023217215615e-10,-0.0294940322637558,9.934107286779792e-10,0.12696166895329952,0.011813743185484782,0.12696166895329952,0.011813743185484782,0.0012928912619827315,0.019442230463027954,0.019442230463027954,4.967053851556713e-10
MC_OFF,slow_step,H1_off,probability,4,0.07526174932718277,0.07526174932718277,1495.0,1195.0,0.08797258511185646,0.02202475070953369,0.0019781850278377533,0.02241665869951248,0.04716913867741823,0.02241665869951248,0.016776382457464933,0.0005234935379121453,0.0017903782427310944,0.0017903782427310944,0.0009730401507113129
MC_OFF,slow_1Hz,H1_off,probability,4,0.07526174187660217,0.07526174187660217,995.0,695.0,0.08788255788385868,0.022024743258953094,0.0018881577998399734,0.02241665869951248,0.04717112332582474,0.02241665869951248,0.016776149161159992,0.000562081957468763,0.0018444173038005829,0.0018444173038005829,0.0009707012723083608
MC_OFF,slow_2Hz,H1_off,probability,4,0.07526087760925293,0.07526087760925293,743.3333333333334,443.33333333333337,0.08769659511744976,0.02202387899160385,0.0017021950334310532,0.02241665869951248,0.04721130337566137,0.02241665869951248,0.015982022392563522,0.0006372970747179352,0.0018445327877998352,0.0018445327877998352,0.000966317042184528
MC_OFF,rapid_10Hz,H1_off,probability,4,0.06566093489527702,0.06566093489527702,430.0,130.00000000000003,0.0864288229495287,0.012423936277627945,0.0004344228655099869,0.02241665869951248,0.031790700275450945,0.02241665869951248,0.026824038475751877,0.0008835067637846805,0.0017903633415699005,0.0017903633415699005,0.0009780229374882765
MC_OFF,rapid_20Hz,H1_off,probability,4,0.05332745239138603,0.05332745239138603,410.0,110.00000000000003,0.08601564355194569,9.045377373695374e-05,2.1243467926979065e-05,0.02241687849164009,0.02038839552551508,0.02241687849164009,0.0398317314684391,0.0005549941924982704,0.0015780776739120483,0.0015780776739120483,0.0010336044651921839
MC_OFF,transient_50ms,H1_off,probability,4,0.06970179453492165,0.06970179453492165,1381.6666666666667,1081.6666666666667,0.0860478263348341,0.016464795917272568,5.342625081539154e-05,0.02241665869951248,0.018753656186163425,0.02241665869951248,0.025291328551247716,0.0005312206121743657,0.0017903633415699005,0.0017903633415699005,0.0010412878909846768
MC_OFF,large_field_50ms,H1_off,probability,4,0.04735029861330986,0.04735029861330986,340.0,40.0,0.0002819555375026539,-0.005886700004339218,-5.2049443183932453e-05,0.02241665869951248,0.0026258879370288923,0.02241665869951248,0.0026258879370288923,0.00021393630231614225,0.0033733732998371124,0.0033733732998371124,8.29298073767859e-06
MC_OFF,slow_step,direct_BC_off,logit,4,-0.3312457352876663,0.3312457352876663,485.0,185.00000000000003,-0.35379036515951157,-0.1538669764995575,0.000451013445854187,-0.021888062357902527,-0.021661626175045967,-0.021888062357902527,-0.31026866286993027,0.406921423971653,-0.4247055649757385,0.4247055649757385,-0.8296231180429459
MC_OFF,slow_1Hz,direct_BC_off,logit,4,-0.3312457352876663,0.3312457352876663,485.0,185.00000000000003,-0.3538338989019394,-0.1538669764995575,0.0004074797034263611,-0.021888062357902527,-0.021652204915881157,-0.021888062357902527,-0.3102787807583809,0.40696781873703003,-0.42470741271972656,0.42470741271972656,-0.8297159224748611
