group,probe,mode,channel,n_cells,current_peak_response,previous_peak_response,delta_peak_response,current_peak_absolute_response,previous_peak_absolute_response,delta_peak_absolute_response,current_peak_latency_ms_from_trial_start,previous_peak_latency_ms_from_trial_start,delta_peak_latency_ms_from_trial_start,current_peak_latency_ms_from_onset,previous_peak_latency_ms_from_onset,delta_peak_latency_ms_from_onset,current_response_integral_seconds,previous_response_integral_seconds,delta_response_integral_seconds,current_peak_change_vs_center_only,previous_peak_change_vs_center_only,delta_peak_change_vs_center_only,current_integral_change_vs_center_only,previous_integral_change_vs_center_only,delta_integral_change_vs_center_only,current_center_onset_50ms,previous_center_onset_50ms,delta_center_onset_50ms,current_center_offset_50ms,previous_center_offset_50ms,delta_center_offset_50ms,current_surround_first_onset_50ms,previous_surround_first_onset_50ms,delta_surround_first_onset_50ms,current_surround_first_offset_50ms,previous_surround_first_offset_50ms,delta_surround_first_offset_50ms,current_off_minus_normal_mean_abs_active,previous_off_minus_normal_mean_abs_active,delta_off_minus_normal_mean_abs_active,current_off_minus_normal_peak_signed,previous_off_minus_normal_peak_signed,delta_off_minus_normal_peak_signed,current_off_minus_normal_peak_absolute,previous_off_minus_normal_peak_absolute,delta_off_minus_normal_peak_absolute,current_off_minus_normal_integral_seconds,previous_off_minus_normal_integral_seconds,delta_off_minus_normal_integral_seconds
MC_ON,slow_2Hz,AC_off,probability,5,0.07596749365329743,0.09127240777015685,-0.015304914116859436,0.07596749365329743,0.09127240777015685,-0.015304914116859436,766.6666666666667,725.3333333333334,41.33333333333335,466.6666666666667,425.33333333333337,41.33333333333335,0.14973047077655793,0.17386288344860076,-0.024132412672042847,0.0005845606327056884,0.0035703063011169435,-0.002985745668411255,-4.124641418457031e-06,1.7642974853515626e-06,-5.888938903808594e-06,0.02309616580605507,0.02890644483268261,-0.00581027902662754,0.05072236433625221,0.059096282720565795,-0.008373918384313584,0.02309616580605507,0.02890644483268261,-0.00581027902662754,0.07405689880251884,0.08314822912216187,-0.00909133031964302,0.04271714240312576,0.05031695514917374,-0.0075998127460479735,0.08087957203388214,0.08931134641170502,-0.008431774377822877,0.08087957203388214,0.08931134641170502,-0.008431774377822877,0.08565901219844818,0.10120681673288345,-0.015547804534435272
MC_ON,rapid_10Hz,AC_off,probability,5,0.07572980523109436,0.08990045189857483,-0.014170646667480469,0.07572980523109436,0.08990045189857483,-0.014170646667480469,429.33333333333337,434.6666666666667,-5.3333333333333375,129.33333333333334,134.66666666666669,-5.3333333333333375,0.1497311383485794,0.17384790480136872,-0.024116766452789307,0.0003468722105026245,0.002198350429534912,-0.0018514782190322877,-3.4570693969726562e-06,-1.3214349746704101e-05,9.757280349731445e-06,0.02309616580605507,0.02890644483268261,-0.00581027902662754,0.050081224739551546,0.05658302679657936,-0.006501802057027817,0.02309616580605507,0.02890644483268261,-0.00581027902662754,0.06707412526011466,0.07814428508281708,-0.011070159822702407,0.043558402359485625,0.05168451890349388,-0.008126116544008254,0.06734055280685425,0.0717113584280014,-0.004370805621147156,0.06734055280685425,0.0717113584280014,-0.004370805621147156,0.08841901421546935,0.10491095036268235,-0.016491936147212984
MC_ON,rapid_20Hz,AC_off,probability,5,0.07542518973350525,0.08831627070903778,-0.012891080975532532,0.07542518973350525,0.08831627070903778,-0.012891080975532532,429.33333333333337,436.0,-6.666666666666674,129.33333333333334,136.00000000000003,-6.666666666666674,0.14973280131816863,0.1738523930311203,-0.02411959171295166,4.2256712913513186e-05,0.0006141692399978637,-0.0005719125270843506,-1.794099807739258e-06,-8.726119995117188e-06,6.9320201873779295e-06,0.023096468299627304,0.02890669144690037,-0.005810223147273063,0.04985355138778687,0.05546926856040955,-0.005615717172622681,0.023096468299627304,0.02890669144690037,-0.005810223147273063,0.05319806262850761,0.06475237011909485,-0.011554307490587234,0.04348072409629822,0.051605311781167985,-0.008124587684869766,0.052404722571372984,0.05796881914138794,-0.005564096570014954,0.052404722571372984,0.05796881914138794,-0.005564096570014954,0.08912388235330582,0.1055174395442009,-0.01639355719089508
MC_ON,transient_50ms,AC_off,probability,5,0.07567463517189026,0.09031475186347962,-0.014640116691589355,0.07567463517189026,0.09031475186347962,-0.014640116691589355,1190.6666666666667,1384.0,-193.33333333333334,890.6666666666667,1084.0,-193.33333333333334,0.14973503351211548,0.17386353015899658,-0.024128496646881104,0.00029170215129852294,0.0026126503944396973,-0.0023209482431411745,4.3809413909912107e-07,2.411007881164551e-06,-1.9729137420654298e-06,0.02309616580605507,0.02890644483268261,-0.00581027902662754,0.049810823798179624,0.055331598967313766,-0.00552077516913414,0.02309616580605507,0.02890644483268261,-0.00581027902662754,0.06703109666705132,0.07800959348678589,-0.010978496819734573,0.0432644210755825,0.05132414251565933,-0.008059721440076828,0.06705453395843505,0.0718418687582016,-0.00478733479976654,0.06705453395843505,0.0718418687582016,-0.00478733479976654,0.08906516134738922,0.10538591593503951,-0.0163207545876503
MC_ON,large_field_50ms,AC_off,probability,5,0.061547687649726866,0.07006570994853974,-0.008518022298812867,0.061547687649726866,0.07006570994853974,-0.008518022298812867,360.0,357.33333333333337,2.666666666666663,60.000000000000014,57.33333333333335,2.666666666666663,0.0004797367611899972,0.0006143449223600328,-0.0001346081611700356,-0.0014169394969940185,-0.005931505560874939,0.004514566063880921,-2.111036446876824e-05,-0.00010358656290918589,8.247619844041765e-05,0.022992695122957228,0.028559308126568796,-0.005566613003611565,0.041511610895395276,0.042420221120119096,-0.000908610224723816,0.022992695122957228,0.028559308126568796,-0.005566613003611565,0.041511610895395276,0.042420221120119096,-0.000908610224723816,0.0035543414764106275,0.0035922018345445395,-3.7860358133912086e-05,0.058761152625083926,0.060771772265434267,-0.0020106196403503417,0.058761152625083926,0.060771772265434267,-0.0020106196403503417,0.0002891830081352964,0.00040685064159333705,-0.00011766763345804066
PC_ON,slow_step,normal,logit,9,0.4000093738238017,0.3401411109500461,0.05986826287375556,0.4000093738238017,0.39612910482618546,0.003880268997616238,1546.6666666666667,1548.888888888889,-2.222222222222273,1246.6666666666667,1248.888888888889,-2.222222222222273,0.42039794557624394,0.4027537682818042,0.01764417729443974,0.16691330406400892,0.09137505292892456,0.07553825113508436,-0.0006261716286341349,-0.0005927822656101651,-3.338936302396986e-05,0.05130516489346822,0.050364411539501615,0.000940753353966607,0.3017529530657662,0.27942459285259247,0.022328360213173762,0.05130516489346822,0.050364411539501615,0.000940753353966607,0.06763605193959342,0.07330270773834652,-0.005666655798753102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC_ON,slow_1Hz,normal,logit,9,0.4000092281235589,0.3401176068517897,0.0598916212717692,0.4000092281235589,0.396105600727929,0.003903627395629883,1046.6666666666667,1106.6666666666667,-60.000000000000014,746.6666666666666,806.6666666666666,-60.000000000000014,0.42046846118238235,0.4028230710989899,0.01764539008339246,0.16691315836376613,0.09135154883066814,0.07556160953309801,-0.0005556560224956936,-0.0005234794484244452,-3.2176574071248375e-05,0.05130516489346822,0.050364411539501615,0.000940753353966607,0.30176545514000785,0.2794116818242603,0.022353773315747578,0.05130516489346822,0.050364411539501615,0.000940753353966607,0.06763395501507653,0.07333581811851925,-0.005701863103442722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC_ON,slow_2Hz,normal,logit,9,0.39997854497697616,0.3394649889734056,0.06051355600357056,0.39997854497697616,0.39545298284954494,0.0045255621274312334,783.7037037037038,885.1851851851852,-101.48148148148148,483.70370370370375,585.1851851851852,-101.48148148148148,0.4206085403760274,0.4029586989846494,0.017649841391377978,0.16688247521718344,0.09069893095228407,0.07618354426489936,-0.0004155768288506402,-0.0003878515627649095,-2.7725266085730658e-05,0.05130516489346822,0.050364411539501615,0.000940753353966607,0.301928804980384,0.2789706786473592,0.022958126333024766,0.05130516489346822,0.050364411539501615,0.000940753353966607,0.06422655925982529,0.07069515147142941,-0.006468592211604118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC_ON,rapid_10Hz,normal,logit,9,0.3074066374037001,0.24834602408938938,0.05906061331431071,0.3074066374037001,0.3043340179655287,0.0030726194381713867,434.81481481481484,414.07407407407413,20.740740740740744,134.81481481481484,114.07407407407408,20.740740740740744,0.4210063914457957,0.4033384352094597,0.017667956236335967,0.07431056764390734,-0.00042003393173217773,0.07473060157563952,-1.7725759082370336e-05,-8.115337954627143e-06,-9.610421127743191e-06,0.05130516489346822,0.050364411539501615,0.000940753353966607,0.2031029628382789,0.19374284479353163,0.009360118044747246,0.05130516489346822,0.050364411539501615,0.000940753353966607,0.11294299674530824,0.12423440565665562,-0.01129140891134739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC_ON,rapid_20Hz,normal,logit,9,0.24610747893651327,0.20477804872724745,0.04132943020926581,0.24610747893651327,0.24884890185462105,-0.0027414229181077746,641.4814814814815,396.2962962962963,245.18518518518522,341.4814814814815,96.2962962962963,245.18518518518522,0.421026349067688,0.4033489752974775,0.01767737377021048,0.013011409176720513,-0.04398800929387411,0.056999418470594615,2.23186280992296e-06,2.4247500631544326e-06,-1.9288725323147244e-07,0.056508044401804604,0.05590163833565182,0.0006064060661527845,0.1542755299144321,0.1454694229695532,0.008806106944878897,0.056508044401804604,0.05590163833565182,0.0006064060661527845,0.1344098159008556,0.146007116470072,-0.01159730056921641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
