cell_id,group,probe,mode,channel,current_peak_response,previous_peak_response,delta_peak_response,current_peak_absolute_response,previous_peak_absolute_response,delta_peak_absolute_response,current_peak_latency_ms_from_trial_start,previous_peak_latency_ms_from_trial_start,delta_peak_latency_ms_from_trial_start,current_peak_latency_ms_from_onset,previous_peak_latency_ms_from_onset,delta_peak_latency_ms_from_onset,current_response_integral_seconds,previous_response_integral_seconds,delta_response_integral_seconds,current_peak_change_vs_center_only,previous_peak_change_vs_center_only,delta_peak_change_vs_center_only,current_integral_change_vs_center_only,previous_integral_change_vs_center_only,delta_integral_change_vs_center_only,current_center_onset_50ms,previous_center_onset_50ms,delta_center_onset_50ms,current_center_offset_50ms,previous_center_offset_50ms,delta_center_offset_50ms,current_surround_first_onset_50ms,previous_surround_first_onset_50ms,delta_surround_first_onset_50ms,current_surround_first_offset_50ms,previous_surround_first_offset_50ms,delta_surround_first_offset_50ms,current_off_minus_normal_mean_abs_active,previous_off_minus_normal_mean_abs_active,delta_off_minus_normal_mean_abs_active,current_off_minus_normal_peak_signed,previous_off_minus_normal_peak_signed,delta_off_minus_normal_peak_signed,current_off_minus_normal_peak_absolute,previous_off_minus_normal_peak_absolute,delta_off_minus_normal_peak_absolute,current_off_minus_normal_integral_seconds,previous_off_minus_normal_integral_seconds,delta_off_minus_normal_integral_seconds
67#4,PC_OFF,rapid_10Hz,normal,probability,0.08861860632896423,0.10816773772239685,-0.019549131393432617,0.08861860632896423,0.10816773772239685,-0.019549131393432617,420.0,420.0,0.0,120.0,120.0,0.0,0.1529681235551834,0.18503615260124207,-0.032068029046058655,0.00902751088142395,0.01066666841506958,-0.0016391575336456299,3.0681490898132324e-05,4.9754977226257324e-05,-1.9073486328125e-05,0.022902067750692368,0.023607000708580017,-0.0007049329578876495,0.05873044580221176,0.07505300641059875,-0.016322560608386993,0.022902067750692368,0.023607000708580017,-0.0007049329578876495,0.05960216373205185,0.06379089504480362,-0.00418873131275177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67#4,PC_OFF,rapid_20Hz,normal,probability,0.08072736859321594,0.09747564792633057,-0.016748279333114624,0.08072736859321594,0.09747564792633057,-0.016748279333114624,426.6666666666667,420.0,6.666666666666686,126.66666666666669,120.0,6.666666666666686,0.1529155820608139,0.1849520057439804,-0.032036423683166504,0.0011362731456756592,-2.54213809967041e-05,0.0011616945266723633,-2.1860003471374512e-05,-3.439188003540039e-05,1.2531876564025879e-05,0.023103900253772736,0.02443734183907509,-0.001333441585302353,0.0518949031829834,0.0659060925245285,-0.014011189341545105,0.023103900253772736,0.02443734183907509,-0.001333441585302353,0.0544501394033432,0.05774889141321182,-0.003298752009868622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67#4,PC_OFF,transient_50ms,normal,probability,0.09592369198799133,0.1219005286693573,-0.025976836681365967,0.09592369198799133,0.1219005286693573,-0.025976836681365967,1373.3333333333335,1373.3333333333335,0.0,1073.3333333333335,1073.3333333333335,0.0,0.1529671996831894,0.18506301939487457,-0.03209581971168518,0.01633259654045105,0.02439945936203003,-0.00806686282157898,2.975761890411377e-05,7.662177085876465e-05,-4.686415195465088e-05,0.022902067750692368,0.023607000708580017,-0.0007049329578876495,0.04944373294711113,0.061668869107961655,-0.012225136160850525,0.022902067750692368,0.023607000708580017,-0.0007049329578876495,0.056952692568302155,0.05880505591630936,-0.0018523633480072021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67#4,PC_OFF,large_field_50ms,normal,probability,0.05355876684188843,0.051533639430999756,0.002025127410888672,0.05355876684188843,0.051533639430999756,0.002025127410888672,353.33333333333337,353.33333333333337,0.0,53.33333333333337,53.33333333333337,0.0,0.00023608018818777055,0.0002225342468591407,1.3545941328629851e-05,-0.01551029086112976,-0.021457523107528687,0.005947232246398926,-0.00015056274423841387,-0.00026386351964902133,0.00011330077541060746,0.022870592772960663,0.023566994816064835,-0.0006964020431041718,0.031066490337252617,0.029505060985684395,0.001561429351568222,0.022870592772960663,0.023566994816064835,-0.0006964020431041718,0.031066490337252617,0.029505060985684395,0.001561429351568222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67#4,PC_OFF,slow_step,H1_off,logit,0.4868846535682678,0.6319094300270081,-0.14502477645874023,0.4868846535682678,0.6319094300270081,-0.14502477645874023,1540.0,1520.0,20.0,1240.0,1220.0,20.0,0.7192243337631226,0.8640890717506409,-0.1448647379875183,0.11356246471405029,0.17815881967544556,-0.06459635496139526,-0.000273287296295166,-0.0006989240646362305,0.00042563676834106445,0.1112034022808075,0.1157231554389,-0.004519753158092499,0.3497466444969177,0.4688989818096161,-0.11915233731269836,0.1112034022808075,0.1157231554389,-0.004519753158092499,0.2587687373161316,0.2802494764328003,-0.0214807391166687,0.0007557509234175086,0.0008463698904961348,-9.061896707862616e-05,0.0011575818061828613,0.0013254284858703613,-0.0001678466796875,0.0011575818061828613,0.0013254284858703613,-0.0001678466796875,0.0006831535138189793,0.0007735303952358663,-9.037688141688704e-05
67#4,PC_OFF,slow_1Hz,H1_off,logit,0.4868848919868469,0.6319096684455872,-0.14502477645874023,0.4868848919868469,0.6319096684455872,-0.14502477645874023,1040.0,1020.0,20.0,740.0,720.0,20.0,0.7192587852478027,0.8641732931137085,-0.14491450786590576,0.1135627031326294,0.17815905809402466,-0.06459635496139526,-0.00023883581161499023,-0.0006147027015686035,0.0003758668899536133,0.1112034022808075,0.1157231554389,-0.004519753158092499,0.34975528717041016,0.46891218423843384,-0.11915689706802368,0.1112034022808075,0.1157231554389,-0.004519753158092499,0.25877195596694946,0.2802523970603943,-0.021480441093444824,0.0007385403150692582,0.0008282496710307896,-8.97093559615314e-05,0.0011757612228393555,0.0013568997383117676,-0.0001811385154724121,0.0011757612228393555,0.0013568997383117676,-0.0001811385154724121,0.0006827461766079068,0.000772872765082866,-9.012658847495914e-05
67#4,PC_OFF,slow_2Hz,H1_off,logit,0.48688966035842896,0.6319131851196289,-0.14502352476119995,0.48688966035842896,0.6319131851196289,-0.14502352476119995,786.6666666666667,766.6666666666667,20.0,486.66666666666674,466.66666666666674,20.0,0.7193269729614258,0.8643406629562378,-0.145013689994812,0.11356747150421143,0.1781625747680664,-0.06459510326385498,-0.00017064809799194336,-0.00044733285903930664,0.0002766847610473633,0.1112034022808075,0.1157231554389,-0.004519753158092499,0.34991446137428284,0.46917998790740967,-0.11926552653312683,0.1112034022808075,0.1157231554389,-0.004519753158092499,0.25613099336624146,0.27683231234550476,-0.020701318979263306,0.0007029783446341753,0.000790863239672035,-8.788489503785968e-05,0.001175522804260254,0.0013566017150878906,-0.00018107891082763672,0.001175522804260254,0.0013566017150878906,-0.00018107891082763672,0.0006819721311330795,0.0007715674582868814,-8.959532715380192e-05
67#4,PC_OFF,rapid_10Hz,H1_off,logit,0.4123539924621582,0.4991365671157837,-0.08678257465362549,0.4123539924621582,0.4991365671157837,-0.08678257465362549,420.0,420.0,0.0,120.0,120.0,0.0,0.7195011973381042,0.864791989326477,-0.1452907919883728,0.039031803607940674,0.04538595676422119,-0.006354153156280518,3.5762786865234375e-06,3.993511199951172e-06,-4.172325134277344e-07,0.1112034022808075,0.1157231554389,-0.004519753158092499,0.27827179431915283,0.3538370728492737,-0.07556527853012085,0.1112034022808075,0.1157231554389,-0.004519753158092499,0.28455084562301636,0.3051159083843231,-0.020565062761306763,0.000352722592651844,0.0003873386012855917,-3.46160086337477e-05,0.000830233097076416,0.0008922219276428223,-6.198883056640625e-05,0.000830233097076416,0.0008922219276428223,-6.198883056640625e-05,0.0006795724621042609,0.0007671423954889178,-8.75699333846569e-05
67#4,PC_OFF,rapid_20Hz,H1_off,logit,0.37821054458618164,0.45356619358062744,-0.0753556489944458,0.37821054458618164,0.45356619358062744,-0.0753556489944458,426.6666666666667,420.0,6.666666666666686,126.66666666666669,120.0,6.666666666666686,0.7195020914077759,0.8647945523262024,-0.1452924609184265,0.004888355731964111,-0.0001844167709350586,0.00507277250289917,4.470348358154297e-06,6.556510925292969e-06,-2.086162567138672e-06,0.11211492866277695,0.11952626705169678,-0.00741133838891983,0.2474760264158249,0.31292667984962463,-0.06545065343379974,0.11211492866277695,0.11952626705169678,-0.00741133838891983,0.26016414165496826,0.27667251229286194,-0.016508370637893677,0.000335477787302807,0.00037930309190414846,-4.3825304601341486e-05,0.00047785043716430664,0.0005209445953369141,-4.309415817260742e-05,0.00047785043716430664,0.0005209445953369141,-4.309415817260742e-05,0.0006795033114030957,0.0007670704508200288,-8.756713941693306e-05
67#4,PC_OFF,transient_50ms,H1_off,logit,0.44371992349624634,0.5569769144058228,-0.11325699090957642,0.44371992349624634,0.5569769144058228,-0.11325699090957642,1373.3333333333335,1373.3333333333335,0.0,1073.3333333333335,1073.3333333333335,0.0,0.7194848656654358,0.8647585511207581,-0.14527368545532227,0.07039773464202881,0.10322630405426025,-0.032828569412231445,-1.2755393981933594e-05,-2.944469451904297e-05,1.6689300537109375e-05,0.1112034022808075,0.1157231554389,-0.004519753158092499,0.23573541641235352,0.293252557516098,-0.05751714110374451,0.1112034022808075,0.1157231554389,-0.004519753158092499,0.27276045083999634,0.2829627990722656,-0.010202348232269287,0.00033974190591834486,0.0003829155466519296,-4.317364073358476e-05,0.0008776187896728516,0.0009475350379943848,-6.99162483215332e-05,0.0008776187896728516,0.0009475350379943848,-6.99162483215332e-05,0.000679620134178549,0.0007672461215406656,-8.762598736211658e-05
