cell_id,family,mode_A,mode_B,cosine,relative_l2,norm_A,norm_B,rmse
67#33,transient,1,2,0.911175197126235,0.4379898268961383,0.9078782171908224,0.962126556806657,0.09941035579754574
67#34,sustained,0,1,0.9003488007057107,0.435290571258659,0.9844983704790204,0.8762633402235785,0.10713571452225792
67#34,sustained,0,2,0.8365577051796367,0.5480652049139157,0.9844983704790204,0.8095191893746031,0.13489232528850012
67#34,sustained,1,2,0.990962528508557,0.14999972213703683,0.8762633402235785,0.8095191893746031,0.032859814388102135
67#34,transient,0,1,0.9988100589481481,0.049671548373868814,0.919572545801978,0.9271436186243414,0.011419148048021162
67#34,transient,0,2,0.9910274381292519,0.13698647894358174,0.919572545801978,0.9389191980760374,0.03149225129564963
67#34,transient,1,2,0.9963507541258252,0.08690513659157212,0.9271436186243414,0.9389191980760374,0.02014338570413821
68#3,sustained,0,1,0.9945461595496782,0.10429779427793247,0.9879122226143549,0.982222441578122,0.02575926643972175
68#3,sustained,0,2,0.9899688214198488,0.14129168081351928,0.9879122226143549,0.9792544362229493,0.03489594460735046
68#3,sustained,1,2,0.9993021697829959,0.03742424281665465,0.982222441578122,0.9792544362229493,0.009189732788396757
68#3,transient,0,1,0.9988521360116638,0.047918610976047306,0.9976800345648967,0.9978669859874679,0.01195186036372118
68#3,transient,0,2,0.8914218655967754,0.46632572300331926,0.9976800345648967,0.9990651396284748,0.116310965861113
68#3,transient,1,2,0.9108360636183537,0.4225440040897913,0.9978669859874679,0.9990651396284748,0.1054106779520391
68#4,sustained,0,1,0.9947493947668932,0.10920451675814746,0.8994775975366162,0.8604802745531213,0.024556754093441404
68#4,sustained,0,2,0.9869890875782494,0.17149726731230547,0.8994775975366162,0.8341158401377792,0.038564487496541844
68#4,sustained,1,2,0.9982540365641539,0.06575483316983557,0.8604802745531213,0.8341158401377792,0.0141451842247937
68#4,transient,0,1,0.9766492371095624,0.21971271313297705,0.9374065103896096,0.9586524034328917,0.051490031926554346
68#4,transient,0,2,0.4141118976461947,1.1170028563968823,0.9374065103896096,0.9951096353422217,0.26177143742755693
68#4,transient,1,2,0.5271591850451667,0.9915098805402655,0.9586524034328917,0.9951096353422217,0.2376283325018462
68#7,sustained,0,1,0.907475319270599,0.42012368414647727,0.9801793822255795,0.885646461422891,0.10294914329625715
68#7,sustained,0,2,0.845790478146908,0.5335328223892207,0.9801793822255795,0.8247758112758592,0.13073946806163406
68#7,sustained,1,2,0.9910736358307041,0.14611483847888368,0.885646461422891,0.8247758112758592,0.032351522415050155
68#7,transient,0,1,0.9972141552824227,0.07555075339736693,0.9402716061507083,0.9489349381093992,0.01775955706070957
68#7,transient,0,2,0.9819747860534893,0.19302834609636302,0.9402716061507083,0.9601550556853742,0.045374768254160515
68#7,transient,1,2,0.9932747653504422,0.117257456647779,0.9489349381093992,0.9601550556853742,0.02781742434173143
68#10,sustained,0,1,0.8904381937900386,0.45553843287554635,0.981756844980906,0.8937167070226488,0.11180699365686066
68#10,sustained,0,2,0.8295250771723837,0.5591336036994454,0.981756844980906,0.8411389945094367,0.13723331067269295
68#10,sustained,1,2,0.9922049638120127,0.1346622377574361,0.8937167070226488,0.8411389945094367,0.030087472922219197
68#10,transient,0,1,0.999999959997998,0.00028900600579023365,0.9044868897326979,0.90454051996108,6.535053582281963e-05
68#10,transient,0,2,0.9998432669586627,0.018110126989599566,0.9044868897326979,0.9077934860911736,0.004095093108371774
68#10,transient,1,2,0.9998482341049683,0.017820114537647407,0.90454051996108,0.9077934860911736,0.0040297539174123966
68#11,sustained,0,1,0.9914752817017931,0.13030027567072935,0.9862251632181239,0.9789831479996423,0.0321263526601829
68#11,sustained,0,2,0.9876285023940078,0.15683504723499067,0.9862251632181239,0.9766870317716878,0.03866866751441271
68#11,sustained,1,2,0.9996387021668576,0.02695184276943701,0.9789831479996423,0.9766870317716878,0.00659634996970371
68#11,transient,0,1,0.999999774595889,0.0006714522552829029,0.9955274759892532,0.9955335447377056,0.00016711229223727
68#11,transient,0,2,0.9996545149999057,0.026290397377019867,0.9955274759892532,0.9957591834796811,0.006543203235874768
68#11,transient,1,2,0.9996719336735156,0.02561899172182884,0.9955335447377056,0.9957591834796811,0.00637614141035955
69#3,sustained,0,1,0.9912123742753662,0.1323335245611142,0.9867219921172355,0.9743416248215385,0.03264409974470943
69#3,sustained,0,2,0.9923869187080376,0.12321708728910477,0.9867219921172355,0.9754855926599039,0.03039525245819719
69#3,sustained,1,2,0.9999574999811163,0.009299372585386432,0.9743416248215385,0.9754855926599039,0.002265191448666572
69#3,transient,0,1,0.998129243273634,0.06134344293373764,0.9503554629255073,0.9438253960503888,0.01457451902668417
69#3,transient,0,2,0.9791894079588215,0.20666211536650414,0.9503554629255073,0.9676434084500695,0.04910061757957466
69#3,transient,1,2,0.9652367863696804,0.2681749530275816,0.9438253960503888,0.9676434084500695,0.0632775828130129
69#4,sustained,0,1,0.8834877248154632,0.4745221836907418,0.986702533156429,0.94637671101136,0.11705306017164381
69#4,sustained,0,2,0.7951148273957729,0.6190397992939444,0.986702533156429,0.9070593684621691,0.15270203452199557
69#4,sustained,1,2,0.985253954660618,0.17318439800136054,0.94637671101136,0.9070593684621691,0.04097442024475249
69#4,transient,0,1,0.9954335868832571,0.09593591966113545,0.9723590467904903,0.9772315244956432,0.02332103984866768
69#4,transient,0,2,0.9888409366114196,0.15013792857414493,0.9723590467904903,0.9796422233007382,0.03649699327886357
69#4,transient,1,2,0.9985323814758822,0.054300675034638056,0.9772315244956432,0.9796422233007382,0.013266082861310466
69#6,sustained,0,1,0.9888916044840199,0.1486909031239334,0.9817207475189093,0.9669391505965373,0.03649323614102241
69#6,sustained,0,2,0.8236270713411336,0.5671927943304883,0.9817207475189093,0.816739475776702,0.13920623350936648
69#6,sustained,1,2,0.8961569057556305,0.4467149381810194,0.9669391505965373,0.816739475776702,0.1079865407208849
69#6,transient,0,1,0.9975688199608153,0.07114832737768473,0.9158758054545615,0.9267827878575006,0.016290757910945457
69#6,transient,0,2,0.9815354249586536,0.19726301710576263,0.9158758054545615,0.9431216206090434,0.04516710616953432
69#6,transient,1,2,0.9924114485475412,0.12552080784272238,0.9267827878575006,0.9431216206090434,0.029082631056650966
69#7,sustained,0,1,0.8414646325451526,0.5414507288312737,0.9821514769010598,0.8609137856951847,0.13294665824769766
69#7,sustained,0,2,0.80665859675194,0.5923252663986249,0.9821514769010598,0.830894743176695,0.14543828379980578
69#7,sustained,1,2,0.9978985396895486,0.0726099438248531,0.8609137856951847,0.830894743176695,0.015627725404342246
69#7,transient,0,1,0.9999464850677766,0.010552044438753877,0.9069973599435289,0.9088336841620305,0.0023926691119891407
69#7,transient,0,2,0.9956896891969561,0.09517487403893302,0.9069973599435289,0.9224606233963286,0.021580839871567538
69#7,transient,1,2,0.9965937336250696,0.08449553435107039,0.9088336841620305,0.9224606233963286,0.019198096944880675
69#21,sustained,0,1,0.9959897848201866,0.08948897406660053,0.9817365156985228,0.9758538329511188,0.02196364839839497
