cohort,cell_id,fit,quantity,mode,effective_value,lower_bound,upper_bound,u,active_lower_bound,active_u,boundary,unit,median_zero,median_aligned,median_abs_change,median_relative_change,increase_count,decrease_count,rank_correlation,minimum,maximum,range,sample_SD,CV,NLL_spread
alignment_value,67#4,aligned,delay_H1,0,5.168848991394043,0.0,20.0,0.25844244956970214,0.0,0.25844244956970214,interior,ms,,,,,,,,,,,,,
alignment_value,67#4,aligned,delay_BC_sustained,0,11.848505973815918,0.0,30.0,0.39495019912719725,9.142573118209839,0.1297347400972326,interior,ms,,,,,,,,,,,,,
alignment_value,67#4,aligned,delay_BC_transient,0,9.142569541931152,0.0,20.0,0.45712847709655763,0.0,0.45712847709655763,interior,ms,,,,,,,,,,,,,
alignment_value,67#4,aligned,delay_AC_local_downstream,0,11.087514877319336,0.0,40.0,0.2771878719329834,7.588783264160156,0.10794817243902892,interior,ms,,,,,,,,,,,,,
alignment_value,67#4,aligned,delay_AC_transient_downstream,0,7.588778495788574,0.0,25.0,0.30355113983154297,0.0,0.30355113983154297,interior,ms,,,,,,,,,,,,,
alignment_value,67#6,zero,H1_effective_amplitude,0,0.15029537677764893,,,,,,,,,,,,,,,,,,,,
alignment_value,67#6,zero,BC_effective_weights,0,0.017192240804433823,,,,,,,,,,,,,,,,,,,,
alignment_value,67#6,zero,BC_effective_weights,1,0.020156526938080788,,,,,,,,,,,,,,,,,,,,
alignment_value,67#6,zero,BC_effective_weights,2,0.026075245812535286,,,,,,,,,,,,,,,,,,,,
alignment_value,67#6,zero,BC_effective_weights,3,0.017989953979849815,,,,,,,,,,,,,,,,,,,,
alignment_value,67#6,zero,BC_effective_weights,4,0.020630650222301483,,,,,,,,,,,,,,,,,,,,
alignment_value,67#6,zero,BC_effective_weights,5,0.026431430131196976,,,,,,,,,,,,,,,,,,,,
alignment_value,67#6,zero,BC_effective_weights,6,0.2527574300765991,,,,,,,,,,,,,,,,,,,,
alignment_value,67#6,zero,BC_effective_weights,7,0.2324446439743042,,,,,,,,,,,,,,,,,,,,
alignment_value,67#6,zero,BC_effective_weights,8,0.015669381245970726,,,,,,,,,,,,,,,,,,,,
alignment_value,67#6,zero,BC_effective_weights,9,0.19649015367031097,,,,,,,,,,,,,,,,,,,,
