cohort,cell_id,fit_A,fit_B,pathway,cosine,relative_l2,norm_A,norm_B,rmse,magnitude_ratio_B_over_A,signed_mean_same_sign,nonzero_bin_sign_agreement,mean_abs_A,signed_mean_A,rms_A,positive_fraction_A,mean_abs_B,signed_mean_B,rms_B,positive_fraction_B,magnitude_min,magnitude_max,magnitude_range,magnitude_sample_SD,magnitude_CV
alignment_nuisance,68#3,zero,aligned,direct_BC,0.9454171369027228,0.47063453954841233,135.87122975016297,174.5933122026653,1.1031680214262485,1.184290245619772,True,0.8604166666666667,1.4041668731719255,0.8800590753555297,2.3440014039019923,0.58125,1.6629411311199267,0.9465854099641243,3.0120207910641605,0.5333333333333333,,,,,
alignment_nuisance,68#3,zero,aligned,AC,0.9785713606918429,0.217729657469741,113.33561335495979,118.92752157027364,0.42571048815957485,1.0037263438708022,True,0.9333333333333333,1.208779920823872,-0.8045457646871607,1.9552250855799786,0.38958333333333334,1.2132842504729828,-0.7732602719217538,2.0516946673397687,0.41875,,,,,
alignment_nuisance,68#4,zero,aligned,H1,0.9998063643487959,0.040594066442771026,1.0077586296706333,0.971782462406111,0.0007622945944765637,0.9657840204237667,True,0.9916666666666667,0.01155923269689083,-0.008260118837157885,0.018778473340463106,0.35833333333333334,0.011163722227017085,-0.007876530041297276,0.018108097044018317,0.3541666666666667,,,,,
alignment_nuisance,68#4,zero,aligned,direct_BC,0.9990708094657814,0.04320280043708258,82.36149398164245,82.03837062398374,0.06630402161281512,0.9981184162805988,True,0.9791666666666666,1.0351735365887482,-0.700925850123167,1.534715827261604,0.3854166666666667,1.033225770915548,-0.6958335023373365,1.5286947789879128,0.3770833333333333,,,,,
alignment_nuisance,68#4,zero,aligned,AC,0.9998231242911279,0.0334659978508175,138.46002302357095,134.6027831006333,0.08634395434972493,0.9720316991866089,True,0.9958333333333333,1.5785686761140822,1.0354427523910998,2.580050197057421,0.5958333333333333,1.5344187925259272,1.002872187147538,2.5081747747806324,0.5958333333333333,,,,,
alignment_nuisance,68#7,zero,aligned,H1,0.8946877892224053,0.9572802514090516,0.6783818293856596,1.181306136083213,0.011203240719630024,1.7118198439826122,True,0.86875,0.0072605616102615995,0.0022741224616765975,0.011703198413567617,0.5125,0.012428773442904155,0.0015968099236488343,0.02037946698877044,0.46458333333333335,,,,,
alignment_nuisance,68#7,zero,aligned,direct_BC,0.9641681419514448,0.28689031693540223,152.66031085663064,130.51857005696326,0.755565977825959,0.8235368085323287,True,0.91875,1.6532516508052746,-1.0788406442850829,2.63364057001646,0.4166666666666667,1.3615135882049798,-0.8511382988343636,2.251659251273066,0.41875,,,,,
alignment_nuisance,68#7,zero,aligned,AC,0.9794051739172429,0.2102621731407122,117.92164691320515,108.57208885990457,0.42774510273535826,0.8959177448281692,True,0.9270833333333334,1.3214830470581849,0.929261714965105,2.0343416808933132,0.63125,1.1839401113490264,0.7946803870300452,1.873046480701948,0.6125,,,,,
alignment_nuisance,68#10,zero,aligned,H1,0.5804552549999871,20.313286390458114,0.18234200034974674,3.8068294218503778,0.1690621110706438,21.58840877672939,True,0.65,0.00500077245136102,-0.00018675935765107474,0.008322735564347598,0.43333333333333335,0.1079587198793888,-0.006497971465190252,0.17375719557681682,0.45,,,,,
alignment_nuisance,68#10,zero,aligned,direct_BC,0.668918156792567,0.7433860271461703,53.60118531278736,35.392821563641135,1.8187297407238352,0.747353722873643,True,0.7729166666666667,1.5243185081829627,-0.9881946147729953,2.4465481920690215,0.4083333333333333,1.1392051119357347,-0.5376566835989555,1.6154538953467936,0.45208333333333334,,,,,
alignment_nuisance,68#10,zero,aligned,AC,0.8415559401652808,0.5652745930795307,50.355832845617165,33.98854189884155,1.2992377496118854,0.7731594824040896,True,0.84375,1.4595732847849527,1.0027452585597834,2.2984187959586744,0.6291666666666667,1.128482925395171,0.5912764082352321,1.5513575912254165,0.5645833333333333,,,,,
alignment_nuisance,68#11,zero,aligned,H1,0.9824728778445229,0.3501905251207351,1.2148299535067606,1.5536815182739896,0.007339225713367728,1.3019208994794216,True,0.9291666666666667,0.013249365364511807,-0.009158767387270927,0.02095780778431222,0.35625,0.017249625672896705,-0.012074629962444305,0.02680355264869047,0.35625,,,,,
