cell_id,group,condition,center_strength,surround_strength,surround_center_ratio,spatial_extent_equivalent_radius_deg
68#7,PC_ON,H1_off,0.3517561793327332,0.03278040513396263,0.09319070157103052,0.06800628369901197
68#10,MC_ON,normal,0.1873383770386378,0.056877877563238144,0.30361038919167804,0.09124000394887596
68#10,MC_ON,AC_off,0.11222012009885576,0.00027455127080126357,0.002446542300608917,0.09124000394887596
68#10,MC_ON,H1_off,0.18891526924239266,0.058353123565514885,0.30888516211277445,0.09124000394887596
68#11,PC_OFF,normal,0.2603237748146057,0.013457528625925383,0.05169534989844629,0.06800628369901197
68#11,PC_OFF,AC_off,0.20090375542640687,0.0001135341056700175,0.000565116891065813,0.06800628369901197
68#11,PC_OFF,H1_off,0.2597996175289154,0.013404971609512964,0.05159734928409202,0.06800628369901197
69#3,PC_OFF,normal,0.3355713963508606,0.030735444277524948,0.09159137105174825,0.06800628369901197
69#3,PC_OFF,AC_off,0.2020014762878418,0.0002514484331186395,0.0012447851260271898,0.06800628369901197
69#3,PC_OFF,H1_off,0.33573906421661376,0.030882183462381363,0.09198269356721817,0.06800628369901197
69#4,MC_ON,normal,0.04774881509088334,2.9310212141808734e-05,0.0006138416646783957,0.13937140816793128
69#4,MC_ON,AC_off,0.11232479910055797,0.0003004623795277439,0.0026749425054280055,0.09124000394887596
69#4,MC_ON,H1_off,0.04761904690946851,0.0,0.0,0.13937140816793128
69#6,MC_OFF,normal,0.09459536108705732,4.494526228882023e-05,0.0004751317799554307,0.09124000394887596
69#6,MC_OFF,AC_off,0.11226002209716374,0.0002844110058504157,0.002533502136711243,0.09124000394887596
69#6,MC_OFF,H1_off,0.09567517704433864,0.0,0.0,0.09124000394887596
69#7,MC_ON,normal,0.047777089866853896,2.0966697791534117e-05,0.0004388441792910474,0.13937140816793128
69#7,MC_ON,AC_off,0.1122879750198788,0.0002913478359308404,0.0025946485888561255,0.09124000394887596
69#7,MC_ON,H1_off,0.04761904655467896,0.0,0.0,0.13937140816793128
69#21,PC_OFF,normal,0.3924848198890686,0.041298537204662956,0.10522327262576811,0.06800628369901197
69#21,PC_OFF,AC_off,0.20321669578552246,0.0004040681039138387,0.001988360761166481,0.06800628369901197
69#21,PC_OFF,H1_off,0.3931723117828369,0.04157636562983195,0.10574591440914094,0.06800628369901197
70#1,PC_ON,normal,0.15302981436252594,3.2423601169284666e-05,0.0002118776743234721,0.06800628369901197
70#1,PC_ON,AC_off,0.2021305203437805,0.00026763689432603616,0.0013240795792285273,0.06800628369901197
70#1,PC_ON,H1_off,0.15563227832317353,0.0,0.0,0.06800628369901197
70#7,PC_ON,normal,0.3881880521774292,0.0415632538497448,0.10706989464669942,0.06800628369901197
70#7,PC_ON,AC_off,0.20220964550971984,0.0002775515167741105,0.0013725928655602588,0.06800628369901197
70#7,PC_ON,H1_off,0.38979401588439944,0.042014663418134056,0.10778683536946415,0.06800628369901197
70#15,PC_ON,normal,0.39064531326293944,0.04091256856918335,0.10473072933463178,0.06800628369901197
70#15,PC_ON,AC_off,0.20261239409446716,0.00032812120237698156,0.0016194527676524886,0.06800628369901197
70#15,PC_ON,H1_off,0.3934910655021667,0.04163385679324468,0.10580635862751356,0.06800628369901197
70#34,MC_ON,normal,0.047751047781535556,3.0254965054155036e-05,0.0006335979305118844,0.13937140816793128
70#34,MC_ON,AC_off,0.11215321057372624,0.00025798259836543974,0.0023002693997408977,0.09124000394887596
70#34,MC_ON,H1_off,0.04761904903820583,0.0,0.0,0.13937140816793128
