cell_id,group,pathway,mean_abs_delta_logit,signed_delta_logit,delta_nll,protocol_sha256
68#11,PC_OFF,direct-BC,2.3441839519143106,1.4177719959616661,0.24921748042106628,3652c48aa4293f2c3503e15099b40657f6d3b396f4a06f4434c4f0e27167bb08
69#3,PC_OFF,direct-BC,1.247909682703515,0.7160587689156334,0.21888476610183716,3652c48aa4293f2c3503e15099b40657f6d3b396f4a06f4434c4f0e27167bb08
69#4,MC_ON,direct-BC,1.5778435142462452,-0.9608822735026479,0.2528880536556244,3652c48aa4293f2c3503e15099b40657f6d3b396f4a06f4434c4f0e27167bb08
69#6,MC_OFF,direct-BC,1.3780105718473594,0.7948771208027998,0.32747766375541687,3652c48aa4293f2c3503e15099b40657f6d3b396f4a06f4434c4f0e27167bb08
69#7,MC_ON,direct-BC,1.4343288548787434,-0.7985938583314419,0.19817298650741577,3652c48aa4293f2c3503e15099b40657f6d3b396f4a06f4434c4f0e27167bb08
69#21,PC_OFF,direct-BC,1.4102869697536031,0.7642328090096513,0.2289523482322693,3652c48aa4293f2c3503e15099b40657f6d3b396f4a06f4434c4f0e27167bb08
70#1,PC_ON,direct-BC,0.8674122608453035,-0.4898341938108206,0.09870582818984985,3652c48aa4293f2c3503e15099b40657f6d3b396f4a06f4434c4f0e27167bb08
70#7,PC_ON,direct-BC,1.3266207299399233,-0.7994096964047778,0.32195982336997986,3652c48aa4293f2c3503e15099b40657f6d3b396f4a06f4434c4f0e27167bb08
70#15,PC_ON,direct-BC,1.282226246373935,-0.7643756067980495,0.25745001435279846,3652c48aa4293f2c3503e15099b40657f6d3b396f4a06f4434c4f0e27167bb08
70#34,MC_ON,direct-BC,1.5639740347489715,-0.9304791251942516,0.274297297000885,3652c48aa4293f2c3503e15099b40657f6d3b396f4a06f4434c4f0e27167bb08
67#4,PC_OFF,AC,1.0867438657333452,-0.6868128476788601,0.06641322374343872,3652c48aa4293f2c3503e15099b40657f6d3b396f4a06f4434c4f0e27167bb08
67#6,MC_OFF,AC,1.3583576464032134,-0.7989597321425875,0.14807850122451782,3652c48aa4293f2c3503e15099b40657f6d3b396f4a06f4434c4f0e27167bb08
67#7,MC_ON,AC,1.6510800475254654,1.0073878325646122,0.4404296875,3652c48aa4293f2c3503e15099b40657f6d3b396f4a06f4434c4f0e27167bb08
67#14,PC_ON,AC,1.3516688564171393,0.8421587676058213,0.1918354332447052,3652c48aa4293f2c3503e15099b40657f6d3b396f4a06f4434c4f0e27167bb08
67#21,PC_ON,AC,1.1088380091637373,0.6968824654072523,0.22755050659179688,3652c48aa4293f2c3503e15099b40657f6d3b396f4a06f4434c4f0e27167bb08
67#26,PC_ON,AC,0.9553774328991061,0.5929178258528313,0.17796465754508972,3652c48aa4293f2c3503e15099b40657f6d3b396f4a06f4434c4f0e27167bb08
67#33,MC_OFF,AC,1.2496156269932788,-0.7441732044393817,0.14566051959991455,3652c48aa4293f2c3503e15099b40657f6d3b396f4a06f4434c4f0e27167bb08
67#34,PC_ON,AC,1.1209428129966061,0.6969574076806505,0.17494401335716248,3652c48aa4293f2c3503e15099b40657f6d3b396f4a06f4434c4f0e27167bb08
68#3,MC_OFF,AC,1.3569857546749213,-0.803919633893917,0.1855466663837433,3652c48aa4293f2c3503e15099b40657f6d3b396f4a06f4434c4f0e27167bb08
68#4,PC_ON,AC,1.6389852277562023,1.0324610266461969,0.3777374029159546,3652c48aa4293f2c3503e15099b40657f6d3b396f4a06f4434c4f0e27167bb08
68#7,PC_ON,AC,1.3134697351728877,0.8306293939923247,0.2283349335193634,3652c48aa4293f2c3503e15099b40657f6d3b396f4a06f4434c4f0e27167bb08
68#10,MC_ON,AC,1.4866310200343529,0.8606279468536377,0.3404639661312103,3652c48aa4293f2c3503e15099b40657f6d3b396f4a06f4434c4f0e27167bb08
68#11,PC_OFF,AC,0.675172090989848,-0.4228070077672601,0.04364591836929321,3652c48aa4293f2c3503e15099b40657f6d3b396f4a06f4434c4f0e27167bb08
69#3,PC_OFF,AC,0.6343019264750183,-0.4028159758510689,0.052854180335998535,3652c48aa4293f2c3503e15099b40657f6d3b396f4a06f4434c4f0e27167bb08
69#4,MC_ON,AC,1.8496663767223558,1.163619685433805,0.5044713914394379,3652c48aa4293f2c3503e15099b40657f6d3b396f4a06f4434c4f0e27167bb08
69#6,MC_OFF,AC,1.2131504956632853,-0.7242430919905504,0.17919966578483582,3652c48aa4293f2c3503e15099b40657f6d3b396f4a06f4434c4f0e27167bb08
69#7,MC_ON,AC,1.5691409088298678,0.9291292632495364,0.3965223431587219,3652c48aa4293f2c3503e15099b40657f6d3b396f4a06f4434c4f0e27167bb08
69#21,PC_OFF,AC,0.7068260724470019,-0.41176093167314926,0.06593537330627441,3652c48aa4293f2c3503e15099b40657f6d3b396f4a06f4434c4f0e27167bb08
70#1,PC_ON,AC,0.9706026549637318,0.5696394623319307,0.20623505115509033,3652c48aa4293f2c3503e15099b40657f6d3b396f4a06f4434c4f0e27167bb08
70#7,PC_ON,AC,1.1245624153511156,0.6976640477865225,0.22725769877433777,3652c48aa4293f2c3503e15099b40657f6d3b396f4a06f4434c4f0e27167bb08
70#15,PC_ON,AC,1.080812832319902,0.6692787249510487,0.20800384879112244,3652c48aa4293f2c3503e15099b40657f6d3b396f4a06f4434c4f0e27167bb08
70#34,MC_ON,AC,1.5964698921392362,0.9828036274512609,0.3984200954437256,3652c48aa4293f2c3503e15099b40657f6d3b396f4a06f4434c4f0e27167bb08
