cell_id,group,recording_id,model,left_out_repeat,raw_Pearson,six_repeat_raw_Pearson,min,max,range,std,artifact_class,protocol_sha256
67#14,PC_ON,lSS01110,LN,6,0.7227403027404995,0.7319570505398569,0.7211735982982581,0.7248313082413302,0.0036577099430721294,0.0011919813970627294,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
67#14,PC_ON,lSS01110,CNN,1,0.7887125298333254,0.7985432637587035,0.7876237545482047,0.7887125298333254,0.0010887752851207466,0.0004117634049849082,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
67#14,PC_ON,lSS01110,CNN,2,0.7883567792982624,0.7985432637587035,0.7876237545482047,0.7887125298333254,0.0010887752851207466,0.0004117634049849082,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
67#14,PC_ON,lSS01110,CNN,3,0.7885255969385959,0.7985432637587035,0.7876237545482047,0.7887125298333254,0.0010887752851207466,0.0004117634049849082,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
67#14,PC_ON,lSS01110,CNN,4,0.7876237545482047,0.7985432637587035,0.7876237545482047,0.7887125298333254,0.0010887752851207466,0.0004117634049849082,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
67#14,PC_ON,lSS01110,CNN,5,0.7876568458431916,0.7985432637587035,0.7876237545482047,0.7887125298333254,0.0010887752851207466,0.0004117634049849082,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
67#14,PC_ON,lSS01110,CNN,6,0.7881682484340544,0.7985432637587035,0.7876237545482047,0.7887125298333254,0.0010887752851207466,0.0004117634049849082,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
67#21,PC_ON,lSS01130,aligned,1,0.6306113822462384,0.6440645041983373,0.6232029646439594,0.6331124347656691,0.00990947012170973,0.0037238737421743436,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
67#21,PC_ON,lSS01130,aligned,2,0.6232029646439594,0.6440645041983373,0.6232029646439594,0.6331124347656691,0.00990947012170973,0.0037238737421743436,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
67#21,PC_ON,lSS01130,aligned,3,0.6247684174243767,0.6440645041983373,0.6232029646439594,0.6331124347656691,0.00990947012170973,0.0037238737421743436,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
67#21,PC_ON,lSS01130,aligned,4,0.6331124347656691,0.6440645041983373,0.6232029646439594,0.6331124347656691,0.00990947012170973,0.0037238737421743436,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
67#21,PC_ON,lSS01130,aligned,5,0.6255477626314425,0.6440645041983373,0.6232029646439594,0.6331124347656691,0.00990947012170973,0.0037238737421743436,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
