cell_id,group,recording_id,model,contract,raw_Pearson,raw_Spearman,NCorr,FEV,Rel6,correlation_ceiling,normalization_status,FEV_status,NCorr_gap,FEV_gap,raw_correlation_gap,mean_predicted_probability,mean_repeat_occupancy,repeat_mean_variance,repeat_mean_noise_variance,signal_variance,MSE,MSE_signal,count_Rel6,extra_count_Rel6,multi_spike_bin_fraction,beyond_first_spike_fraction,event_rate_hz,artifact_class,protocol_sha256
67#34,PC_ON,lSS01167,CNN,STIMULUS_ONLY_ZERO_HISTORY,0.7728697744458748,0.7301208621695044,0.8648612007757783,0.7349594864809379,0.7985825528848931,0.8936344626774938,DEFINED,DEFINED,0.13513879922422167,0.2650405135190621,0.12076468823161901,0.19227242262956534,0.19972222222222222,0.07961720679012345,0.016043209876543212,0.06357399691358023,0.03289289466497779,0.016849684788434575,0.806528849130557,0.3767038231174304,0.009930555555555555,0.04736667770785028,29.958333333333332,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
68#3,MC_OFF,lSS01181,aligned,STIMULUS_ONLY_ZERO_HISTORY,0.7031993671733379,0.7494357309973184,0.7679933117243486,0.5881765621706629,0.8383822340505586,0.9156321499655626,DEFINED,DEFINED,0.2320066882756514,0.41182343782933706,0.21243278279222477,0.31444054875571403,0.30393518518518514,0.11692124271262003,0.018927469135802472,0.09799377357681756,0.05928360185607714,0.04035613272027466,0.8699549849975673,0.7963755723608306,0.07328703703703704,0.21461897356143078,45.59027777777778,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
68#3,MC_OFF,lSS01181,LN,STIMULUS_ONLY_ZERO_HISTORY,0.6529218047706963,0.6979726686761961,0.7130830921514202,0.46358021976723063,0.8383822340505586,0.9156321499655626,DEFINED,DEFINED,0.2869169078485798,0.5364197802327694,0.26271034519486636,0.2383984162440494,0.30393518518518514,0.11692124271262003,0.018927469135802472,0.09799377357681756,0.07149326762205871,0.05256579848625624,0.8699549849975673,0.7963755723608306,0.07328703703703704,0.21461897356143078,45.59027777777778,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
68#3,MC_OFF,lSS01181,CNN,STIMULUS_ONLY_ZERO_HISTORY,0.7497389121782915,0.7540266186152145,0.8188210868376449,0.6433292735970937,0.8383822340505586,0.9156321499655626,DEFINED,DEFINED,0.18117891316235513,0.3566707264029063,0.16589323778727116,0.33447636626391075,0.30393518518518514,0.11692124271262003,0.018927469135802472,0.09799377357681756,0.05387897954040792,0.03495151040460545,0.8699549849975673,0.7963755723608306,0.07328703703703704,0.21461897356143078,45.59027777777778,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
68#4,PC_ON,lSS01184,aligned,STIMULUS_ONLY_ZERO_HISTORY,0.5220304688751071,0.5531052793513516,0.6897320130875905,0.46793260256398617,0.5728368345379139,0.7568598513185343,DEFINED,DEFINED,0.31026798691240953,0.5320673974360138,0.23482938244342721,0.16723053177204822,0.18206018518518519,0.047421218599965696,0.02029861111111111,0.027122607488854585,0.03472966628938451,0.014431055178273398,0.5762618009579428,0.18397857747531077,0.010069444444444445,0.052523792314179016,27.30902777777778,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
68#4,PC_ON,lSS01184,LN,STIMULUS_ONLY_ZERO_HISTORY,0.5354003135904076,0.5589884244853587,0.7073969013651346,0.47614996526360787,0.5728368345379139,0.7568598513185343,DEFINED,DEFINED,0.29260309863486544,0.5238500347363921,0.22145953772812665,0.1562147207828359,0.18206018518518519,0.047421218599965696,0.02029861111111111,0.027122607488854585,0.034506789986289116,0.014208178875178005,0.5762618009579428,0.18397857747531077,0.010069444444444445,0.052523792314179016,27.30902777777778,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
68#4,PC_ON,lSS01184,CNN,STIMULUS_ONLY_ZERO_HISTORY,0.4871978708002093,0.4991338352208831,0.6437094925189337,0.3735538312847999,0.5728368345379139,0.7568598513185343,DEFINED,DEFINED,0.3562905074810663,0.6264461687152001,0.26966198051832496,0.17662441235805695,0.18206018518518519,0.047421218599965696,0.02029861111111111,0.027122607488854585,0.03728946465807026,0.01699085354695915,0.5762618009579428,0.18397857747531077,0.010069444444444445,0.052523792314179016,27.30902777777778,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
68#7,PC_ON,lSS01194,aligned,STIMULUS_ONLY_ZERO_HISTORY,0.7203028234058423,0.6728671283399612,0.8044455782592914,0.6384720900414951,0.8017461746593494,0.8954028002297901,DEFINED,DEFINED,0.19555442174070858,0.3615279099585049,0.17509997682394784,0.19430348773915385,0.20430555555555555,0.08157714120370371,0.016197530864197535,0.06537961033950618,0.03983408474414066,0.023636553879943123,0.8261945023669373,0.6432304947336844,0.026504629629629628,0.1153653402826501,30.645833333333332,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
68#7,PC_ON,lSS01194,LN,STIMULUS_ONLY_ZERO_HISTORY,0.6876042132646342,0.6121303264813646,0.767927253620574,0.5617875892182789,0.8017461746593494,0.8954028002297901,DEFINED,DEFINED,0.232072746379426,0.43821241078172113,0.20779858696515596,0.1640223516476999,0.20430555555555555,0.08157714120370371,0.016197530864197535,0.06537961033950618,0.044847687527042074,0.02865015666284454,0.8261945023669373,0.6432304947336844,0.026504629629629628,0.1153653402826501,30.645833333333332,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
68#7,PC_ON,lSS01194,CNN,STIMULUS_ONLY_ZERO_HISTORY,0.7659494911190489,0.7153764696442674,0.8554244982509333,0.7045373676849214,0.8017461746593494,0.8954028002297901,DEFINED,DEFINED,0.14457550174906675,0.29546263231507863,0.12945330911074127,0.21628144248372033,0.20430555555555555,0.08157714120370371,0.016197530864197535,0.06537961033950618,0.035514762634842156,0.01931723177064462,0.8261945023669373,0.6432304947336844,0.026504629629629628,0.1153653402826501,30.645833333333332,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
68#11,PC_OFF,lSS01225,aligned,STIMULUS_ONLY_ZERO_HISTORY,0.6479511342544237,0.6511300586450975,0.7780611243247972,0.6051034370773744,0.6935169437418301,0.8327766469719418,DEFINED,DEFINED,0.22193887567520276,0.39489656292262565,0.18482551271751801,0.17217851492674904,0.1673148148148148,0.054960999657064476,0.016871913580246915,0.03808908607681756,0.031913162756846206,0.01504124917659929,0.6943750403335376,0.24732627504159987,0.012546296296296297,0.06975546975546976,25.09722222222222,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
