cell_id,recording_id,repeat,start_bin,stop_bin,reference,source_image_id,exact,reference_kind
67#6,lSS01078,5,2850,3000,production_20s,lSS01078-live-frames-002850-002999-trial-5,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,6,2850,3000,production_20s,lSS01078-live-frames-002850-002999-trial-6,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,1,0,150,production_60s,lSS01078-live-frames-000000-000149-trial-1,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,2,0,150,production_60s,lSS01078-live-frames-000000-000149-trial-2,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,3,0,150,production_60s,lSS01078-live-frames-000000-000149-trial-3,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,4,0,150,production_60s,lSS01078-live-frames-000000-000149-trial-4,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,5,0,150,production_60s,lSS01078-live-frames-000000-000149-trial-5,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,6,0,150,production_60s,lSS01078-live-frames-000000-000149-trial-6,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,1,150,300,production_60s,lSS01078-live-frames-000150-000299-trial-1,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,2,150,300,production_60s,lSS01078-live-frames-000150-000299-trial-2,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,3,150,300,production_60s,lSS01078-live-frames-000150-000299-trial-3,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,4,150,300,production_60s,lSS01078-live-frames-000150-000299-trial-4,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,5,150,300,production_60s,lSS01078-live-frames-000150-000299-trial-5,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
67#6,lSS01078,6,150,300,production_60s,lSS01078-live-frames-000150-000299-trial-6,True,LIVE_UNCHANGED_PRODUCTION_ADAPTER
