split,cell_id,group,quantile,bins,event_rate,local_mean,LSC,aligned_nll,LN_nll,CNN_nll,aligned_minus_LN,aligned_minus_CNN
consumed,67#7,MC_ON,2,6188,0.18616677440206852,-0.13604451767067618,0.09239298295005,0.3965771503995982,0.39925710358465377,0.3749075565310684,-0.0026799531850554836,0.02166959386852983
consumed,67#7,MC_ON,3,6412,0.23518402994385526,0.16411475154264898,0.18904531553059536,0.4321618367716661,0.4394056930775023,0.4228724682770721,-0.007243856305836284,0.00928936849459402
consumed,67#7,MC_ON,4,6664,0.26695678271308526,0.7741069599340988,0.4107446478171584,0.4615656064565026,0.4599343297240617,0.4429655421778382,0.0016312767324409402,0.018600064278664456
consumed,67#7,MC_ON,5,6503,0.2964785483622943,2.8890142275097883,1.3962075151713598,0.5421869545125519,0.5105796976636237,0.5189110645636257,0.03160725684892828,0.023275889948926334
consumed,67#14,PC_ON,1,8232,0.10714285714285714,-0.5723146742012946,0.010480067741543704,0.24888074986923106,0.24897044751908773,0.21475081583270492,-8.969764985665339e-05,0.03412993403652613
consumed,67#14,PC_ON,2,6188,0.16467356173238526,-0.1421047005756482,0.04522088459124239,0.3351595120545832,0.33954612141775437,0.3254919987100544,-0.004386609363171233,0.009667513344528728
consumed,67#14,PC_ON,3,5873,0.20466541801464327,0.18143468696671095,0.10108813783468691,0.40013620850098375,0.39826302718755974,0.3860689999841008,0.0018731813134240506,0.014067208516882966
consumed,67#14,PC_ON,4,6776,0.2727272727272727,0.9159724024815329,0.22869517163994182,0.4303231468638361,0.42233950680976645,0.4295739007647148,0.007983640054069615,0.0007492460991212766
consumed,67#14,PC_ON,5,6531,0.36242535599448783,2.7304840305693334,0.9052503676460327,0.4911773327939467,0.474747412844857,0.4991046649419518,0.016429919949089676,-0.007927332148005084
consumed,67#21,PC_ON,1,8624,0.06528293135435993,-0.5593632264820271,0.013752403198765075,0.1975170932657725,0.2007830689487525,0.18156542239324114,-0.0032659756829799993,0.015951670872531375
consumed,67#21,PC_ON,2,5663,0.08511389722761788,-0.09589380994311143,0.05730491720435684,0.24382520196802215,0.2480759831187933,0.24611479756486115,-0.004250781150771146,-0.0022895955968389938
consumed,67#21,PC_ON,3,6538,0.08519424900581217,0.18440447422496212,0.12441201578901073,0.25913769077069954,0.2605373695067695,0.26661494983190154,-0.0013996787360700338,-0.007477259061202014
consumed,67#21,PC_ON,4,6027,0.11697361871577899,0.8874568490414736,0.26422491077663085,0.3038592172989572,0.30617690901368927,0.31849886347041856,-0.0023176917147320953,-0.01463964617146145
consumed,67#21,PC_ON,5,6748,0.1959098992294013,2.749683922023022,0.9771275138083982,0.4050053698250961,0.4057030711398116,0.4115360275321838,-0.0006977013147153936,-0.006530657707087624
