split,cell_id,group,comparator,raw_E,matched_E,low_bins,high_bins,overlap_mass,low_overlap_fraction,high_overlap_fraction,eligible_mean_strata,raw_mean_drive_difference,matched_mean_drive_difference,Q1_event_rate,Q5_event_rate
development,67#33,MC_OFF,CNN,-0.002073872178873698,0.06720572882968162,672,672,98,0.14583333333333334,0.14583333333333334,3,2.969230124982278,0.06834876712354973,0.26339285714285715,0.15178571428571427
development,67#34,PC_ON,LN,0.01091865603173253,0.04788817370623129,672,672,245,0.3645833333333333,0.3645833333333333,3,2.8361915452211783,0.09845650725613306,0.19791666666666666,0.25595238095238093
development,67#34,PC_ON,CNN,-0.031617357240438786,0.00237524688467957,672,672,245,0.3645833333333333,0.3645833333333333,3,2.8361915452211783,0.09845650725613306,0.19791666666666666,0.25595238095238093
development,68#3,MC_OFF,LN,-0.05415875047684958,-0.02951227963195376,672,672,168,0.25,0.25,3,2.6686097852293136,0.15166617243416425,0.3482142857142857,0.23363095238095238
development,68#3,MC_OFF,CNN,-0.07949589133475915,-0.031653608191557825,672,672,168,0.25,0.25,3,2.6686097852293136,0.15166617243416425,0.3482142857142857,0.23363095238095238
development,68#4,PC_ON,LN,0.025959306429730322,0.015652584224649786,576,576,120,0.20833333333333334,0.20833333333333334,3,2.7619264012529223,0.032900387559673304,0.1857638888888889,0.1440972222222222
development,68#4,PC_ON,CNN,0.031019564581314572,0.022101687611783292,576,576,120,0.20833333333333334,0.20833333333333334,3,2.7619264012529223,0.032900387559673304,0.1857638888888889,0.1440972222222222
development,68#7,PC_ON,LN,0.02104064101208123,0.022814539404142277,672,672,84,0.125,0.125,3,2.9104108042107932,0.034736097431815584,0.16666666666666666,0.27827380952380953
development,68#7,PC_ON,CNN,-0.05986255173899995,0.0635891111172128,672,672,84,0.125,0.125,3,2.9104108042107932,0.034736097431815584,0.16666666666666666,0.27827380952380953
development,68#10,MC_ON,LN,0.012351378861948144,0.0008384698236475231,96,96,13,0.13541666666666666,0.13541666666666666,3,2.1503905598360826,0.10112319845808175,0.125,0.3125
development,68#10,MC_ON,CNN,0.026786548255497533,0.22144126360787625,96,96,13,0.13541666666666666,0.13541666666666666,3,2.1503905598360826,0.10112319845808175,0.125,0.3125
development,68#11,PC_OFF,LN,-0.02226886009822828,-0.06911784842095196,672,672,147,0.21875,0.21875,3,2.7534361000475656,0.0008857995619627711,0.20982142857142858,0.0818452380952381
development,68#11,PC_OFF,CNN,0.005060928977879044,-0.03207348321461312,672,672,147,0.21875,0.21875,3,2.7534361000475656,0.0008857995619627711,0.20982142857142858,0.0818452380952381
development,69#3,PC_OFF,LN,0.004920341161272615,0.014948408983553148,672,672,140,0.20833333333333334,0.20833333333333334,3,2.748839149500175,0.14921881647797167,0.3125,0.27529761904761907
development,69#3,PC_OFF,CNN,-0.01025304480799858,-0.032349130465705964,672,672,140,0.20833333333333334,0.20833333333333334,3,2.748839149500175,0.14921881647797167,0.3125,0.27529761904761907
development,69#4,MC_ON,LN,0.07516985378424883,0.09889898433088129,576,576,108,0.1875,0.1875,2,2.896800070822307,0.15222855446576747,0.17881944444444445,0.2621527777777778
development,69#4,MC_ON,CNN,0.014243671686933735,0.10549763475906979,576,576,108,0.1875,0.1875,2,2.896800070822307,0.15222855446576747,0.17881944444444445,0.2621527777777778
development,69#6,MC_OFF,LN,0.01682865132015887,0.029003404317232927,672,672,175,0.2604166666666667,0.2604166666666667,2,3.112735370523763,0.21114569521429288,0.23511904761904762,0.17708333333333334
development,69#6,MC_OFF,CNN,-0.009185493413721605,0.11558093835330965,672,672,175,0.2604166666666667,0.2604166666666667,2,3.112735370523763,0.21114569521429288,0.23511904761904762,0.17708333333333334
development,69#7,MC_ON,LN,-0.00021098571231064137,-0.0163571592121124,672,672,154,0.22916666666666666,0.22916666666666666,2,2.8941052986137943,0.18288299014900317,0.19940476190476192,0.27976190476190477
development,69#7,MC_ON,CNN,-0.046585237494813914,-0.101624198903477,672,672,154,0.22916666666666666,0.22916666666666666,2,2.8941052986137943,0.18288299014900317,0.19940476190476192,0.27976190476190477
development,69#21,PC_OFF,LN,0.0024210315239970434,-0.03586028276379559,576,576,102,0.17708333333333334,0.17708333333333334,2,3.0348163960467596,0.14847134042969523,0.28125,0.17881944444444445
development,69#21,PC_OFF,CNN,-0.0204845743058881,-0.024500521203402376,576,576,102,0.17708333333333334,0.17708333333333334,2,3.0348163960467596,0.14847134042969523,0.28125,0.17881944444444445
development,70#1,PC_ON,LN,0.021208192937586395,0.012008934095161005,576,576,120,0.20833333333333334,0.20833333333333334,3,2.8740933170620337,0.22696533816866815,0.22743055555555555,0.2760416666666667
development,70#1,PC_ON,CNN,0.02061094477870621,-0.007266297366254455,576,576,120,0.20833333333333334,0.20833333333333334,3,2.8740933170620337,0.22696533816866815,0.22743055555555555,0.2760416666666667
development,70#7,PC_ON,LN,0.00509392081344844,0.027849436650718297,672,672,105,0.15625,0.15625,3,2.743027722737073,0.0772377885999759,0.21726190476190477,0.29017857142857145
development,70#7,PC_ON,CNN,-0.03526259324639617,-0.061548295662652866,672,672,105,0.15625,0.15625,3,2.743027722737073,0.0772377885999759,0.21726190476190477,0.29017857142857145
development,70#15,PC_ON,LN,0.012391915111447875,0.007477009908872914,576,576,186,0.3229166666666667,0.3229166666666667,3,2.6772339640568434,0.1320167614206047,0.1840277777777778,0.234375
development,70#15,PC_ON,CNN,-0.01032927262869723,0.022043115600803458,576,576,186,0.3229166666666667,0.3229166666666667,3,2.6772339640568434,0.1320167614206047,0.1840277777777778,0.234375
development,70#34,MC_ON,LN,0.011731560537469578,0.026999130743272006,672,672,126,0.1875,0.1875,2,2.8485136263801856,0.09704759376766771,0.15327380952380953,0.24553571428571427
development,70#34,MC_ON,CNN,-0.08253665692697747,0.08190489904199237,672,672,126,0.1875,0.1875,2,2.8485136263801856,0.09704759376766771,0.15327380952380953,0.24553571428571427
