split,cell_id,comparator,mean_stratum,low_bins,high_bins,overlap_count,weight,eligible,excess_nll,low_local_mean,high_local_mean
development,69#4,LN,5,0,402,0,0.0,False,,,3.2503093619761407
development,69#4,CNN,1,348,0,0,0.0,False,,-0.693475579033638,
development,69#4,CNN,2,120,0,0,0.0,False,,-0.48294008508324626,
development,69#4,CNN,3,36,36,36,0.3333333333333333,True,0.21576976501546397,-0.17898385158429542,0.05236357726777593
development,69#4,CNN,4,72,138,72,0.6666666666666666,True,0.050361569630872724,0.5874745445946853,0.7001436618673008
development,69#4,CNN,5,0,402,0,0.0,False,,,3.2503093619761407
development,69#6,LN,1,350,0,0,0.0,False,,-0.6866008102435333,
development,69#6,LN,2,133,0,0,0.0,False,,-0.4615018372593621,
development,69#6,LN,3,49,42,42,0.24,True,0.081401630386438,-0.15142446874057527,0.1366543424769472
development,69#6,LN,4,140,133,133,0.76,True,0.012456596084852382,0.5677162195627505,0.7545672465654972
development,69#6,LN,5,0,497,0,0.0,False,,,3.533262950994952
development,69#6,CNN,1,350,0,0,0.0,False,,-0.6866008102435333,
development,69#6,CNN,2,133,0,0,0.0,False,,-0.4615018372593621,
development,69#6,CNN,3,49,42,42,0.24,True,0.5762347900915274,-0.15142446874057527,0.1366543424769472
development,69#6,CNN,4,140,133,133,0.76,True,-0.029888699037706485,0.5677162195627505,0.7545672465654972
development,69#6,CNN,5,0,497,0,0.0,False,,,3.533262950994952
development,69#7,LN,1,392,0,0,0.0,False,,-0.6944915662475285,
development,69#7,LN,2,126,0,0,0.0,False,,-0.5030789513278889,
development,69#7,LN,3,49,49,49,0.3181818181818182,True,-0.001340327055361283,-0.1518473076146273,-0.008297066359470279
development,69#7,LN,4,105,140,105,0.6818181818181818,True,-0.023365014218596256,0.5637126084831026,0.764950881449234
development,69#7,LN,5,0,483,0,0.0,False,,,3.217956226704876
development,69#7,CNN,1,392,0,0,0.0,False,,-0.6944915662475285,
development,69#7,CNN,2,126,0,0,0.0,False,,-0.5030789513278889,
development,69#7,CNN,3,49,49,49,0.3181818181818182,True,-0.32112717723882755,-0.1518473076146273,-0.008297066359470279
development,69#7,CNN,4,105,140,105,0.6818181818181818,True,0.0008105243196865897,0.5637126084831026,0.764950881449234
development,69#7,CNN,5,0,483,0,0.0,False,,,3.217956226704876
development,69#21,LN,1,348,0,0,0.0,False,,-0.7331610008560377,
development,69#21,LN,2,102,0,0,0.0,False,,-0.5055689290165901,
development,69#21,LN,3,48,24,24,0.23529411764705882,True,-0.08585255938166372,-0.1579576177173294,0.06638534384546801
development,69#21,LN,4,78,150,78,0.7647058823529411,True,-0.020478043804451555,0.5445965898151581,0.6697228160500527
development,69#21,LN,5,0,402,0,0.0,False,,,3.418385778011671
development,69#21,CNN,1,348,0,0,0.0,False,,-0.7331610008560377,
development,69#21,CNN,2,102,0,0,0.0,False,,-0.5055689290165901,
development,69#21,CNN,3,48,24,24,0.23529411764705882,True,-0.08586071852092746,-0.1579576177173294,0.06638534384546801
development,69#21,CNN,4,78,150,78,0.7647058823529411,True,-0.0056204604903177385,0.5445965898151581,0.6697228160500527
development,69#21,CNN,5,0,402,0,0.0,False,,,3.418385778011671
development,70#1,LN,1,324,0,0,0.0,False,,-0.7125013369928908,
development,70#1,LN,2,150,18,18,0.15,True,0.028339380243344092,-0.3550755813345313,-0.16624522457520166
development,70#1,LN,3,24,54,24,0.2,True,0.006986277129034562,0.20690283132717013,0.16604120253274837
development,70#1,LN,4,78,144,78,0.65,True,0.009785802512080737,0.5512922234260119,0.8694662394470166
development,70#1,LN,5,0,360,0,0.0,False,,,3.5782097006837525
development,70#1,CNN,1,324,0,0,0.0,False,,-0.7125013369928908,
development,70#1,CNN,2,150,18,18,0.15,True,0.10371916413697047,-0.3550755813345313,-0.16624522457520166
development,70#1,CNN,3,24,54,24,0.2,True,-0.05486166381135551,0.20690283132717013,0.16604120253274837
development,70#1,CNN,4,78,144,78,0.65,True,-0.018233598806967573,0.5512922234260119,0.8694662394470166
development,70#1,CNN,5,0,360,0,0.0,False,,,3.5782097006837525
