cell_id,group,mode,channel,family,name,kind,mean_on,peak_signed,peak_absolute,peak_latency_from_onset_ms,integral_response_seconds,onset_50ms_mean,offset_50ms_mean
67#4,PC_OFF,R4_H1_off,probability,Mach_bands,ramp_minus_matched_uniform_x-01,model_minus_LN,0.013348754495382309,0.021465331315994263,0.021465331315994263,53.33331298828125,0.0016272286574045818,0.00827765092253685,0.00816827267408371
67#4,PC_OFF,R4_H1_off,logit,Mach_bands,ramp_minus_matched_uniform_x+00,model_minus_LN,0.05737555772066116,0.09223246574401855,0.09223246574401855,53.33331298828125,0.006810886065165202,0.03518129885196686,0.03657613694667816
67#4,PC_OFF,R4_H1_off,probability,Mach_bands,ramp_minus_matched_uniform_x+00,model_minus_LN,0.010939648374915123,0.017532244324684143,0.017532244324684143,53.33331298828125,0.0012937856713930768,0.006719784811139107,0.006973393261432648
67#4,PC_OFF,R4_H1_off,logit,Mach_bands,ramp_minus_matched_uniform_x+01,model_minus_LN,0.043540533632040024,0.07172250747680664,0.07172250747680664,106.66665649414062,0.004975126981735229,0.0262005478143692,0.02939213067293167
67#4,PC_OFF,R4_H1_off,probability,Mach_bands,ramp_minus_matched_uniform_x+01,model_minus_LN,0.008042247034609318,0.01318870484828949,0.01318870484828949,106.66665649414062,0.000907488763332367,0.004858346655964851,0.005438417196273804
67#4,PC_OFF,R4_H1_off,logit,Mach_bands,ramp_minus_matched_uniform_x+02,model_minus_LN,0.02444964274764061,0.04543733596801758,0.04543733596801758,106.66665649414062,0.0025411486625671388,0.01406310498714447,0.01864035427570343
67#4,PC_OFF,R4_H1_off,probability,Mach_bands,ramp_minus_matched_uniform_x+02,model_minus_LN,0.004370520357042551,0.00808204710483551,0.00808204710483551,106.66665649414062,0.00043968906005223597,0.0025212280452251434,0.0033538807183504105
67#4,PC_OFF,R4_H1_off,logit,Mach_bands,ramp_minus_matched_uniform_x+03,model_minus_LN,-0.002461604308336973,-0.016473054885864258,0.016473054885864258,286.6666259765625,-0.0010319523016611735,-0.0023110732436180115,-8.455663919448853e-05
67#4,PC_OFF,R4_H1_off,probability,Mach_bands,ramp_minus_matched_uniform_x+03,model_minus_LN,-0.00046016572741791606,-0.0031541287899017334,0.0031541287899017334,286.6666259765625,-0.0001995078722635905,-0.0004434064030647278,-6.075948476791382e-05
67#4,PC_OFF,R4_H1_off,logit,Mach_bands,ramp_minus_matched_uniform_x+04,model_minus_LN,-0.02916146069765091,-0.04571843147277832,0.04571843147277832,53.33331298828125,-0.0047622915108998624,-0.017704948782920837,-0.02159368246793747
67#4,PC_OFF,R4_H1_off,probability,Mach_bands,ramp_minus_matched_uniform_x+04,model_minus_LN,-0.004909970331937075,-0.007570624351501465,0.007570624351501465,80.0,-0.0008212524652481079,-0.0030298512428998947,-0.0037869978696107864
67#4,PC_OFF,R4_H1_off,logit,Mach_bands,ramp_minus_matched_uniform_x+05,model_minus_LN,-0.020920265465974808,-0.032562255859375,0.032562255859375,53.33331298828125,-0.0031416010856628418,-0.0134207084774971,-0.012537635862827301
67#4,PC_OFF,R4_H1_off,probability,Mach_bands,ramp_minus_matched_uniform_x+05,model_minus_LN,-0.0035526712890714407,-0.005358844995498657,0.005358844995498657,53.33331298828125,-0.0005394712090492249,-0.0023295190185308456,-0.0021730326116085052
67#4,PC_OFF,R4_H1_off,logit,Mach_bands,ramp_minus_matched_uniform_x+06,model_minus_LN,-0.010694376192986965,-0.01696014404296875,0.01696014404296875,53.33331298828125,-0.0015244340896606444,-0.007213115692138672,-0.004661925137042999
67#4,PC_OFF,R4_H1_off,probability,Mach_bands,ramp_minus_matched_uniform_x+06,model_minus_LN,-0.0018060654401779175,-0.00276947021484375,0.00276947021484375,53.33331298828125,-0.0002582629521687826,-0.0012495853006839752,-0.0007776618003845215
67#4,PC_OFF,R4_H1_off,logit,Mach_bands,ramp_minus_matched_uniform_x+07,model_minus_LN,-0.005412498954683542,-0.008572220802307129,0.008572220802307129,53.33331298828125,-0.0007840577761332194,-0.0036828219890594482,-0.002253524959087372
67#4,PC_OFF,R4_H1_off,probability,Mach_bands,ramp_minus_matched_uniform_x+07,model_minus_LN,-0.0009129295940510929,-0.0013963431119918823,0.0013963431119918823,53.33331298828125,-0.0001329683264096578,-0.0006380025297403336,-0.00037459470331668854
67#4,PC_OFF,R4_H1_off,logit,Mach_bands,ramp_minus_matched_uniform_x+08,model_minus_LN,-0.0025032837875187397,-0.00396120548248291,0.00396120548248291,53.33331298828125,-0.00036643624305725096,-0.001713097095489502,-0.0010100305080413818
67#4,PC_OFF,R4_H1_off,probability,Mach_bands,ramp_minus_matched_uniform_x+08,model_minus_LN,-0.0004219780385028571,-0.0006443560123443604,0.0006443560123443604,53.33331298828125,-6.219754616419475e-05,-0.00029682181775569916,-0.00016753561794757843
67#4,PC_OFF,R4_H1_off,logit,Mach_bands,ramp_minus_matched_uniform_x+09,model_minus_LN,-0.0010284741874784231,-0.0016266107559204102,0.0016266107559204102,53.33331298828125,-0.00015144467353820802,-0.0007061362266540527,-0.0004073977470397949
67#4,PC_OFF,R4_H1_off,probability,Mach_bands,ramp_minus_matched_uniform_x+09,model_minus_LN,-0.00017332236166112125,-0.0002644062042236328,0.0002644062042236328,53.33331298828125,-2.5718708833058676e-05,-0.00012236833572387695,-6.748735904693604e-05
