cell_id,group,mode,channel,family,name,kind,mean_on,peak_signed,peak_absolute,peak_latency_from_onset_ms,integral_response_seconds,onset_50ms_mean,offset_50ms_mean,model,control,x_pixels
67#4,PC_OFF,R4_normal,logit,White,White_on_bright_bar,response_minus_blank,-0.010851923376321793,-0.030551254749298096,0.030551254749298096,113.33331298828125,-0.003314230044682821,-0.0029819682240486145,-0.028252795338630676,R4,,
67#4,PC_OFF,R4_normal,logit,White,White_on_bright_bar,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,R4,,
67#4,PC_OFF,R4_normal,logit,White,White_on_dark_bar,response_minus_blank,0.010851923376321793,0.030551254749298096,0.030551254749298096,113.33331298828125,0.003314230044682821,0.0029819682240486145,0.028252795338630676,R4,,
67#4,PC_OFF,R4_normal,logit,White,White_on_dark_bar,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,R4,,
67#4,PC_OFF,R4_normal,logit,White,White_control_on_bright_bar,response_minus_blank,0.0,0.0,0.0,,0.0,0.0,0.0,R4,,
67#4,PC_OFF,R4_normal,logit,White,White_control_on_bright_bar,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,R4,,
67#4,PC_OFF,R4_normal,logit,White,White_control_on_dark_bar,response_minus_blank,0.0,0.0,0.0,,0.0,0.0,0.0,R4,,
67#4,PC_OFF,R4_normal,logit,White,White_control_on_dark_bar,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,R4,,
67#4,PC_OFF,R4_normal,logit,neutral,neutral_blank,response_minus_blank,0.0,0.0,0.0,,0.0,0.0,0.0,R4,,
67#4,PC_OFF,R4_normal,logit,neutral,neutral_blank,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,R4,,
67#4,PC_OFF,R4_normal,logit,White,White_remote_contour_rearrangement_White_on_bright_bar,response_minus_blank,-0.01085260696709156,-0.030553042888641357,0.030553042888641357,113.33331298828125,-0.0033144334952036544,-0.0029821693897247314,-0.028254434466362,R4,,
67#4,PC_OFF,R4_normal,logit,White,White_remote_contour_rearrangement_White_on_bright_bar,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,R4,,
