cell_id,group,mode,channel,profile,region,overshoot_above_plateaus,undershoot_below_plateaus,max_minus_upper_plateau,min_minus_lower_plateau,max_x_pixels,min_x_pixels
67#7,MC_ON,R4_H1_off,probability,matched_uniform,bright_boundary,0.0,0.0,0.0,0.019096314907073975,4,2
67#7,MC_ON,R4_AC_off,logit,ramp,dark_boundary,0.0,-0.0028705596923828125,-0.30843329429626465,-0.0028705596923828125,-2,-5
67#7,MC_ON,R4_AC_off,logit,ramp,bright_boundary,0.0028706789016723633,0.0,0.0028706789016723633,0.30843329429626465,5,2
67#7,MC_ON,R4_AC_off,logit,matched_uniform,dark_boundary,0.0,0.0,-0.30716776847839355,0.0,-2,-6
67#7,MC_ON,R4_AC_off,logit,matched_uniform,bright_boundary,0.0,0.0,0.0,0.30716800689697266,4,2
67#7,MC_ON,R4_AC_off,probability,ramp,dark_boundary,0.0,-0.0004007965326309204,-0.05317378044128418,-0.0004007965326309204,-2,-5
67#7,MC_ON,R4_AC_off,probability,ramp,bright_boundary,0.0005531907081604004,0.0,0.0005531907081604004,0.049327075481414795,5,2
67#7,MC_ON,R4_AC_off,probability,matched_uniform,dark_boundary,0.0,0.0,-0.0529804527759552,0.0,-2,-6
67#7,MC_ON,R4_AC_off,probability,matched_uniform,bright_boundary,0.0,0.0,0.0,0.049099862575531006,4,2
67#7,MC_ON,LN,logit,ramp,dark_boundary,0.0,0.0,-0.055594563484191895,0.0005459785461425781,-2,-6
67#7,MC_ON,LN,logit,ramp,bright_boundary,0.001187443733215332,0.0,0.001187443733215332,0.0958019495010376,4,2
67#7,MC_ON,LN,logit,matched_uniform,dark_boundary,0.0,0.0,-0.07591080665588379,0.0,-2,-6
67#7,MC_ON,LN,logit,matched_uniform,bright_boundary,0.0,0.0,0.0,0.07591056823730469,4,2
67#7,MC_ON,LN,probability,ramp,dark_boundary,0.0,-3.0174851417541504e-05,-0.00663129985332489,-3.0174851417541504e-05,-2,-6
67#7,MC_ON,LN,probability,ramp,bright_boundary,0.0001122206449508667,0.0,0.0001122206449508667,0.010072626173496246,4,2
67#7,MC_ON,LN,probability,matched_uniform,dark_boundary,0.0,0.0,-0.008644528687000275,0.0,-2,-6
67#7,MC_ON,LN,probability,matched_uniform,bright_boundary,0.0,0.0,0.0,0.007639162242412567,4,2
67#14,PC_ON,R4_normal,logit,ramp,dark_boundary,0.0,-0.003933072090148926,-0.2502068281173706,-0.003933072090148926,-2,-5
67#14,PC_ON,R4_normal,logit,ramp,bright_boundary,0.003933072090148926,0.0,0.003933072090148926,0.2502068281173706,5,2
67#14,PC_ON,R4_normal,logit,matched_uniform,dark_boundary,0.0,0.0,-0.24945080280303955,0.0,-2,-6
67#14,PC_ON,R4_normal,logit,matched_uniform,bright_boundary,0.0,0.0,0.0,0.24945080280303955,4,2
67#14,PC_ON,R4_normal,probability,ramp,dark_boundary,0.0,-0.00042563676834106445,-0.032671183347702026,-0.00042563676834106445,-2,-5
