cell_id,recording_id,repeat,duration_s,live_spike_count,first_spike_ms,last_spike_ms,video_start_ticks_internal_control,duplicate_identical_payload_removed,raw_array_key,source
68#7,lSS01194,5,60,1908,53.5,59929.8,54194,False,68_7_repeat_5_time_ms,data/real/schottdorf_lee_2021_repository/data/lSS01194.txt
68#7,lSS01194,6,60,2173,56.5,59999.200000000004,54194,False,68_7_repeat_6_time_ms,data/real/schottdorf_lee_2021_repository/data/lSS01194.txt
68#11,lSS01225,1,60,1563,250.20000000000002,59977.0,78607,False,68_11_repeat_1_time_ms,data/real/schottdorf_lee_2021_repository/data/lSS01225.txt
68#11,lSS01225,2,60,1576,15.8,59987.600000000006,78607,False,68_11_repeat_2_time_ms,data/real/schottdorf_lee_2021_repository/data/lSS01225.txt
68#11,lSS01225,3,60,1526,69.7,59979.8,78607,False,68_11_repeat_3_time_ms,data/real/schottdorf_lee_2021_repository/data/lSS01225.txt
68#11,lSS01225,4,60,1668,11.700000000000001,59998.700000000004,78607,False,68_11_repeat_4_time_ms,data/real/schottdorf_lee_2021_repository/data/lSS01225.txt
68#11,lSS01225,5,60,1686,12.100000000000001,59985.200000000004,78607,False,68_11_repeat_5_time_ms,data/real/schottdorf_lee_2021_repository/data/lSS01225.txt
68#11,lSS01225,6,60,1807,83.0,59997.5,78607,False,68_11_repeat_6_time_ms,data/real/schottdorf_lee_2021_repository/data/lSS01225.txt
69#3,lSS01251,1,60,3341,3.7,59977.3,44366,False,69_3_repeat_1_time_ms,data/real/schottdorf_lee_2021_repository/data/lSS01251.txt
69#3,lSS01251,2,60,3245,2.1,59910.8,44366,False,69_3_repeat_2_time_ms,data/real/schottdorf_lee_2021_repository/data/lSS01251.txt
69#3,lSS01251,3,60,3002,1.1,59919.700000000004,44366,False,69_3_repeat_3_time_ms,data/real/schottdorf_lee_2021_repository/data/lSS01251.txt
69#3,lSS01251,4,60,3066,6.7,59967.200000000004,44366,False,69_3_repeat_4_time_ms,data/real/schottdorf_lee_2021_repository/data/lSS01251.txt
69#3,lSS01251,5,60,3022,40.6,59980.600000000006,44366,False,69_3_repeat_5_time_ms,data/real/schottdorf_lee_2021_repository/data/lSS01251.txt
69#3,lSS01251,6,60,3192,23.1,59978.8,44366,False,69_3_repeat_6_time_ms,data/real/schottdorf_lee_2021_repository/data/lSS01251.txt
69#4,lSS01254,1,60,2801,113.4,59992.0,54116,False,69_4_repeat_1_time_ms,data/real/schottdorf_lee_2021_repository/data/lSS01254.txt
69#4,lSS01254,2,60,2800,11.600000000000001,59959.100000000006,54116,False,69_4_repeat_2_time_ms,data/real/schottdorf_lee_2021_repository/data/lSS01254.txt
69#4,lSS01254,3,60,2810,33.7,59980.3,54116,False,69_4_repeat_3_time_ms,data/real/schottdorf_lee_2021_repository/data/lSS01254.txt
69#4,lSS01254,4,60,2808,27.3,59973.4,54116,False,69_4_repeat_4_time_ms,data/real/schottdorf_lee_2021_repository/data/lSS01254.txt
69#4,lSS01254,5,60,2818,21.200000000000003,59965.3,54116,False,69_4_repeat_5_time_ms,data/real/schottdorf_lee_2021_repository/data/lSS01254.txt
69#4,lSS01254,6,60,2793,14.5,59954.700000000004,54116,False,69_4_repeat_6_time_ms,data/real/schottdorf_lee_2021_repository/data/lSS01254.txt
69#6,lSS01256,1,60,2716,12.700000000000001,59977.4,34010,False,69_6_repeat_1_time_ms,data/real/schottdorf_lee_2021_repository/data/lSS01256.txt
69#6,lSS01256,2,60,2543,73.60000000000001,59901.100000000006,34010,False,69_6_repeat_2_time_ms,data/real/schottdorf_lee_2021_repository/data/lSS01256.txt
69#6,lSS01256,3,60,2548,80.0,59893.5,34010,False,69_6_repeat_3_time_ms,data/real/schottdorf_lee_2021_repository/data/lSS01256.txt
69#6,lSS01256,4,60,2544,6.9,59990.100000000006,34010,False,69_6_repeat_4_time_ms,data/real/schottdorf_lee_2021_repository/data/lSS01256.txt
69#6,lSS01256,5,60,2584,29.1,59983.0,34010,False,69_6_repeat_5_time_ms,data/real/schottdorf_lee_2021_repository/data/lSS01256.txt
69#6,lSS01256,6,60,2586,20.6,59980.200000000004,34010,False,69_6_repeat_6_time_ms,data/real/schottdorf_lee_2021_repository/data/lSS01256.txt
69#7,lSS01258,1,60,3209,16.0,59931.5,25929,False,69_7_repeat_1_time_ms,data/real/schottdorf_lee_2021_repository/data/lSS01258.txt
69#7,lSS01258,2,60,3128,105.5,59946.8,25929,False,69_7_repeat_2_time_ms,data/real/schottdorf_lee_2021_repository/data/lSS01258.txt
