"Path","Bytes","SHA256"
"evaluation/mechanistic_retina/clean_sampled_artifacts.py","1168","32B40D7132F880FF5A75300173432BAB090BFB36165EFF981D6A84759CF100E9"
"evaluation/mechanistic_retina/clean_sampled_benchmark.py","12111","8A0D5E837D5D65EB0027B6CB6B24ED45FB056D19BF907124427969790B21A662"
"evaluation/mechanistic_retina/clean_sampled_data.py","9326","B3A639E12EE2A375B84C4AAF12E2097E604E55D0BC1412ACF46BAA279B765FFB"
"evaluation/mechanistic_retina/clean_sampled_reporting.py","12199","56422DB9BDE3A84B8E19668601D1529A0EE335F78F597A7D79354D7069D10B8B"
"evaluation/mechanistic_retina/clean_sampled_teacher.py","1598","06A9E02C310C7AABC31C450A39AC243A5ADE8F1DA7B37BC10D5A8FD8399A0EF8"
"evaluation/mechanistic_retina/clean_sampled_training.py","7210","EBE888098D67ECE10F492B98931929DFA01E3CA9D0CE7E09661E05BD98CAF41D"
"evaluation/mechanistic_retina/direct_metrics.py","4305","BE5C7BEB9B823673D66B64EE3936452143980A7F059CAD43B706A50068BDD330"
"evaluation/mechanistic_retina/direct_model_eval.py","5823","8F0EADD8B8E5D97EA84B5DEA57041FAD39E7C02BB215FFF1C04ACDF1759D9EA3"
"evaluation/mechanistic_retina/factorized_ln_split.py","3247","C38761E8471BE4118ABD54C84258AFF28BE8A3455E259A9331008B4D8144C327"
"evaluation/mechanistic_retina/gollisch_white_noise.py","2482","73335A929CD67AB93E6DBEDA8750483555F1FC99331F1AAF2C1AF0FD6FC68E01"
"evaluation/mechanistic_retina/h1_teachers.py","5728","B22CB3A6E7AEE6E69E755612DA6EE093589FCF5EEBD181A89EC07AEC9301EB06"
"evaluation/mechanistic_retina/karamanlis_baseline_reporting.py","8488","E5FBF74B3D0201F3DD56FE356E122D999D0B1BB7E4374C1D79279247F8F2AA3A"
"evaluation/mechanistic_retina/karamanlis_baseline_run.py","8176","A1E2EA036AB5FCF549B4C152846033D5ECDC58769FC609CE19F823823E967566"
"evaluation/mechanistic_retina/karamanlis_glm_math.py","2657","71B1B550BF136AFB74AA1253FD46963E3EA6923644AB531AC12517674A46117B"
"evaluation/mechanistic_retina/karamanlis_locality_artifacts.py","6277","11EE7406B7D975AD9931C8F90FC718908A9B963688B2DE2E8095EF2DC8276D33"
"evaluation/mechanistic_retina/karamanlis_locality_graph.py","7301","AD7DC2F065A77296F0C746FCE5E7D9A3CE12FA44386E3DCBAC6A2BEAAEE7B297"
"evaluation/mechanistic_retina/karamanlis_locality_io.py","7448","E132B9CEC565BCB39209DB7293821167148399BC87F882130CF1585F61DA924B"
"evaluation/mechanistic_retina/karamanlis_prediction_baselines.py","8006","FCA33D70CB58AAF998779A70BBF66A8DC7F0C3A579AF78AE5C4FE3F2B3F3836C"
"evaluation/mechanistic_retina/karamanlis_real_run.py","9645","290832D28F5A09C45C4AA71541AB6D7490968DFCBE419E14E228E17BE5D0178D"
"evaluation/mechanistic_retina/karamanlis_rf_centers.py","9359","ACDD42ADAE47EF2D99C3B8C033444084FE8C4B2E0B588C9499D9BD09D83031D8"
"evaluation/mechanistic_retina/karamanlis_rf_checkpoint.py","1231","A1A8BC2C6E9BEE5C7AF815FD247D59504D23CA2778F4B51BE68F28D279BFCAA6"
"evaluation/mechanistic_retina/karamanlis_rf_population_run.py","9995","191181E9B00A8AE2DE135693DC90CC971B2B6CDF6B18AED6CBC37918613D9FE8"
"evaluation/mechanistic_retina/karamanlis_running_sta.py","3444","CA9DC3367B24DEC542BDE43EE9EC625CDBC963F9D654578989DB161C7AE4DA0A"
"evaluation/mechanistic_retina/karamanlis_v1_ac_artifacts.py","9626","55796481AF2229D7AD562486E12E70F739319379262AF06BE409C927E738563F"
"evaluation/mechanistic_retina/karamanlis_v1_ac_metrics.py","5251","E43DFA1B96DA5B95504AF58DC9BBD451E01FABCFB9F9BA5263406D7DB0BD21A4"
"evaluation/mechanistic_retina/karamanlis_v1_ac_payload.py","3929","8827CA8E37961C967B733E84DCA5A1175FF8F6ED16798E4DD84707CA13690410"
"evaluation/mechanistic_retina/karamanlis_v1_ac_perturbation.py","9298","7F85297D28C6141C20F6DEB98922D61A9A2E41BAB1618C834CE1EFF907B329A2"
"evaluation/mechanistic_retina/karamanlis_v1_ac_reporting.py","5658","B70A7626AFA5FE9AD92F4D1CD8BBBA78D20D5DAB15874E8E2849247D55EEF263"
"evaluation/mechanistic_retina/karamanlis_v1_ac_runtime.py","5261","E7DE9CF11602E839DBC9AC45D56B68204D9079F1C5522298044CF328F7140EB0"
"evaluation/mechanistic_retina/karamanlis_v1_rf_artifacts.py","9040","43410DAE1DA6C4FD8895885B0F110493290F58B7A23CC15213D9B335EFB7727C"
"evaluation/mechanistic_retina/karamanlis_v1_rf_metrics.py","8101","A02A811AA0CA7851A48B2599D91633572C60B1A8674A58A8D7F8E301FF7639D5"
"evaluation/mechanistic_retina/karamanlis_v1_rf_validation_math.py","5334","8968594A0016F5C6DB27D43A45EDBE22BFE8D045863135F497C289D573FAD58C"
"evaluation/mechanistic_retina/karamanlis_v1_rf_validation.py","9114","B43DCD7F8F180EEE0A59A294FF80A137E569043C1A5B1A18F390BB874B5DA6A1"
"evaluation/mechanistic_retina/mechanism_artifacts.py","5354","D07514DFAFF3AB981A939822751663442FE5F3D99A76B2D478551EBC9750261D"
"evaluation/mechanistic_retina/mechanism_checkpoints.py","5044","41F72C8D3C6DC6BA5BBDF6F9DDF72DED256DEEEEF4EC45402DE320A19536FBFA"
"evaluation/mechanistic_retina/mechanism_decision_report.py","3756","604E380F3BC1E6957C4E9F568998A358AA70ABE3F1CD704C9F3C4C82E6F61666"
"evaluation/mechanistic_retina/mechanism_diagnosis_support.py","3032","969B336967713F731AF57CFB85498CE2C5E607ED7E916FC0673CABA159B09511"
