group,mode,channel,family,name,kind,n_cells,mean_on,peak_signed,peak_absolute,peak_latency_from_onset_ms,integral_response_seconds,onset_50ms_mean,offset_50ms_mean,positive_cells,negative_cells,zero_within_1e9_cells
all,normal,logit,Mach_bands,ramp_minus_matched_uniform_x-04,overlapping_minus_exclusive_pair,22,0.0017048668444410644,0.00402168252251365,0.011326654390855269,115.45453713156961,0.0003659578977209149,0.0005128205838528546,0.0032115839421749115,15,7,0
PC_OFF,normal,probability,Mach_bands,ramp_minus_matched_uniform_x-04,overlapping_minus_exclusive_pair,4,-3.589043626561761e-05,-0.0004080086946487427,0.0013956278562545776,103.33331298828125,-5.3920174638430276e-05,1.8564052879810333e-05,-0.0004919255152344704,2,2,0
all,normal,probability,Mach_bands,ramp_minus_matched_uniform_x-04,overlapping_minus_exclusive_pair,22,0.00022251655569892716,0.0005392046137289567,0.0018217285925691779,116.66665510697798,4.52275529052272e-05,7.326041602275588e-05,0.00040843519805507225,15,7,0
PC_OFF,normal,logit,Mach_bands,ramp_minus_matched_uniform_x-03,overlapping_minus_exclusive_pair,4,-4.119874211028218e-05,-0.0007139742374420166,0.00215756893157959,108.33332824707031,-0.0001004581650098165,4.155747592449188e-05,-0.0008713621646165848,2,2,0
all,normal,logit,Mach_bands,ramp_minus_matched_uniform_x-03,overlapping_minus_exclusive_pair,22,0.0005901143542194569,0.0014353150671178644,0.005331529812379317,116.6666592684659,0.00011601242152127355,0.00015132535587657583,0.0010017813606695695,15,7,0
PC_OFF,normal,probability,Mach_bands,ramp_minus_matched_uniform_x-03,overlapping_minus_exclusive_pair,4,-2.0985498849768192e-07,-0.00011934712529182434,0.00042859092354774475,101.6666488647461,-1.671023666858673e-05,1.1451076716184616e-05,-0.00014902418479323387,2,2,0
all,normal,probability,Mach_bands,ramp_minus_matched_uniform_x-03,overlapping_minus_exclusive_pair,22,6.936718951196367e-05,0.00018918717449361628,0.0008801878853277726,116.36362249200994,1.2898926030505787e-05,1.97954729876735e-05,0.000119573309678923,15,7,0
PC_OFF,normal,logit,Mach_bands,ramp_minus_matched_uniform_x-02,overlapping_minus_exclusive_pair,4,8.966326390691393e-05,0.00015337765216827393,0.00015337765216827393,78.33332824707031,1.0375380516052246e-05,4.774518311023712e-05,5.891174077987671e-05,4,0,0
all,normal,logit,Mach_bands,ramp_minus_matched_uniform_x-02,overlapping_minus_exclusive_pair,22,6.289391582082648e-05,-6.0634179548783735e-05,0.0005634156140414151,119.0908993807706,-1.3604200247562292e-05,3.279237584634261e-05,-0.00013081797144629738,12,10,0
PC_OFF,normal,probability,Mach_bands,ramp_minus_matched_uniform_x-02,overlapping_minus_exclusive_pair,4,1.979321304190762e-05,3.3974647521972656e-05,3.3974647521972656e-05,78.33332824707031,2.3187448581059776e-06,1.056864857673645e-05,1.2804754078388214e-05,4,0,0
all,normal,probability,Mach_bands,ramp_minus_matched_uniform_x-02,overlapping_minus_exclusive_pair,22,1.1066099503409532e-05,-8.597970008850098e-06,9.056383913213557e-05,119.39392922141336,-1.9386726798433245e-06,5.713494663888758e-06,-2.056499943137169e-05,12,10,0
PC_OFF,normal,logit,Mach_bands,ramp_minus_matched_uniform_x-01,overlapping_minus_exclusive_pair,4,3.062287873945024e-05,4.215538501739502e-05,5.2288174629211426e-05,104.99999237060547,4.17013963063558e-06,1.598149538040161e-05,2.4830922484397888e-05,4,0,0
all,normal,logit,Mach_bands,ramp_minus_matched_uniform_x-01,overlapping_minus_exclusive_pair,22,1.7770311721030588e-05,-4.72746112129905e-05,0.00024239312518726695,123.63635392622514,-7.831580711133553e-06,1.1321157217025757e-05,-6.915256381034851e-05,11,11,0
PC_OFF,normal,probability,Mach_bands,ramp_minus_matched_uniform_x-01,overlapping_minus_exclusive_pair,4,6.686895908103452e-06,9.3802809715271e-06,1.1391937732696533e-05,104.99999237060547,9.231269359588623e-07,3.4905970096588135e-06,5.445443093776703e-06,4,0,0
all,normal,probability,Mach_bands,ramp_minus_matched_uniform_x-01,overlapping_minus_exclusive_pair,22,3.1319304867529563e-06,-7.016753608530218e-06,3.834441304206848e-05,123.63635392622514,-1.1126922838615649e-06,1.9006600434129888e-06,-1.0413244705308568e-05,11,11,0
PC_OFF,normal,logit,Mach_bands,ramp_minus_matched_uniform_x+00,overlapping_minus_exclusive_pair,4,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,4
all,normal,logit,Mach_bands,ramp_minus_matched_uniform_x+00,overlapping_minus_exclusive_pair,22,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,22
PC_OFF,normal,probability,Mach_bands,ramp_minus_matched_uniform_x+00,overlapping_minus_exclusive_pair,4,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,4
all,normal,probability,Mach_bands,ramp_minus_matched_uniform_x+00,overlapping_minus_exclusive_pair,22,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,22
PC_OFF,normal,logit,Mach_bands,ramp_minus_matched_uniform_x+01,overlapping_minus_exclusive_pair,4,-3.063181952711602e-05,-4.2185187339782715e-05,5.231797695159912e-05,104.99999237060547,-4.171629746754964e-06,-1.5987083315849304e-05,-2.4842098355293274e-05,0,4,0
all,normal,logit,Mach_bands,ramp_minus_matched_uniform_x+01,overlapping_minus_exclusive_pair,22,-1.77744657553996e-05,4.726919260892001e-05,0.00024239854379133746,123.63635392622514,7.830984664685798e-06,-1.1322850530797785e-05,6.914985450831327e-05,11,11,0
PC_OFF,normal,probability,Mach_bands,ramp_minus_matched_uniform_x+01,overlapping_minus_exclusive_pair,4,-6.463875365625427e-06,-8.95187258720398e-06,1.097843050956726e-05,105.0,-8.925298849741618e-07,-3.3746473491191864e-06,-5.320180207490921e-06,0,4,0
all,normal,probability,Mach_bands,ramp_minus_matched_uniform_x+01,overlapping_minus_exclusive_pair,22,-2.909632344031107e-06,1.3341957872564143e-05,3.741952505978671e-05,128.48484108664772,1.0930001735687257e-06,-1.776963472366333e-06,9.8616900769147e-06,11,11,0
PC_OFF,normal,logit,Mach_bands,ramp_minus_matched_uniform_x+02,overlapping_minus_exclusive_pair,4,-8.966128075371671e-05,-0.00015339255332946777,0.00015339255332946777,76.66666412353516,-1.037488381067912e-05,-4.773586988449097e-05,-5.8904290199279785e-05,0,4,0
all,normal,logit,Mach_bands,ramp_minus_matched_uniform_x+02,overlapping_minus_exclusive_pair,22,-6.289229146328911e-05,6.063147024674849e-05,0.0005634183233434504,118.78786954012784,1.3604398929711546e-05,-3.2790343869816176e-05,0.00013082034208557823,10,12,0
PC_OFF,normal,probability,Mach_bands,ramp_minus_matched_uniform_x+02,overlapping_minus_exclusive_pair,4,-1.8476694833680085e-05,-3.134831786155701e-05,3.134831786155701e-05,86.66666412353516,-2.1381800373395285e-06,-9.884592145681381e-06,-1.214561052620411e-05,0,4,0
all,normal,probability,Mach_bands,ramp_minus_matched_uniform_x+02,overlapping_minus_exclusive_pair,22,-9.835714422479214e-06,2.6204369284889914e-05,8.618289774114436e-05,123.63635392622514,1.9136883995749735e-06,-4.978046159852635e-06,1.8498479303988542e-05,10,12,0
PC_OFF,normal,logit,Mach_bands,ramp_minus_matched_uniform_x+03,overlapping_minus_exclusive_pair,4,4.118979268241674e-05,0.0007139891386032104,0.002157554030418396,108.33332824707031,0.00010045756896336875,-4.155561327934265e-05,0.0008713752031326294,2,2,0
all,normal,logit,Mach_bands,ramp_minus_matched_uniform_x+03,overlapping_minus_exclusive_pair,22,-0.0005901136253007942,-0.0014353123578158293,0.005331537940285422,116.6666592684659,-0.00011601249376932779,-0.00015132061459801415,-0.001001781699332324,7,15,0
